FIPS,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16001,Ada County,Idaho,0.040805976554118634,0.01681101747815231,0.05081342145399085,0.08241168783037822,0.03016560360465797,0.7135434672089477,0.0200711743772242,0.003833248601931876,476000.0,1832.0,1465.0,0.04071074487097581,0.28406630461789656
16003,Adams County,Idaho,0.3428357089272318,0.0,0.027968036529680364,0.010127531882970742,0.04576144036009002,0.8310502283105022,0.02054794520547945,0.0017123287671232876,327300.0,1469.0,823.0,0.1597790055248619,0.19932432432432431
16005,Bannock County,Idaho,0.06566151949107418,0.02247191011235955,0.05404919016196761,0.06350362917916094,0.07619875010509206,0.6863227354529094,0.016226754649070186,0.0003299340131973605,267200.0,1405.0,879.0,0.08829515944131205,0.31200994454006503
16007,Bear Lake County,Idaho,0.4146588891706822,0.02942258183155572,0.04072790294627383,0.012173471975653057,0.03956378392087243,0.8500866551126517,0.01386481802426343,0.01169844020797227,234200.0,1278.0,687.0,0.0680628272251309,0.16184971098265896
16009,Benewah County,Idaho,0.15469613259668508,0.005248687828042989,0.0392156862745098,0.012112197195070123,0.17700807479813005,0.7571644042232277,0.05027652086475616,0.013574660633484163,255800.0,1367.0,853.0,0.13496432212028542,0.2598343685300207
16011,Bingham County,Idaho,0.07290942784340977,0.011817930015695689,0.046223999000562184,0.014709288858003242,0.12983553393560343,0.806358923105753,0.028796302080079956,0.0017490161783996502,258000.0,1405.0,845.0,0.07589350161892383,0.2296774193548387
16013,Blaine County,Idaho,0.37713234827826747,0.006144512716807965,0.053451435552840564,0.08224998414610946,0.017629526285750523,0.7548360822643047,0.03512522907758094,0.009366727754021585,663800.0,2027.0,1217.0,0.02125196394608453,0.18604651162790697
16015,Boise County,Idaho,0.3698140200286123,0.01726660813579163,0.024404086265607264,0.001609442060085837,0.12947067238912732,0.8799659477866061,0.019863791146424517,0.0014188422247446084,424100.0,1659.0,854.0,0.09092047589229801,0.11583924349881797
16017,Bonner County,Idaho,0.2638320249408406,0.035882144842573405,0.03678759120363284,0.04297036397100252,0.11869436201780416,0.7764681871524057,0.04127761620490841,0.013419051992448595,433400.0,1743.0,1059.0,0.09555260198343729,0.2344213649851632
16019,Bonneville County,Idaho,0.06563274098007539,0.008885695257457324,0.061551938770805475,0.06403877221324718,0.04600969305331179,0.716077274194292,0.030314906173636406,0.002651113467656416,327000.0,1519.0,1054.0,0.05176755602307859,0.2372523546606041
16021,Boundary County,Idaho,0.12646793134598014,0.0035669324381032313,0.03453981385729059,0.023306233062330622,0.11364046973803071,0.7797311271975181,0.026680455015511893,0.01840744570837642,344100.0,1487.0,867.0,0.09092360501317154,0.2
16023,Butte County,Idaho,0.2023529411764706,0.06033630069238378,0.0599803343166175,0.027450980392156862,0.17647058823529413,0.7738446411012783,0.007866273352999017,0.0058997050147492625,195800.0,1272.0,525.0,0.08689024390243905,0.20434782608695654
16025,Camas County,Idaho,0.5115273775216138,0.02926829268292683,0.014749262536873156,0.0,0.09654178674351585,0.7581120943952803,0.07079646017699115,0.0,248900.0,1677.0,992.0,0.07532467532467535,0.15853658536585366
16027,Canyon County,Idaho,0.03177032821938936,0.014673455119126584,0.05023894574242132,0.03233118726849959,0.07021254221048573,0.7508809615755937,0.040958679281714615,0.004887526549526936,350300.0,1536.0,1259.0,0.05112305302489606,0.26691856803759145
16029,Caribou County,Idaho,0.22537456168313674,0.007010057909174032,0.01934156378600823,0.028371055148230795,0.12432260121134842,0.820164609053498,0.018930041152263374,0.013580246913580247,220200.0,1237.0,800.0,0.0667900882939334,0.2906178489702517
16031,Cassia County,Idaho,0.08385231316725979,0.01760471771745729,0.051226025734401555,0.02224199288256228,0.09197064056939502,0.6999271667880553,0.05765962612284535,0.0,257300.0,1264.0,920.0,0.08511413307430793,0.25485436893203883
16033,Clark County,Idaho,0.4298642533936652,0.0,0.01984126984126984,0.0,0.1515837104072398,0.6388888888888888,0.007936507936507936,0.03571428571428571,203000.0,1570.0,771.0,0.060565275908479155,0.06593406593406594
16035,Clearwater County,Idaho,0.22637410384531828,0.018441403926234383,0.03173265936534681,0.01585922224636107,0.20703888768194656,0.8163437236731256,0.019938219601235607,0.005616399887672002,240800.0,1372.0,847.0,0.12861894788715045,0.2308868501529052
16037,Custer County,Idaho,0.3890644753476612,0.01770890979524073,0.0,0.008533501896333754,0.22123893805309736,0.7765131919296431,0.0020693222969477496,0.01189860320744956,295600.0,1447.0,744.0,0.0825972785867749,0.1550925925925926
16039,Elmore County,Idaho,0.10848126232741617,0.015641462030958748,0.047105457227138645,0.014217619986850756,0.11489151873767259,0.6533001474926253,0.03761061946902655,0.007743362831858407,278300.0,1346.0,1111.0,0.07969086987778573,0.18213241159266153
16041,Franklin County,Idaho,0.049199531433033974,0.022990279277889214,0.02505133470225873,0.004295197188598204,0.044709098008590395,0.7519507186858316,0.036139630390143736,0.0,304000.0,1454.0,831.0,0.02424201037967766,0.2251655629139073
16043,Fremont County,Idaho,0.4802168646902757,0.008025956284153006,0.033288948069241014,0.0019610104971738377,0.12112123659014881,0.8417665335108744,0.056369285397248114,0.0013315579227696406,281800.0,1418.0,803.0,0.04929844520288207,0.19214586255259467
16045,Gem County,Idaho,0.049049820236260915,0.009117137911136757,0.06170672427761275,0.02670775552131484,0.10978428351309708,0.7658655144477451,0.07453416149068323,0.0,367300.0,1436.0,887.0,0.06357791611388919,0.10899653979238755
16047,Gooding County,Idaho,0.09639344262295083,0.014863512934114621,0.04553701015965167,0.031311475409836066,0.14590163934426228,0.7135341074020319,0.04735123367198839,0.008526850507982584,231800.0,1200.0,859.0,0.1160811416138734,0.22229259024699177
16049,Idaho County,Idaho,0.2605562436662538,0.009596344249809596,0.031521242576518956,0.01058439364936381,0.14649251210449274,0.8009745698187909,0.02680067001675042,0.012182122734886554,284600.0,1433.0,797.0,0.10762141514581947,0.2180566182096404
16051,Jefferson County,Idaho,0.05714829983807982,0.005722559293987866,0.043135670269724216,0.004571863987046385,0.07248309362796457,0.8237195676330943,0.03919587837155268,0.005354076169310031,335000.0,1598.0,1098.0,0.033361368096439636,0.16275071633237823
16053,Jerome County,Idaho,0.06040114613180516,0.027223552363217166,0.056477189558428884,0.008022922636103151,0.09959885386819484,0.7546962673822883,0.06672359111978532,0.001341790680653818,254000.0,1330.0,862.0,0.1109168530189063,0.16857284932869218
