FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16001,Ada County,Idaho,0.4497,0.07618508085878693,0.19064629329472674,0.8151515395160545,0.21848777611466408,0.043883676204907046,0.11405835543766578,0.16479331165815142,0.21967213114754097,0.08971164115343538,0.01067943444839193
16003,Adams County,Idaho,0.499,-0.1019561351511559,0.13930053349140487,0.8953853046594982,0.2885971979328369,0.1288265306122449,0.0,0.2,0.0,0.0,0.002091078066914498
16005,Bannock County,Idaho,0.4315,-0.11111790606653621,0.10273972602739725,0.8140311549282888,0.26027972027972024,0.03837150978097308,0.37575757575757573,0.11073825503355705,0.2905982905982906,0.11579818031430934,0.004691394223720862
16007,Bear Lake County,Idaho,0.4146,-0.12785191562634524,0.09685751183814034,0.9233996270975762,0.4812444444444445,0.0088008800880088,0.0,0.10469314079422383,,0.23595505617977527,0.00513585155732273
16009,Benewah County,Idaho,0.4377,-0.1894929430214323,0.0669106116048092,0.8284862809577639,0.206084470779774,0.13542126157917952,0.02531645569620253,0.102803738317757,,0.10909090909090909,0.0033691990001086837
16011,Bingham County,Idaho,0.4293,-0.04588212708773277,0.11832085493056889,0.7335709696806416,0.18245823849388532,0.060083009420910466,0.14864864864864866,0.12909132524605174,,0.06627218934911243,0.02181818181818182
16013,Blaine County,Idaho,0.4649,0.05377500537750054,0.1706818670681867,0.7063675354668426,0.0036475811326260876,0.054501488095238096,0.0,0.31500088136788296,,0.06074766355140187,0.07673625905411163
16015,Boise County,Idaho,0.3784,-0.029740871613663133,0.11307420494699646,0.8592649506979126,0.397115712401251,0.14243542435424356,0.8148148148148148,0.1514476614699332,,0.0,0.008234825342010891
16017,Bonner County,Idaho,0.4542,-0.10146661119201165,0.11810900769710839,0.9024720693680174,0.2701663572084998,0.0739362237199477,0.4523809523809524,0.1070615034168565,0.0,0.09141274238227147,0.0026438841061049686
16019,Bonneville County,Idaho,0.4343,-0.02091882458374605,0.14548842035753032,0.8114788336412563,0.33029172320217093,0.03945856212488826,0.04158004158004158,0.13557929334428923,0.21379310344827587,0.11051289317086993,0.01054738490992951
16021,Boundary County,Idaho,0.409,-0.17282377919320593,0.06199575371549894,0.8811511957843534,0.30821175172623694,0.13077445652173914,0.0,0.13829787234042554,,0.15333333333333332,0.0037303721696885575
16023,Butte County,Idaho,0.4724,-0.2216796875,0.056640625,0.8879078694817658,0.17678183791606372,0.009036144578313253,,0.3732394366197183,,0.35,0.01643945469125902
16025,Camas County,Idaho,0.4481,0.0030959752321981426,0.1393188854489164,0.7925860547219771,0.3009191489361702,0.047619047619047616,,0.16071428571428573,,0.0,0.01606805293005671
16027,Canyon County,Idaho,0.3902,-0.06779299618703592,0.08605508729680915,0.6768891007038118,0.23736012256850847,0.0743367249555859,0.07587687902648532,0.17601183943596396,0.17857142857142858,0.13815173275054637,0.02851526787346864
16029,Caribou County,Idaho,0.3968,-0.12663237039968342,0.08191531460229522,0.8930291867384528,0.45833528137516166,0.05135802469135802,,0.18787878787878787,,0.0,0.001360132990781321
16031,Cassia County,Idaho,0.4475,-0.11051344743276284,0.09058679706601468,0.675167947222334,0.305791460250059,0.05157451029010662,0.21739130434782608,0.21986639558524543,,0.15241882041086813,0.03938587691368256
16033,Clark County,Idaho,0.3311,-0.18992248062015504,0.05426356589147287,0.4708994708994709,0.1255479876160991,0.031055900621118012,1.0,0.5078369905956113,,0.031746031746031744,0.21671388101983002
16035,Clearwater County,Idaho,0.4225,-0.20877242950726288,0.0606664767872401,0.8828603859250851,0.2917964332318399,0.1453055141579732,0.0,0.3631123919308357,0.0,0.0,0.007771105616389968
16037,Custer County,Idaho,0.3927,-0.16758849557522124,0.06913716814159292,0.8892725598526704,0.07137537537537542,0.0,0.0,0.21739130434782608,,1.0,0.004769854519437157
