FIPS,Tract,County,State,measure,value
16001010102,Census Tract 101.02,Ada County,Idaho,Vacancy Rate,0.01914514692787177
16001010224,Census Tract 102.24,Ada County,Idaho,Vacancy Rate,0.04218040233614536
16001010226,Census Tract 102.26,Ada County,Idaho,Vacancy Rate,0.05966767371601209
16001010227,Census Tract 102.27,Ada County,Idaho,Vacancy Rate,0.012898845892735914
16001010228,Census Tract 102.28,Ada County,Idaho,Vacancy Rate,0.033380681818181816
16001010229,Census Tract 102.29,Ada County,Idaho,Vacancy Rate,0.08827463218903255
16001010230,Census Tract 102.30,Ada County,Idaho,Vacancy Rate,0.039762611275964393
16001010231,Census Tract 102.31,Ada County,Idaho,Vacancy Rate,0.0
16001010232,Census Tract 102.32,Ada County,Idaho,Vacancy Rate,0.024655547498187092
16001010233,Census Tract 102.33,Ada County,Idaho,Vacancy Rate,0.0136327185244587
16001010234,Census Tract 102.34,Ada County,Idaho,Vacancy Rate,0.05201137748882568
16001010235,Census Tract 102.35,Ada County,Idaho,Vacancy Rate,0.0
16001010236,Census Tract 102.36,Ada County,Idaho,Vacancy Rate,0.03698435277382646
16001010237,Census Tract 102.37,Ada County,Idaho,Vacancy Rate,0.03278688524590164
16001010336,Census Tract 103.36,Ada County,Idaho,Vacancy Rate,0.0
16001010337,Census Tract 103.37,Ada County,Idaho,Vacancy Rate,0.0
16001010338,Census Tract 103.38,Ada County,Idaho,Vacancy Rate,0.01935483870967742
16001010339,Census Tract 103.39,Ada County,Idaho,Vacancy Rate,0.06552494415487714
16001010340,Census Tract 103.40,Ada County,Idaho,Vacancy Rate,0.0
16001010341,Census Tract 103.41,Ada County,Idaho,Vacancy Rate,0.001973359644795264
16001010342,Census Tract 103.42,Ada County,Idaho,Vacancy Rate,0.026729559748427674
16001010343,Census Tract 103.43,Ada County,Idaho,Vacancy Rate,0.028429282160625444
16001010344,Census Tract 103.44,Ada County,Idaho,Vacancy Rate,0.05923125393824827
16001010345,Census Tract 103.45,Ada County,Idaho,Vacancy Rate,0.018275271273557967
16001010346,Census Tract 103.46,Ada County,Idaho,Vacancy Rate,0.021897810218978103
16001010347,Census Tract 103.47,Ada County,Idaho,Vacancy Rate,0.03467879476975554
16001010348,Census Tract 103.48,Ada County,Idaho,Vacancy Rate,0.05436156763590392
16001010349,Census Tract 103.49,Ada County,Idaho,Vacancy Rate,0.09824333116460637
16001010350,Census Tract 103.50,Ada County,Idaho,Vacancy Rate,0.0
16001010351,Census Tract 103.51,Ada County,Idaho,Vacancy Rate,0.012649332396345749
16001010352,Census Tract 103.52,Ada County,Idaho,Vacancy Rate,0.01048951048951049
