"FIPS","County","State","Met_Breast_Screen","Met_Colon_Screen","Currently_Smoke","BMI_Obese","Physically_Inactive","Binge_Drinking","Sleep_Debt","Cancer_Prevalence","Bad_Health","Poor_Physical","Poor_Mental","Depression","Diabetes_DX","High_BP","High_Cholesterol","BP_Medicine","CHD","Had_Stroke","Asthma","COPD","No_Teeth","Recent_Checkup","Recent_Dentist","Hearing_Disability","Vision_Disability","Cognitive_Disability","Mobility_Disability","Selfcare_Disability","Independent_Living_Disability","Socially_Isolated","Food_Insecure","Housing_Insecure","Lacked_Reliable_Transportation","Lacked_Social_Emotional_Support"
16041,"Franklin County","Idaho",65.5,55.7,16.5,32.8,24.2,15.9,33.2,8.1,18.1,13.9,17.4,23.2,10,31.8,32.1,72.9,6.7,3.4,10.9,7.3,12.2,69.8,63,8.3,5.3,16.7,13.6,3.8,8.4,29.7,12.4,10.8,7.7,21.7
16043,"Fremont County","Idaho",63.8,60.3,13.6,33.7,22.9,15.9,32.3,8.8,17.5,14.3,16,22.5,11.1,34.2,32.9,74.5,7.7,3.8,10.7,7.5,14.2,73.7,65.5,9,5.5,15.1,14.5,3.9,8,28,11.8,10.1,7.3,20.4
16045,"Gem County","Idaho",69.2,61.8,13.1,31.4,23.2,15.1,31.5,10.1,17.3,14,15.3,22.3,11.4,35.7,34.6,76.8,8.1,4,10.8,7.8,12.1,74.6,66.8,9.5,5.2,14.4,15.2,3.7,7.8,28.9,11.9,10,7.2,22
16047,"Gooding County","Idaho",67.6,58.2,16.5,36.9,29.7,14.8,32.6,8.3,23.2,16.5,17.4,22.7,12.6,34,32.4,74.9,8.2,4.3,11.2,8.9,21,71.9,57.7,10.1,7.5,18.7,17.6,4.9,10.2,30.6,18.5,14.6,10.2,23.8
16049,"Idaho County","Idaho",65.2,62.8,16.1,32.1,30.1,14.3,28.5,11.2,22,16.8,15.9,21.2,13.6,38.6,36.4,79.4,10.5,5.3,11,10.4,14.7,75,60.7,12.1,6.8,16.3,19.3,5.1,10.1,25.2,9.9,8.1,6.3,18.9
16051,"Jefferson County","Idaho",71.1,59.6,15.5,37.3,25.4,16.4,33.5,7.4,17.3,13.7,16.6,22.6,10.1,28.8,31.4,71.2,6.4,3.3,10.9,7.2,14.5,70.6,65.1,7.9,5.2,15.6,13.6,3.7,7.9,31.7,11.3,10,7.4,20.5
16053,"Jerome County","Idaho",67.4,55.1,15.7,39.9,29.1,16,34.2,7.2,22.5,15.9,17.3,22.5,12.1,33.1,33.6,71.8,7.3,3.9,10.9,7.8,22.9,70.8,58.1,8.9,7.3,18.1,16,4.9,9.7,31,18.8,15.2,10.4,24.2
16055,"Kootenai County","Idaho",63.9,61.2,12.9,34.4,21.3,16.9,33.6,9.1,15.5,13.3,15,22.4,9.9,31.3,34.6,74.4,7,3.4,11.2,6.7,19.5,73.3,67.4,8.4,4.6,13.4,13.2,3.3,7.3,28.2,12.4,10.8,7.7,19.9
16057,"Latah County","Idaho",75.9,62.2,9.7,26.6,16,19.1,28.1,7.4,12.9,10.9,16.6,24.5,8.1,25.6,28.2,67.8,5.6,2.7,10.6,5.3,9.8,72.4,70.2,7,4,14,10.3,2.7,6.7,33.5,8.8,8.5,6.7,18.8
16059,"Lemhi County","Idaho",69.8,65.5,13.4,32.5,25.1,13.2,31.4,11.9,19.5,15.5,14.8,21.4,13,38.3,37.4,80,10,4.8,10.8,9,14.2,77.5,66.1,11.6,5.9,14.9,17.5,4.2,8.8,27.5,9.7,8.6,6.3,19.1
16061,"Lewis County","Idaho",69.5,64.8,16.5,35.9,29.2,12.4,34,11.4,21.4,16.7,16.1,23.4,14.2,41.6,36.3,79.7,10.1,5.1,11.1,9.7,17.9,77.2,61.3,11.9,6.7,16.2,19.4,5,9.7,28.6,13.5,10.6,8.1,20.3
16063,"Lincoln County","Idaho",61.7,55.9,15.7,36.4,28.7,15.7,32.8,7.3,21.3,15.3,17.5,22.5,11.7,33.2,32.5,73.1,7,3.6,11,7.3,21.5,70.6,59,8.8,6.9,18.2,15.4,4.5,9.3,32.5,19.2,15.6,10.8,24.5
16065,"Madison County","Idaho",65.2,55.9,11.4,29,23.9,15.9,34.7,3.6,16.3,11.8,25.7,30,5.1,16.7,21.8,55.5,3.4,1.9,12.2,4.7,21,66.3,59.2,5.5,5.6,24.2,8.2,2.9,11,37.9,17.4,13,12.8,23.1
16067,"Minidoka County","Idaho",67.4,56.6,15.6,34.3,29.3,14.9,33,7.5,22.3,15.6,17,23,12.4,33.7,34,74.9,7.5,4,10.8,7.9,19.1,71.3,58.1,9.4,7.4,18,16.7,4.7,9.7,31.3,17.5,14.3,10,24.2
16069,"Nez Perce County","Idaho",71,66,13,35,23.5,16.3,34.3,9.7,17.3,13.6,15.3,22.7,11.5,36,33,75.6,7.7,3.8,11,7.1,15.6,77.5,67.1,9.4,5.2,14.7,14.3,3.6,7.9,29.5,13.5,11.3,8.2,20.9
16071,"Oneida County","Idaho",66.4,63.5,12.4,31.8,22.9,15.2,31.6,9.9,15.9,13,14.9,21.6,11,34.6,34.3,76,7.7,3.7,10.4,6.9,7.6,74.8,68.1,9.3,4.7,13.6,13.7,3.4,7.4,29.1,10.4,9.2,6.7,20.2
16073,"Owyhee County","Idaho",62,55.1,15.6,34.4,28.4,14.3,35.3,8.2,21.8,15.8,16.6,22.6,12.5,35.3,33.9,74.7,8.1,4.2,10.9,8.3,16.3,73,60.4,9.7,7.1,17.4,16.7,4.8,9.6,31.9,20,15.4,10.8,25.2
16075,"Payette County","Idaho",66.5,61.5,16.6,37.5,30,14.7,30.1,8.9,22.9,16.7,17.2,23.7,12.9,36.5,36.8,76.4,8.7,4.6,11.3,9.6,13,73.7,60.5,10.4,7.3,17.7,18.4,5.1,10.2,30.3,14.6,11.6,8.5,20.7
16077,"Power County","Idaho",64.8,58.3,14.7,37.3,28.7,14.7,33.5,8.2,21.2,15.5,16.9,22.5,12.2,34.4,33.9,74.7,7.8,4.1,10.9,7.8,23.5,72.1,58.8,9.7,7,17.5,16.3,4.6,9.6,31.1,19.1,15.5,10.9,24.2
16079,"Shoshone County","Idaho",66.2,58.7,19.9,34.9,32.8,13.7,35.5,10.2,25.8,19.7,18.7,24.7,15,39.1,35,78.6,10.7,5.7,12.4,12.2,22.9,74.5,54.9,12.4,8.2,20,22.1,6.2,12.1,29,14.1,10.9,8.5,20.9
16081,"Teton County","Idaho",73.6,57.4,11.7,30.1,19.1,17.1,30.6,7.8,14.8,12,14.3,21.4,9.3,27,29.9,71.8,5.7,2.8,10.2,5.7,7.1,71.4,69.2,6.8,4.5,13,11.1,3.1,6.5,28.4,9,8.8,5.9,18.7
16083,"Twin Falls County","Idaho",68.8,61.8,12.9,36.2,24.4,15,33.4,8.4,17.6,13.7,16.7,24.3,10.2,32.3,30.8,75.1,6.7,3.4,10.8,6.6,18.2,74.1,63.9,8.4,5.6,15.7,13.7,3.7,8.2,30,12.2,10.6,7.6,21.3
16085,"Valley County","Idaho",70.8,66,15.4,34.6,26.2,13.7,32.7,10.7,21,16.4,15.4,22.6,13.8,37.6,36.5,78.2,9.9,5,11,10,10.9,76.7,63.3,11.5,6.4,15.3,18.6,4.9,9.2,28.1,9.7,8.3,6.1,18
16087,"Washington County","Idaho",66,60.3,13.8,37.6,27.5,13.7,31.7,10.5,20.4,15.8,15.7,22.5,13.6,38.9,36.9,79,9.5,4.8,11.2,8.8,18,76.7,62.3,11.4,6.9,15.9,17.8,5,9.5,30.6,18,13,10.1,23.5
30001,"Beaverhead County","Montana",74.7,65.7,13.6,30.2,24.3,19.8,29.7,9.4,17,13.2,16.6,24.4,9.9,32.6,31.2,79.4,7.9,4,10.9,7.4,11.2,71.8,63.1,10.7,5,14.1,12.9,3.7,7.6,30.4,10,9,7.1,21.1
30003,"Big Horn County","Montana",66,54.3,23.4,41.3,29.7,19,36.2,7.1,26.4,18.1,20.6,24.4,13.6,35.3,32,74.1,8.5,5.5,13.5,9.5,28.3,69.7,50.5,12.1,8.4,19,17.9,6,11.5,34.6,24.7,18.5,16,27.4
30005,"Blaine County","Montana",68.4,55.6,22.1,41.4,27.8,19.5,31.7,8,23.7,16.7,19.4,24.4,13.3,36.3,31.6,75.4,8.8,5.2,12.3,9.5,23.2,71.7,54.9,12.4,7.2,17.6,17,5.3,10.1,34,20.1,16.6,13.3,26.5
30007,"Broadwater County","Montana",73.4,62.5,17.4,32.5,24.7,19.5,30.2,10,20,15,16.1,23.3,11.5,34.9,33.7,79.7,9.2,4.6,10.9,9.4,11.2,72.4,59.4,11.8,5.6,14.3,15.4,4.4,8,30.4,10.4,9.6,7,21.8
30009,"Carbon County","Montana",73.7,64.6,14.2,29.4,22.9,20.5,31.6,10.9,17,13.5,14.5,21.7,10.6,36.9,32.9,80.3,8.1,4.1,10.5,7.9,12.5,74.4,65.6,10.6,4.7,12.4,13.8,3.7,7,28.4,7.7,7.3,5.5,19
30011,"Carter County","Montana",74.7,66,16,33.4,26.3,17.8,30.2,11.2,19.1,14.9,15.7,22.6,11.9,37.4,36.8,81,9.5,4.8,10.8,9.2,12.3,74.6,61.6,12.5,5.5,13.5,16.3,4.4,8.3,29.3,10.6,8.9,7.2,21.6
30013,"Cascade County","Montana",76.2,63.5,16.2,35.2,24.8,20.8,35.1,8.8,17.3,13.7,17.1,25,9.5,31.6,32.2,75.2,7.5,3.9,11.9,7.8,14.2,75.6,62.3,10.5,5,14.6,13.7,3.7,7.7,32.3,10.7,9.7,7.3,23.2
30015,"Chouteau County","Montana",73.7,61.3,16.9,34.3,26.1,20.6,33.9,9.5,19.8,14.6,16.8,23.9,11.4,35.9,31.4,78,8.3,4.4,11.3,8.3,12.8,73.1,59.4,11.5,5.7,14.7,15.2,4.1,8.3,31.6,12.6,11.1,8.5,22.4
