FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
16001000101,Census Tract 1.01,Ada County,Idaho,1269,0.10874704491725769,0.7391646966115051,0.1520882584712372,0.8810086682427108,0.0338849487785658,0.014972419227738377,0.0,0.07013396375098503,0.0,0.9049019607843137,0.41862745098039217,0.19705882352941176
16001000102,Census Tract 1.02,Ada County,Idaho,3071,0.090524259198958,0.8394659719960925,0.07000976880494952,0.8065776619993488,0.0039075219798111365,0.09671116900032563,0.0429827417779225,0.04982090524259199,0.011745646010530578,0.8712029161603888,0.5394896719319563,0.22235722964763063
16001000201,Census Tract 2.01,Ada County,Idaho,3301,0.16267797637079673,0.5507421993335353,0.286579824295668,0.8697364435019691,0.004544077552256892,0.0463495910330203,0.017570433202059983,0.06179945471069373,0.013466717968449404,0.9534436321662177,0.7256637168141593,0.34628703347441325
16001000202,Census Tract 2.02,Ada County,Idaho,6028,0.20272063702720636,0.597378898473789,0.19990046449900464,0.924850696748507,0.005142667551426675,0.011778367617783676,0.035169210351692105,0.02305905773059058,0.0,0.9431843206342215,0.7348601629597005,0.3005945826910372
16001000302,Census Tract 3.02,Ada County,Idaho,3664,0.23771834061135372,0.5652292576419214,0.1970524017467249,0.9443231441048034,0.0,0.01937772925764192,0.008733624454148471,0.027565502183406112,0.02574416733708769,0.8893805309734514,0.4477071600965406,0.1403861625100563
16001000303,Census Tract 3.03,Ada County,Idaho,2036,0.06041257367387033,0.649803536345776,0.28978388998035365,0.8816306483300589,0.0,0.01768172888015717,0.05451866404715128,0.04616895874263261,0.0,0.9118329466357309,0.39327146171693733,0.18735498839907191
16001000305,Census Tract 3.05,Ada County,Idaho,2939,0.1997277985709425,0.6059884314392651,0.19428376998979244,0.9030282408982647,0.027560394692072134,0.024157876828853352,0.01701258931609391,0.02824089826471589,0.0,0.912782648823258,0.49653899400092294,0.25842178126442084
16001000306,Census Tract 3.06,Ada County,Idaho,4176,0.20234674329501914,0.6360153256704981,0.16163793103448276,0.9109195402298851,0.0,0.05699233716475096,0.007902298850574713,0.02418582375478927,0.005366161616161616,0.9728535353535354,0.5280934343434344,0.23547979797979798
16001000401,Census Tract 4.01,Ada County,Idaho,2453,0.207501019160212,0.6767223807582552,0.11577660008153282,0.9641255605381166,0.0,0.02445984508764778,0.0,0.01141459437423563,0.008658008658008658,0.9291125541125541,0.4128787878787879,0.16233766233766234
16001000402,Census Tract 4.02,Ada County,Idaho,3460,0.16358381502890174,0.7852601156069364,0.05115606936416185,0.815028901734104,0.0,0.1338150289017341,0.0,0.05115606936416185,0.026579520697167756,0.9202614379084967,0.4474945533769063,0.15076252723311548
16001000501,Census Tract 5.01,Ada County,Idaho,3095,0.2591276252019386,0.6397415185783522,0.10113085621970921,0.8080775444264944,0.0,0.09434571890145396,0.02455573505654281,0.07302100161550888,0.017433414043583534,0.9690072639225181,0.6460048426150121,0.2639225181598063
16001000502,Census Tract 5.02,Ada County,Idaho,3455,0.16439942112879885,0.7215629522431259,0.11403762662807525,0.7696092619392185,0.0,0.12069464544138929,0.05036179450072359,0.059334298118668596,0.004914933837429111,0.9731568998109641,0.5731568998109641,0.23440453686200377
16001000601,Census Tract 6.01,Ada County,Idaho,2334,0.25107112253641817,0.6726649528706083,0.07626392459297343,0.895458440445587,0.023993144815766924,0.03470437017994859,0.006426735218508998,0.03941730934018852,0.0,0.963151207115629,0.6753494282083863,0.35006353240152477
16001000602,Census Tract 6.02,Ada County,Idaho,3431,0.14339842611483533,0.7575051005537744,0.09909647333139027,0.9215972019819295,0.015447391431069659,0.0303118624307782,0.0,0.03264354415622268,0.0,0.9399203764024611,0.5765472312703583,0.2290988056460369
16001000701,Census Tract 7.01,Ada County,Idaho,5740,0.1372822299651568,0.6658536585365854,0.19686411149825783,0.8691637630662021,0.0313588850174216,0.04912891986062718,0.024912891986062717,0.025435540069686412,0.03299203640500569,0.9510807736063709,0.6425483503981797,0.28418657565415245
16001000703,Census Tract 7.03,Ada County,Idaho,2356,0.24745331069609508,0.6799660441426146,0.07258064516129033,0.797962648556876,0.0,0.05475382003395586,0.12606112054329371,0.021222410865874362,0.0,1.0,0.7290167865707434,0.36930455635491605
16001000704,Census Tract 7.04,Ada County,Idaho,3525,0.20056737588652482,0.579290780141844,0.2201418439716312,0.8811347517730497,0.0,0.02156028368794326,0.01673758865248227,0.08056737588652482,0.006224826071036251,0.9571585499816917,0.6125961186378616,0.31160746979128523
16001000803,Census Tract 8.03,Ada County,Idaho,4335,0.1637831603229527,0.6719723183391003,0.16424452133794695,0.766320645905421,0.0029988465974625142,0.07797001153402537,0.07427912341407152,0.0784313725490196,0.0009646302250803858,0.9536977491961415,0.6006430868167203,0.17234726688102894
16001000805,Census Tract 8.05,Ada County,Idaho,3501,0.23136246786632392,0.49471579548700373,0.27392173664667235,0.8323336189660097,0.013139103113396172,0.05312767780634105,0.07540702656383891,0.025992573550414167,0.0,0.9834488067744419,0.7501924557351809,0.32217090069284066
16001000806,Census Tract 8.06,Ada County,Idaho,2976,0.14415322580645162,0.7893145161290323,0.06653225806451613,0.7409274193548387,0.0,0.19186827956989247,0.011088709677419355,0.05611559139784946,0.009507829977628635,0.7706935123042505,0.3814317673378076,0.08557046979865772
