"FIPS","Tract","County","State","Total","Under.18","X18.to.64","Over.64","White","Black","AIAN","Asian","NHOPI","Hispanic","Other_Races","Below.9th.grade","High.School","College","Advanced.Degree"
16001000101,"Census Tract 1.01","Ada County","Idaho",1438,0.102225312934631,0.737134909596662,0.160639777468707,0.87134909596662,0.0424200278164117,0,0,0,0.00695410292072323,0.0792767732962448,0,0.908536585365854,0.48780487804878,0.194250871080139
16001000102,"Census Tract 1.02","Ada County","Idaho",3167,0.0748342279760025,0.868013893274392,0.0571518787496053,0.704136406694032,0.00410483107041364,0.00315756236185665,0.0375749921060941,0,0.162298705399432,0.0887275023681718,0.0194805194805195,0.837256493506494,0.414772727272727,0.183441558441558
16001000201,"Census Tract 2.01","Ada County","Idaho",3413,0.16642250219748,0.568414884266042,0.265162613536478,0.843246410782303,0.0181658365074714,0.00380896571930853,0.0184588338704952,0,0.0442426018165836,0.0720773513038383,0.0220973782771536,0.934456928838951,0.70936329588015,0.3812734082397
16001000202,"Census Tract 2.02","Ada County","Idaho",6377,0.220166222361612,0.593382468245256,0.186451309393132,0.902932413360514,0.00407715226595578,0,0.0415555904030108,0,0.0144268464795358,0.0370079974909832,0,0.948455804046858,0.764217252396166,0.293503727369542
16001000302,"Census Tract 3.02","Ada County","Idaho",3517,0.212396929201024,0.596531134489622,0.191071936309355,0.92010235996588,0.00341199886266705,0,0.0153539948820017,0,0.0119419960193347,0.0491896502701166,0.0296822742474916,0.903428093645485,0.482859531772575,0.158444816053512
16001000303,"Census Tract 3.03","Ada County","Idaho",1834,0.0278080697928026,0.674482006543075,0.297709923664122,0.881679389312977,0,0.00708833151581243,0.0452562704471101,0,0.0283533260632497,0.0376226826608506,0.0051413881748072,0.952442159383033,0.361182519280206,0.158740359897172
16001000305,"Census Tract 3.05","Ada County","Idaho",3004,0.190745672436751,0.633155792276964,0.176098535286285,0.846537949400799,0.0243009320905459,0,0.0116511318242344,0,0.0972037283621838,0.020306258322237,0,0.92882096069869,0.524454148471616,0.322270742358079
16001000306,"Census Tract 3.06","Ada County","Idaho",4122,0.196749150897623,0.595584667637069,0.207666181465308,0.911450752062106,0,0,0.00849102377486657,0,0.0490053372149442,0.0310528869480835,0.00603557814485388,0.952668360864041,0.554637865311309,0.268106734434562
16001000401,"Census Tract 4.01","Ada County","Idaho",2293,0.201918883558657,0.670737025730484,0.127344090710859,0.939816833842128,0,0,0,0,0.0505887483645879,0.00959441779328391,0.0143760782058654,0.90914318573893,0.40598044853364,0.171362852213916
16001000402,"Census Tract 4.02","Ada County","Idaho",3585,0.153695955369596,0.806415620641562,0.0398884239888424,0.781311018131102,0,0.0209205020920502,0,0,0.170432357043236,0.0273361227336123,0.0475799835931091,0.888843314191961,0.479491386382281,0.137817883511075
16001000501,"Census Tract 5.01","Ada County","Idaho",3003,0.226107226107226,0.668331668331668,0.105561105561106,0.846153846153846,0.00699300699300699,0,0.0206460206460206,0,0.0446220446220446,0.0815850815850816,0.0133079847908745,0.962927756653992,0.685836501901141,0.268060836501901
16001000502,"Census Tract 5.02","Ada County","Idaho",3533,0.184545711859609,0.675629776393999,0.139824511746391,0.763090857628078,0,0,0.0302858760260402,0,0.150297197848854,0.056326068497028,0.00365764447695684,0.979517190929042,0.577907827359181,0.264081931236284
16001000601,"Census Tract 6.01","Ada County","Idaho",2397,0.228619107217355,0.663746349603671,0.107634543178974,0.91447642886942,0.0129328327075511,0,0.00500625782227785,0,0.0609094701710471,0.0066750104297038,0,0.950488997555012,0.703545232273839,0.349633251833741
16001000602,"Census Tract 6.02","Ada County","Idaho",3301,0.136928203574674,0.76279915177219,0.100272644653135,0.932444713723114,0,0,0.00696758558012723,0,0.0348379279006362,0.0257497727961224,0.00264350453172205,0.959969788519637,0.612537764350453,0.254909365558912
16001000701,"Census Tract 7.01","Ada County","Idaho",5732,0.136252616887648,0.671667829727844,0.192079553384508,0.875087229588276,0.0291346824842987,0,0.0163991625959525,0,0.0474528960223308,0.0319260293091417,0.0282399299474606,0.950525394045534,0.614492119089317,0.283493870402802
16001000703,"Census Tract 7.03","Ada County","Idaho",2527,0.235457063711911,0.681836169370795,0.0827067669172932,0.848832607835378,0,0,0.0929956470122675,0,0.0340324495449149,0.0241392956074397,0.00327332242225859,0.996726677577741,0.780141843971631,0.402618657937807
16001000704,"Census Tract 7.04","Ada County","Idaho",3707,0.209873212840572,0.601025087671972,0.189101699487456,0.867547882384678,0,0.00215807930941462,0.0361478284326949,0,0.0248179120582681,0.0693282978149447,0.00528727529080014,0.967218893197039,0.64046528022559,0.336975678533662
16001000803,"Census Tract 8.03","Ada County","Idaho",4329,0.160545160545161,0.675213675213675,0.164241164241164,0.756756756756757,0,0.0124740124740125,0.0695310695310695,0,0.0974820974820975,0.0637560637560638,0.0101878382680675,0.927730022285896,0.58038841133397,0.186564788283986
16001000805,"Census Tract 8.05","Ada County","Idaho",3394,0.221862109605186,0.481437831467295,0.296700058927519,0.842958161461402,0.0138479670005893,0,0.0618738951090159,0,0.053918680023571,0.0274012964054213,0,0.981930026912726,0.758938869665513,0.362168396770473
16001000806,"Census Tract 8.06","Ada County","Idaho",2807,0.148913430708942,0.821161382258639,0.029925187032419,0.778767367296046,0,0.0203063769148557,0.025650160313502,0,0.146775917349483,0.0285001781261133,0.00835322195704057,0.772076372315036,0.421241050119332,0.102028639618138
