"FIPS","County","State","Gini.Coefficient","Economic.Segregation","Racial.Economic.Segregation","Racial.Segregation","Gender.Pay.Gap","Uninsured.Children","Uninsured..Black.","Uninsured..Hispanic.","Living.Below.Poverty..Black.","Living.Below.Poverty..Hispanic.","Lack_English_Prof"
16001,"Ada County","Idaho",0.4516,0.116542958820539,0.213568886629385,0.804148000598364,0.222019755014679,0.0436080402841055,0.0850523643287845,0.159403669724771,0.215176715176715,0.0826184640522876,0.0115811197435461
16003,"Adams County","Idaho",0.4807,-0.0702054794520548,0.128995433789954,0.885627310284845,0.255752384660308,0.114774114774115,0,0.267676767676768,0,0,0.00224971878515186
16005,"Bannock County","Idaho",0.4405,-0.0925314937012598,0.111757648470306,0.802491606091095,0.223800548320768,0.0305893124687864,0.340025094102886,0.0954773869346734,0.352941176470588,0.122356495468278,0.00307569836445216
16007,"Bear Lake County","Idaho",0.4129,-0.0632582322357019,0.133448873483536,0.928418803418803,0.51687074829932,0.0412748171368861,0,0.282786885245902,NA,0.242424242424242,0.0104455687938632
16009,"Benewah County","Idaho",0.4618,-0.118149824032177,0.0864756158873806,0.83456067789771,0.21669611149776,0.136865342163355,0,0.0683760683760684,NA,0.128205128205128,0.00127781918858482
16011,"Bingham County","Idaho",0.4241,0.00743331875819851,0.146667499531514,0.738574898454881,0.215753008387018,0.0477965215117039,0.0769230769230769,0.135207652823145,NA,0.098876404494382,0.0241246844473713
16013,"Blaine County","Idaho",0.4802,0.0877621665648544,0.198432091223783,0.723056267545466,0.00402022620472775,0.0699111626110467,0,0.225943033102386,NA,0.146778042959427,0.0444845837183903
16015,"Boise County","Idaho",0.3601,0.00766174801362089,0.122020431328036,0.849098819142324,0.318426538294267,0.124645892351275,0.8125,0.230366492146597,NA,0,0.00452313259240114
16017,"Bonner County","Idaho",0.4701,-0.0755650798510128,0.127404459411194,0.898798932384342,0.216257088846881,0.0689288476411446,0.530973451327434,0.141884222474461,0,0.0945558739255014,0.00351404559791698
16019,"Bonneville County","Idaho",0.4279,0.0148462354188759,0.166927935820001,0.804204445283969,0.349273102427192,0.0395186858726315,0,0.115890886685711,0.121794871794872,0.0937417480855559,0.0106180975979428
16021,"Boundary County","Idaho",0.4194,-0.160910031023785,0.0901758014477766,0.862229224103978,0.263096210533793,0.161163779012749,0,0.143061516452074,NA,0.251700680272109,0.00682105263157895
16023,"Butte County","Idaho",0.4652,-0.236971484759095,0.0462143559488692,0.883195177091183,0.232012421816909,0,NA,0.292682926829268,NA,0.333333333333333,0.0162311955661124
16025,"Camas County","Idaho",0.429,-0.0530973451327434,0.100294985250737,0.761904761904762,0.191586485431621,0.0861618798955614,NA,0.0853658536585366,NA,0,0.00474833808167141
16027,"Canyon County","Idaho",0.3945,-0.0273580807105619,0.102046727167407,0.670493595429137,0.234452770839116,0.0830090046100157,0.0431423052157115,0.177934227022857,0.155234657039711,0.130792452830189,0.0280334931831365
16029,"Caribou County","Idaho",0.3877,-0.0958847736625514,0.102880658436214,0.907839280696825,0.307523624718002,0.0138203356367226,NA,0.0154639175257732,NA,0,0.000750300120048019
16031,"Cassia County","Idaho",0.4433,-0.0725904345714979,0.0984462248118475,0.65165905026823,0.302153480499838,0.0730426285574692,0,0.236158345803292,NA,0.115933044017359,0.0464935737082722
16033,"Clark County","Idaho",0.3236,-0.214285714285714,0.0238095238095238,0.592783505154639,0.237766203217541,0.00892857142857143,NA,0.504237288135593,NA,0.162162162162162,0.131541725601132
16035,"Clearwater County","Idaho",0.4263,-0.161190676776186,0.089862398202752,0.882412285618204,0.305509937326139,0.150969529085873,0.466666666666667,0.175548589341693,NA,0,0.0108215033744473
16037,"Custer County","Idaho",0.3954,-0.177961717537506,0.0724262803931712,0.891407844026298,0.0820937022104824,0.0324543610547667,0,0.253968253968254,NA,NA,0.00441860465116279
16039,"Elmore County","Idaho",0.4206,-0.106102507374631,0.077617994100295,0.678200096398816,0.240639787999243,0.0822167295433849,0.0168067226890756,0.245010615711253,0,0.168454935622318,0.0294392000298496
16041,"Franklin County","Idaho",0.4213,-0.00410677618069815,0.153388090349076,0.897587495752633,0.279796704756843,0.120967741935484,NA,0.140858208955224,NA,0.0470588235294118,0.00330955357799515
16043,"Fremont County","Idaho",0.4173,-0.0410563692853972,0.113182423435419,0.83212904167579,0.326547172533179,0.0511415525114155,0,0.292763157894737,NA,0.196078431372549,0.0239390642002176
16045,"Gem County","Idaho",0.4339,-0.0418579530110721,0.111936267890899,0.83821899869044,0.315392362711459,0.102494802494803,0,0.294857768052516,NA,0.131221719457014,0.0195119357754267
16047,"Gooding County","Idaho",0.4414,-0.129716981132075,0.0693033381712627,0.64002541296061,0.120177844629269,0.137272727272727,0,0.411958085062667,NA,0.151616499442586,0.0755585646580907
16049,"Idaho County","Idaho",0.4282,-0.14923100350236,0.0765950966955992,0.897721962616822,0.189345602904438,0.222786238014664,0,0.368595041322314,NA,0.292307692307692,0.0111742190393876
16051,"Jefferson County","Idaho",0.3746,0.00959692898272553,0.141327406808769,0.860147670161941,0.345654903054819,0.0409675116029989,0,0.23030303030303,NA,0.323920265780731,0.018634581224654
16053,"Jerome County","Idaho",0.4368,-0.052573798487436,0.101488167845816,0.574390834274649,0.315587310432671,0.09935532802427,0,0.294365455502896,0,0.17014773306164,0.120906910834968
16055,"Kootenai County","Idaho",0.427,0.0155707339661959,0.158644940958555,0.859988972408516,0.221706527484144,0.0543584371056454,0,0.156689771056501,0,0.0665907797381901,0.00214371207564922
