FIPS,County,State,measure,value
16001,Ada County,Idaho,Vacancy Rate,0.040805976554118634
16003,Adams County,Idaho,Vacancy Rate,0.3428357089272318
16005,Bannock County,Idaho,Vacancy Rate,0.06566151949107418
16007,Bear Lake County,Idaho,Vacancy Rate,0.4146588891706822
16009,Benewah County,Idaho,Vacancy Rate,0.15469613259668508
16011,Bingham County,Idaho,Vacancy Rate,0.07290942784340977
16013,Blaine County,Idaho,Vacancy Rate,0.37713234827826747
16015,Boise County,Idaho,Vacancy Rate,0.3698140200286123
16017,Bonner County,Idaho,Vacancy Rate,0.2638320249408406
16019,Bonneville County,Idaho,Vacancy Rate,0.06563274098007539
16021,Boundary County,Idaho,Vacancy Rate,0.12646793134598014
16023,Butte County,Idaho,Vacancy Rate,0.2023529411764706
16025,Camas County,Idaho,Vacancy Rate,0.5115273775216138
16027,Canyon County,Idaho,Vacancy Rate,0.03177032821938936
16029,Caribou County,Idaho,Vacancy Rate,0.22537456168313674
16031,Cassia County,Idaho,Vacancy Rate,0.08385231316725979
16033,Clark County,Idaho,Vacancy Rate,0.4298642533936652
16035,Clearwater County,Idaho,Vacancy Rate,0.22637410384531828
16037,Custer County,Idaho,Vacancy Rate,0.3890644753476612
16039,Elmore County,Idaho,Vacancy Rate,0.10848126232741617
16041,Franklin County,Idaho,Vacancy Rate,0.049199531433033974
16043,Fremont County,Idaho,Vacancy Rate,0.4802168646902757
16045,Gem County,Idaho,Vacancy Rate,0.049049820236260915
16047,Gooding County,Idaho,Vacancy Rate,0.09639344262295083
16049,Idaho County,Idaho,Vacancy Rate,0.2605562436662538
16051,Jefferson County,Idaho,Vacancy Rate,0.05714829983807982
16053,Jerome County,Idaho,Vacancy Rate,0.06040114613180516
16055,Kootenai County,Idaho,Vacancy Rate,0.1141989155653545
16057,Latah County,Idaho,Vacancy Rate,0.07866200011475127
16059,Lemhi County,Idaho,Vacancy Rate,0.27739430543572047
16061,Lewis County,Idaho,Vacancy Rate,0.151947339550192
16063,Lincoln County,Idaho,Vacancy Rate,0.06943740496705525
16065,Madison County,Idaho,Vacancy Rate,0.13480939806351142
16067,Minidoka County,Idaho,Vacancy Rate,0.07832035857513564
16069,Nez Perce County,Idaho,Vacancy Rate,0.0673659169550173
16071,Oneida County,Idaho,Vacancy Rate,0.06304558680892337
16073,Owyhee County,Idaho,Vacancy Rate,0.1155527795128045
16075,Payette County,Idaho,Vacancy Rate,0.0471356783919598
16077,Power County,Idaho,Vacancy Rate,0.08513513513513514
16079,Shoshone County,Idaho,Vacancy Rate,0.19286526435474702
16081,Teton County,Idaho,Vacancy Rate,0.2623003710275851
16083,Twin Falls County,Idaho,Vacancy Rate,0.051386052756720466
16085,Valley County,Idaho,Vacancy Rate,0.700182525196413
16087,Washington County,Idaho,Vacancy Rate,0.10837331007413868
30001,Beaverhead County,Montana,Vacancy Rate,0.17132515584154434
30003,Big Horn County,Montana,Vacancy Rate,0.185748952128833
30005,Blaine County,Montana,Vacancy Rate,0.18661473087818697
30007,Broadwater County,Montana,Vacancy Rate,0.08723135271807839
30009,Carbon County,Montana,Vacancy Rate,0.266677033120821
30011,Carter County,Montana,Vacancy Rate,0.2503128911138924
30013,Cascade County,Montana,Vacancy Rate,0.11055340399510803
30015,Chouteau County,Montana,Vacancy Rate,0.22873082287308227
30017,Custer County,Montana,Vacancy Rate,0.12582322357019063
30019,Daniels County,Montana,Vacancy Rate,0.3663716814159292
30021,Dawson County,Montana,Vacancy Rate,0.15238748000913868
30023,Deer Lodge County,Montana,Vacancy Rate,0.17181256810751908
30025,Fallon County,Montana,Vacancy Rate,0.21088904203997244
30027,Fergus County,Montana,Vacancy Rate,0.13448735019973368
30029,Flathead County,Montana,Vacancy Rate,0.14485357619533643
30031,Gallatin County,Montana,Vacancy Rate,0.09998380974653259
30033,Garfield County,Montana,Vacancy Rate,0.4544235924932976
30035,Glacier County,Montana,Vacancy Rate,0.21922933034044145
30037,Golden Valley County,Montana,Vacancy Rate,0.2346723044397463
30039,Granite County,Montana,Vacancy Rate,0.472168905950096
30041,Hill County,Montana,Vacancy Rate,0.13910398230088494
30043,Jefferson County,Montana,Vacancy Rate,0.09242761692650334
30045,Judith Basin County,Montana,Vacancy Rate,0.2643957826439578
30047,Lake County,Montana,Vacancy Rate,0.26019323084401774
30049,Lewis And Clark County,Montana,Vacancy Rate,0.09403906965747555
30051,Liberty County,Montana,Vacancy Rate,0.17668269230769232
30053,Lincoln County,Montana,Vacancy Rate,0.19406787371485762
30055,McCone County,Montana,Vacancy Rate,0.24399260628465805
30057,Madison County,Montana,Vacancy Rate,0.42185792349726775
30059,Meagher County,Montana,Vacancy Rate,0.3856164383561644
30061,Mineral County,Montana,Vacancy Rate,0.17010509926041262
30063,Missoula County,Montana,Vacancy Rate,0.07795314955006427
30065,Musselshell County,Montana,Vacancy Rate,0.20395965633171462
30067,Park County,Montana,Vacancy Rate,0.13962696676044598
30069,Petroleum County,Montana,Vacancy Rate,0.3220338983050847
30071,Phillips County,Montana,Vacancy Rate,0.20850111856823267
30073,Pondera County,Montana,Vacancy Rate,0.1863421721758082
30075,Powder River County,Montana,Vacancy Rate,0.2848545636910732
30077,Powell County,Montana,Vacancy Rate,0.20916133378241833
30079,Prairie County,Montana,Vacancy Rate,0.22038980509745126
30081,Ravalli County,Montana,Vacancy Rate,0.10991563181344204
30083,Richland County,Montana,Vacancy Rate,0.19499105545617174
30085,Roosevelt County,Montana,Vacancy Rate,0.26367668802365696
30087,Rosebud County,Montana,Vacancy Rate,0.1891677675033025
30089,Sanders County,Montana,Vacancy Rate,0.19678892325821182
30091,Sheridan County,Montana,Vacancy Rate,0.28257686676427524
30093,Silver Bow County,Montana,Vacancy Rate,0.11778569786157737
30095,Stillwater County,Montana,Vacancy Rate,0.16920764440627012
30097,Sweet Grass County,Montana,Vacancy Rate,0.223950233281493
30099,Teton County,Montana,Vacancy Rate,0.16655336505778381
30101,Toole County,Montana,Vacancy Rate,0.2152389151958674
30103,Treasure County,Montana,Vacancy Rate,0.20250521920668058
30105,Valley County,Montana,Vacancy Rate,0.3044909475664237
30107,Wheatland County,Montana,Vacancy Rate,0.25366695427092323
30109,Wibaux County,Montana,Vacancy Rate,0.21476510067114093
30111,Yellowstone County,Montana,Vacancy Rate,0.05576380464266729
32001,Churchill County,Nevada,Vacancy Rate,0.10948370560234347
32003,Clark County,Nevada,Vacancy Rate,0.09464293345869482
32005,Douglas County,Nevada,Vacancy Rate,0.14240416277084433
32007,Elko County,Nevada,Vacancy Rate,0.11287614033495212
32009,Esmeralda County,Nevada,Vacancy Rate,0.3218707015130674
32011,Eureka County,Nevada,Vacancy Rate,0.38235294117647056
32013,Humboldt County,Nevada,Vacancy Rate,0.09294788695877625
32015,Lander County,Nevada,Vacancy Rate,0.17912048623525206
32017,Lincoln County,Nevada,Vacancy Rate,0.2997416020671835
32019,Lyon County,Nevada,Vacancy Rate,0.06300504040323227
32021,Mineral County,Nevada,Vacancy Rate,0.2134423251589464
32023,Nye County,Nevada,Vacancy Rate,0.1287620106408322
32027,Pershing County,Nevada,Vacancy Rate,0.19450501526384648
32029,Storey County,Nevada,Vacancy Rate,0.11268939393939394
32031,Washoe County,Nevada,Vacancy Rate,0.08279129489390417
32033,White Pine County,Nevada,Vacancy Rate,0.18041857108491702
32510,Carson City,Nevada,Vacancy Rate,0.05019677134366717
49001,Beaver County,Utah,Vacancy Rate,0.18510928961748635
49003,Box Elder County,Utah,Vacancy Rate,0.05571992110453649
49005,Cache County,Utah,Vacancy Rate,0.05139261671140054
49007,Carbon County,Utah,Vacancy Rate,0.16678782843493614
49009,Daggett County,Utah,Vacancy Rate,0.7731601731601732
49011,Davis County,Utah,Vacancy Rate,0.032947942756428095
49013,Duchesne County,Utah,Vacancy Rate,0.24924521972492453
49015,Emery County,Utah,Vacancy Rate,0.1636984630397658
49017,Garfield County,Utah,Vacancy Rate,0.4352187238785177
49019,Grand County,Utah,Vacancy Rate,0.16257266079129945
49021,Iron County,Utah,Vacancy Rate,0.1387136347704171
49023,Juab County,Utah,Vacancy Rate,0.054380664652567974
49025,Kane County,Utah,Vacancy Rate,0.4904214559386973
49027,Millard County,Utah,Vacancy Rate,0.14488977955911825
49029,Morgan County,Utah,Vacancy Rate,0.05948343334202974
49031,Piute County,Utah,Vacancy Rate,0.36434977578475336
49033,Rich County,Utah,Vacancy Rate,0.7460366801367734
49035,Salt Lake County,Utah,Vacancy Rate,0.05356388271697496
49037,San Juan County,Utah,Vacancy Rate,0.1714183891660727
49039,Sanpete County,Utah,Vacancy Rate,0.16222945795824556
49041,Sevier County,Utah,Vacancy Rate,0.15071797817346352
49043,Summit County,Utah,Vacancy Rate,0.44756925894833244
49045,Tooele County,Utah,Vacancy Rate,0.0450741569309802
49047,Uintah County,Utah,Vacancy Rate,0.13321234119782213
49049,Utah County,Utah,Vacancy Rate,0.037903083007063174
49051,Wasatch County,Utah,Vacancy Rate,0.22407095688204065
49053,Washington County,Utah,Vacancy Rate,0.15291228336688062
49055,Wayne County,Utah,Vacancy Rate,0.3666082895504962
49057,Weber County,Utah,Vacancy Rate,0.06330949845326841
56001,Albany County,Wyoming,Vacancy Rate,0.11347744862556712
56003,Big Horn County,Wyoming,Vacancy Rate,0.18864059590316573
56005,Campbell County,Wyoming,Vacancy Rate,0.10389935846030474
56007,Carbon County,Wyoming,Vacancy Rate,0.2840632603406326
56009,Converse County,Wyoming,Vacancy Rate,0.14090019569471623
56011,Crook County,Wyoming,Vacancy Rate,0.2129049823032943
56013,Fremont County,Wyoming,Vacancy Rate,0.1523095415259573
56015,Goshen County,Wyoming,Vacancy Rate,0.13771331058020478
56017,Hot Springs County,Wyoming,Vacancy Rate,0.1650602409638554
56019,Johnson County,Wyoming,Vacancy Rate,0.15447680690399138
56021,Laramie County,Wyoming,Vacancy Rate,0.05616006395452123
56023,Lincoln County,Wyoming,Vacancy Rate,0.19369046399672232
56025,Natrona County,Wyoming,Vacancy Rate,0.1028543705021428
56027,Niobrara County,Wyoming,Vacancy Rate,0.17198838896952104
56029,Park County,Wyoming,Vacancy Rate,0.11030851279281711
56031,Platte County,Wyoming,Vacancy Rate,0.16731099656357387
56033,Sheridan County,Wyoming,Vacancy Rate,0.11295615647151483
56035,Sublette County,Wyoming,Vacancy Rate,0.2901317045237641
56037,Sweetwater County,Wyoming,Vacancy Rate,0.12290648080724019
56039,Teton County,Wyoming,Vacancy Rate,0.305117381322669
56041,Uinta County,Wyoming,Vacancy Rate,0.15663058186738837
56043,Washakie County,Wyoming,Vacancy Rate,0.11246753246753247
56045,Weston County,Wyoming,Vacancy Rate,0.19402985074626866
16001,Ada County,Idaho,No Vehicle,0.01681101747815231
16003,Adams County,Idaho,No Vehicle,0.0
16005,Bannock County,Idaho,No Vehicle,0.02247191011235955
16007,Bear Lake County,Idaho,No Vehicle,0.02942258183155572
16009,Benewah County,Idaho,No Vehicle,0.005248687828042989
16011,Bingham County,Idaho,No Vehicle,0.011817930015695689
16013,Blaine County,Idaho,No Vehicle,0.006144512716807965
16015,Boise County,Idaho,No Vehicle,0.01726660813579163
16017,Bonner County,Idaho,No Vehicle,0.035882144842573405
16019,Bonneville County,Idaho,No Vehicle,0.008885695257457324
16021,Boundary County,Idaho,No Vehicle,0.0035669324381032313
16023,Butte County,Idaho,No Vehicle,0.06033630069238378
16025,Camas County,Idaho,No Vehicle,0.02926829268292683
16027,Canyon County,Idaho,No Vehicle,0.014673455119126584
16029,Caribou County,Idaho,No Vehicle,0.007010057909174032
16031,Cassia County,Idaho,No Vehicle,0.01760471771745729
16033,Clark County,Idaho,No Vehicle,0.0
16035,Clearwater County,Idaho,No Vehicle,0.018441403926234383
16037,Custer County,Idaho,No Vehicle,0.01770890979524073
16039,Elmore County,Idaho,No Vehicle,0.015641462030958748
16041,Franklin County,Idaho,No Vehicle,0.022990279277889214
16043,Fremont County,Idaho,No Vehicle,0.008025956284153006
16045,Gem County,Idaho,No Vehicle,0.009117137911136757
16047,Gooding County,Idaho,No Vehicle,0.014863512934114621
16049,Idaho County,Idaho,No Vehicle,0.009596344249809596
16051,Jefferson County,Idaho,No Vehicle,0.005722559293987866
16053,Jerome County,Idaho,No Vehicle,0.027223552363217166
16055,Kootenai County,Idaho,No Vehicle,0.02224782731273213
16057,Latah County,Idaho,No Vehicle,0.023898807858062348
16059,Lemhi County,Idaho,No Vehicle,0.016039481801357187
16061,Lewis County,Idaho,No Vehicle,0.00612088752869166
16063,Lincoln County,Idaho,No Vehicle,0.0031323414252153485
16065,Madison County,Idaho,No Vehicle,0.009864533139376307
16067,Minidoka County,Idaho,No Vehicle,0.009054837725099196
16069,Nez Perce County,Idaho,No Vehicle,0.010192466887417219
16071,Oneida County,Idaho,No Vehicle,0.001776988005330964
16073,Owyhee County,Idaho,No Vehicle,0.014218009478672985
16075,Payette County,Idaho,No Vehicle,0.01223744292237443
16077,Power County,Idaho,No Vehicle,0.02833099579242637
16079,Shoshone County,Idaho,No Vehicle,0.01890909090909091
16081,Teton County,Idaho,No Vehicle,0.004319332737563301
16083,Twin Falls County,Idaho,No Vehicle,0.015963592633639084
16085,Valley County,Idaho,No Vehicle,0.05847474953997137
16087,Washington County,Idaho,No Vehicle,0.020621247716001045
30001,Beaverhead County,Montana,No Vehicle,0.0054757015742642025
30003,Big Horn County,Montana,No Vehicle,0.01977401129943503
30005,Blaine County,Montana,No Vehicle,0.04644700277888051
30007,Broadwater County,Montana,No Vehicle,0.003404255319148936
30009,Carbon County,Montana,No Vehicle,0.02557200538358008
30011,Carter County,Montana,No Vehicle,0.011382113821138212
