FIPS,County,State,Type,RE,Sex,All Site,Bladder,Brain & ONS,Cervix,Colon & Rectum,"Corpus Uteri & Uterus, NOS",Esophagus,Female Breast,Kidney & Renal Pelvis,Leukemia,Liver & IBD,Lung & Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma,Oral Cavity & Pharynx,Ovary,Pancreas,Prostate,Stomach,Thyroid
16005,Bannock County,Idaho,Mortality,White NH,Female,132.2,,,,12.6,,,20.1,,,,23.0,,,,,13.0,,,
16005,Bannock County,Idaho,Mortality,White NH,Male,181.8,,,,15.7,,,,,10.5,,31.3,,,,,13.6,29.9,,
16007,Bear Lake County,Idaho,Mortality,All,All,127.7,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,All,Female,109.4,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,All,Male,155.4,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,White NH,All,123.9,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,White NH,Female,103.7,,,,,,,,,,,,,,,,,,,
16007,Bear Lake County,Idaho,Mortality,White NH,Male,152.4,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,All,All,157.2,,,,,,,,,,,39.4,,,,,,,,
16009,Benewah County,Idaho,Mortality,All,Female,134.6,,,,,,,,,,,44.8,,,,,,,,
16009,Benewah County,Idaho,Mortality,All,Male,177.8,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,American Indian/Alaska Native NH,All,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Hispanic,All,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,Hispanic,Male,,,,,,,,,,,,,,,,,,,,
16009,Benewah County,Idaho,Mortality,White NH,All,162.9,,,,,,,,,,,41.0,,,,,,,,
16009,Benewah County,Idaho,Mortality,White NH,Female,144.7,,,,,,,,,,,49.0,,,,,,,,
16009,Benewah County,Idaho,Mortality,White NH,Male,179.4,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,All,All,140.6,,,,15.7,,,,,7.3,,24.2,,,,,7.0,,,
16011,Bingham County,Idaho,Mortality,All,Female,126.7,,,,11.9,,,24.5,,,,16.3,,,,11.9,,,,
16011,Bingham County,Idaho,Mortality,All,Male,156.4,,,,20.0,,,,,,,32.0,,,,,,24.0,,
16011,Bingham County,Idaho,Mortality,American Indian/Alaska Native NH,All,149.5,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,American Indian/Alaska Native NH,Female,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,American Indian/Alaska Native NH,Male,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Asian/Pacific Islander NH,All,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Asian/Pacific Islander NH,Female,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Asian/Pacific Islander NH,Male,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Black NH,All,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Black NH,Female,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Black NH,Male,,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Hispanic,All,102.7,,,,,,,,,,,,,,,,,,,
16011,Bingham County,Idaho,Mortality,Hispanic,Female,,,,,,,,,,,,,,,,,,,,
