"FIPS","County","State","Total","Under.18","X18.to.64","Over.64","White","Black","AIAN","Asian","NHOPI","Hispanic","Other_Races","Below.9th.grade","High.School","College","Advanced.Degree","Urban_Percentage"
16001,"Ada County","Idaho",508052,0.224526229598545,0.618056813082125,0.15741695731933,0.816371158857755,0.0122231582593908,0.00311582278979317,0.0250564902805225,0.0017163597427035,0.0950512939620354,0.0464657161078,0.0170588083739598,0.912905322039041,0.439008819967881,0.153552176937545,0.944341743995054
16003,"Adams County","Idaho",4599,0.17134159599913,0.524896716677539,0.303761687323331,0.888019134594477,0.00239182430963253,0.0104370515329419,0,0,0.045662100456621,0.0534898891063275,0.0111389585073796,0.874129768866611,0.213032581453634,0.0782511835143414,0
16005,"Bannock County","Idaho",88457,0.25446262025617,0.595814915721763,0.149722464022067,0.810698983686989,0.00820737759589405,0.0225985507082537,0.0147529308025368,0.00300711079959754,0.0958770928247623,0.0448579535819664,0.0138822740823058,0.892557901606957,0.302058527808647,0.106648321603076,0.829839803259096
16007,"Bear Lake County","Idaho",6552,0.271062271062271,0.52014652014652,0.208791208791209,0.931166056166056,0.00274725274725275,0.00763125763125763,0.00259462759462759,0,0.0372405372405372,0.0186202686202686,0.0030416471689284,0.886991109031352,0.203322414599906,0.0636406176883482,0
16009,"Benewah County","Idaho",9913,0.220821143952386,0.54463835367699,0.234540502370624,0.841924745283971,0.00736406738626047,0.0744476949460305,0.000403510541712902,0.00191667507313629,0.0358115605770201,0.0381317461918693,0.0233578708946772,0.815402038505096,0.198046432616082,0.067242355605889,0
16011,"Bingham County","Idaho",48993,0.297389422978793,0.554466964668422,0.148143612352785,0.741289571979671,0.00271467352478926,0.0483742575469965,0.00410262690588451,0.000449043740942584,0.175923091053824,0.0271467352478926,0.0497323892157841,0.831022904823643,0.207872078720787,0.0588411289518301,0.40298383063844
16013,"Blaine County","Idaho",24579,0.195898938117906,0.585784612880915,0.21831644900118,0.727287521868262,0.00423125432279588,0.00939826681313316,0.00516701249033728,4.06851377191912e-05,0.212417104031897,0.0414581553358558,0.0514365411436541,0.872747559274756,0.455285913528591,0.12463040446304,0.757292353328939
16015,"Boise County","Idaho",8045,0.153635798632691,0.573275326289621,0.273088875077688,0.851211932877564,0.00211311373523928,0.00944686140459913,0.015288999378496,0,0.0476072094468614,0.0743318831572405,0.0047066206463759,0.888139315971133,0.299497960464387,0.0961719485409476,0
16017,"Bonner County","Idaho",49456,0.196214817211258,0.542300226463928,0.261484956324814,0.90140731154966,0.00260837916531867,0.0048325784535749,0.00616709802652863,0.000444839857651246,0.0364768683274021,0.0480629246198641,0.0217174574946784,0.860965160455905,0.28930563414437,0.100234419206208,0.27221396731055
16019,"Bonneville County","Idaho",127056,0.301914116609999,0.561571275657978,0.136514607732024,0.807510074297947,0.00330562901397809,0.00373850900390379,0.00835064853293036,0.0015347563279184,0.141606850522604,0.0339535323007178,0.0304375721801617,0.870691646349288,0.322135249582959,0.100012832028744,0.848084927882288
16021,"Boundary County","Idaho",12695,0.233320204805041,0.531153997636865,0.235525797558094,0.869633714060654,0.00740448995667586,0.0155179204411186,0.015833005120126,0.000551398188263096,0.0556124458448208,0.0354470263883419,0.0433245924067951,0.799566754075932,0.195758750427545,0.077414205905826,0
16023,"Butte County","Idaho",2654,0.265636774679729,0.535418236623964,0.198944988696307,0.883195177091183,0,0.000376789751318764,0,0.00301431801055011,0.0776186887716654,0.0357950263752826,0.0372250423011844,0.818386914833615,0.138183869148336,0.0377890580936266,0
16025,"Camas County","Idaho",1155,0.331601731601732,0.519480519480519,0.148917748917749,0.761904761904762,0,0.00692640692640693,0,0,0.141991341991342,0.0891774891774892,0.100407055630936,0.837177747625509,0.274084124830393,0.0895522388059701,0
16027,"Canyon County","Idaho",242405,0.271566180565582,0.584893050885914,0.143540768548504,0.676632082671562,0.00613848724242487,0.00269796415090448,0.00794950599203812,0.0017078855634166,0.257659701738826,0.0472143726408284,0.0541408520293068,0.818516327419533,0.228304327757588,0.0665448800878944,0.8127301443067
16029,"Caribou County","Idaho",7118,0.274796291093004,0.545799381848834,0.179404327058162,0.907839280696825,0,0.00168586681652149,0.000421466704130374,0,0.0560550716493397,0.0339983141331835,0.025764192139738,0.832314410480349,0.155240174672489,0.0578602620087336,0
16031,"Cassia County","Idaho",25165,0.312259090005961,0.550645738128353,0.137095171865686,0.652493542618717,0.000834492350486787,0.00186767335585138,0.00294059209219154,0.000158950923902245,0.294377111066958,0.0473276375918935,0.0655004339987982,0.812512519196101,0.208987113574147,0.0697068838886292,0.496856621374975
16033,"Clark County","Idaho",776,0.288659793814433,0.579896907216495,0.131443298969072,0.592783505154639,0,0.00128865979381443,0,0,0.306701030927835,0.0992268041237113,0.0421940928270042,0.717299578059072,0.172995780590717,0.0358649789029536,0
16035,"Clearwater County","Idaho",8921,0.153009752269925,0.561820423719314,0.285169824010761,0.884429996637148,0.00201771101894406,0.0126667413967044,0.00975226992489631,0.000112095056608004,0.0424840264544334,0.0485371595112656,0.0138222849083216,0.840620592383639,0.194499294781382,0.0619181946403385,0
16037,"Custer County","Idaho",4411,0.111312627522104,0.527318068465201,0.361369304012696,0.8941283155747,0.00272047154840172,0.00408070732260258,0.0265245975969168,0,0.0296984810700521,0.0428474268873271,0.00135464643727987,0.884042264968843,0.251964237334056,0.0387428881062043,0
