FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Sep),Uninsured
16001,Ada County,Idaho,0.9331498104287258,0.1304583193819836,88907.0,0.6630526155373884,0.031057811718040444,0.054719291706916355,0.06681748856126081,0.027999999999999997,0.0668501895712742
16003,Adams County,Idaho,0.8810148731408574,0.10783027121609799,59286.0,0.48872180451127817,0.06631299734748011,0.11241610738255034,0.02910958904109589,0.046,0.11898512685914264
16005,Bannock County,Idaho,0.9280137378362908,0.22638809387521466,64080.0,0.6199440086320026,0.04621680739468918,0.07640481651376146,0.15518896220755848,0.028999999999999998,0.07198626216370918
16007,Bear Lake County,Idaho,0.9231598398521712,0.1713889744379427,67304.0,0.5724855028994201,0.02619629758994062,0.05596107055961071,0.05632582322357019,0.024,0.0768401601478288
16009,Benewah County,Idaho,0.8598369011213048,0.20917431192660552,56553.0,0.5249627421758569,0.03927135083983913,0.10836712126796903,0.11865258924082453,0.039,0.14016309887869516
16011,Bingham County,Idaho,0.9112958112483759,0.22156454307340112,76842.0,0.6467896231356657,0.058011167469417334,0.07251660994976503,0.11106252732837779,0.027000000000000003,0.08870418875162411
16013,Blaine County,Idaho,0.8969489033206715,0.12580157660417432,84470.0,0.6789893747245752,0.025960914401096127,0.05063291139240506,0.04886988393402566,0.025,0.10305109667932855
16015,Boise County,Idaho,0.8876138206311588,0.12710490208307346,77349.0,0.5221378420977217,0.029637760702524697,0.041820418204182044,0.0681044267877412,0.036000000000000004,0.11238617936884121
16017,Bonner County,Idaho,0.8946231299172476,0.2108148872854755,65168.0,0.5149388312131403,0.03909133932796971,0.07535393514994672,0.07842236848818818,0.036000000000000004,0.10537687008275243
16019,Bonneville County,Idaho,0.9204455875210014,0.21738714994386363,76646.0,0.6517021024386564,0.03842846749123619,0.06362007168458782,0.1082115358015584,0.024,0.07955441247899864
16021,Boundary County,Idaho,0.8638605983450032,0.26607256524506684,62438.0,0.49945016495051486,0.03342674139311449,0.1636310223266745,0.13298862461220268,0.036000000000000004,0.13613940165499683
16023,Butte County,Idaho,0.9239254469379993,0.26702168124762266,43281.0,0.5231820400195217,0.043843283582089554,0.19137931034482758,0.12192723697148476,0.034,0.07607455306200073
16025,Camas County,Idaho,0.8562770562770563,0.23203463203463204,55536.0,0.5507955936352509,0.0,0.024875621890547265,0.0029498525073746312,0.027000000000000003,0.1437229437229437
16027,Canyon County,Idaho,0.8827949347729417,0.21554228433927214,72355.0,0.6438777286874007,0.033632760675021335,0.0731438534162308,0.11110977022591234,0.032,0.11720506522705831
16029,Caribou County,Idaho,0.9265584970111016,0.16623968118417307,66653.0,0.6335666912306559,0.028787438208781622,0.07427536231884058,0.08930041152263374,0.024,0.0734415029888984
16031,Cassia County,Idaho,0.885050985450002,0.22091008020636008,67042.0,0.6610935627927241,0.02520800724936156,0.06778846153846153,0.09868900218499636,0.024,0.11494901454999795
16033,Clark County,Idaho,0.8261997405966277,0.2723735408560311,52083.0,0.6318493150684932,0.018970189701897018,0.09090909090909091,0.03571428571428571,0.024,0.1738002594033723
16035,Clearwater County,Idaho,0.8769174131795312,0.17388636642532826,57961.0,0.4595439739413681,0.03459030337397222,0.07998232434821034,0.07188991856220163,0.043,0.1230825868204688
16037,Custer County,Idaho,0.8585488670176241,0.15403982604715039,56957.0,0.4789262418464626,0.021477213200628602,0.04868316041500399,0.05431971029487843,0.027999999999999997,0.14145113298237588
16039,Elmore County,Idaho,0.8778257456828885,0.19823390894819468,58976.0,0.5638766519823789,0.0661764705882353,0.08196721311475409,0.1027839233038348,0.028999999999999998,0.12217425431711149
16041,Franklin County,Idaho,0.8870175917087141,0.1633710623210146,65991.0,0.6207854761022601,0.017905102954341987,0.053881034942651375,0.07700205338809035,0.022000000000000002,0.11298240829128592
16043,Fremont County,Idaho,0.877993331312519,0.23757199151257957,72767.0,0.5757045496408179,0.04623260278355463,0.066608493310064,0.10053262316910785,0.021,0.122006668687481
16045,Gem County,Idaho,0.8809487375669472,0.19127773527161437,66245.0,0.5722420374194356,0.02832148715144888,0.06878698224852071,0.08034026465028356,0.034,0.11905126243305275
16047,Gooding County,Idaho,0.8040380806338253,0.21206312695674398,62395.0,0.6329822801738549,0.05044236101941107,0.09459829997258021,0.11121190130624092,0.027000000000000003,0.19596191936617469
16049,Idaho County,Idaho,0.8473728609303447,0.17335502530730296,60975.0,0.496895724566107,0.0370580718443845,0.07839218298911836,0.054362722704431245,0.031000000000000003,0.1526271390696553
16051,Jefferson County,Idaho,0.9138140476561283,0.2109640242952811,82952.0,0.6619865701578442,0.02476617046502437,0.0743935983995999,0.07162339630265684,0.023,0.08618595234387172
16053,Jerome County,Idaho,0.8422057091809803,0.27145003451496325,69338.0,0.6531585874095196,0.03752833515238015,0.1258309591642925,0.09246157599414491,0.027000000000000003,0.15779429081901974
16055,Kootenai County,Idaho,0.9040845621819131,0.16564065611719783,77034.0,0.60463444036348,0.03269284581662158,0.059872557885217975,0.0855666821023385,0.032,0.09591543781808687
16057,Latah County,Idaho,0.9260007986423081,0.10986323250474193,65179.0,0.6265013675823522,0.06135813600341669,0.08027121609798775,0.0567318470544277,0.025,0.07399920135769189
16059,Lemhi County,Idaho,0.9315612967333251,0.2846851322817041,52057.0,0.5321533923303835,0.03353658536585366,0.09418729817007535,0.1364179104477612,0.031000000000000003,0.0684387032666749
