"FIPS","County","State","Vacancy.Rate","No.Vehicle","Single.Parent.Household","Multi.Unit.Structures","Mobile.Homes","Owner.Occupied.Housing","Crowded.Housing","Lack.Complete.Plumbing","Median.Home.Value","Median.Monthly.Mortgage","Median.Gross.Rent","No.Home.Broadband","Rent.Burden..40..Income."
16001,"Ada County","Idaho",0.0408059765541186,0.0168110174781523,0.0508134214539908,0.0824116878303782,0.030165603604658,0.713543467208948,0.0200711743772242,0.00383324860193188,476000,1832,1465,0.0407107448709758,0.284066304617897
16003,"Adams County","Idaho",0.342835708927232,0,0.0279680365296804,0.0101275318829707,0.04576144036009,0.831050228310502,0.0205479452054795,0.00171232876712329,327300,1469,823,0.159779005524862,0.199324324324324
16005,"Bannock County","Idaho",0.0656615194910742,0.0224719101123595,0.0540491901619676,0.0635036291791609,0.0761987501050921,0.686322735452909,0.0162267546490702,0.000329934013197361,267200,1405,879,0.0882951594413121,0.312009944540065
16007,"Bear Lake County","Idaho",0.414658889170682,0.0294225818315557,0.0407279029462738,0.0121734719756531,0.0395637839208724,0.850086655112652,0.0138648180242634,0.0116984402079723,234200,1278,687,0.0680628272251309,0.161849710982659
16009,"Benewah County","Idaho",0.154696132596685,0.00524868782804299,0.0392156862745098,0.0121121971950701,0.17700807479813,0.757164404223228,0.0502765208647562,0.0135746606334842,255800,1367,853,0.134964322120285,0.259834368530021
16011,"Bingham County","Idaho",0.0729094278434098,0.0118179300156957,0.0462239990005622,0.0147092888580032,0.129835533935603,0.806358923105753,0.02879630208008,0.00174901617839965,258000,1405,845,0.0758935016189238,0.229677419354839
16013,"Blaine County","Idaho",0.377132348278267,0.00614451271680796,0.0534514355528406,0.0822499841461095,0.0176295262857505,0.754836082264305,0.0351252290775809,0.00936672775402158,663800,2027,1217,0.0212519639460845,0.186046511627907
16015,"Boise County","Idaho",0.369814020028612,0.0172666081357916,0.0244040862656073,0.00160944206008584,0.129470672389127,0.879965947786606,0.0198637911464245,0.00141884222474461,424100,1659,854,0.090920475892298,0.115839243498818
16017,"Bonner County","Idaho",0.263832024940841,0.0358821448425734,0.0367875912036328,0.0429703639710025,0.118694362017804,0.776468187152406,0.0412776162049084,0.0134190519924486,433400,1743,1059,0.0955526019834373,0.234421364985163
16019,"Bonneville County","Idaho",0.0656327409800754,0.00888569525745732,0.0615519387708055,0.0640387722132472,0.0460096930533118,0.716077274194292,0.0303149061736364,0.00265111346765642,327000,1519,1054,0.0517675560230786,0.237252354660604
16021,"Boundary County","Idaho",0.12646793134598,0.00356693243810323,0.0345398138572906,0.0233062330623306,0.113640469738031,0.779731127197518,0.0266804550155119,0.0184074457083764,344100,1487,867,0.0909236050131715,0.2
16023,"Butte County","Idaho",0.202352941176471,0.0603363006923838,0.0599803343166175,0.0274509803921569,0.176470588235294,0.773844641101278,0.00786627335299902,0.00589970501474926,195800,1272,525,0.086890243902439,0.204347826086957
16025,"Camas County","Idaho",0.511527377521614,0.0292682926829268,0.0147492625368732,0,0.0965417867435159,0.75811209439528,0.0707964601769911,0,248900,1677,992,0.0753246753246753,0.158536585365854
16027,"Canyon County","Idaho",0.0317703282193894,0.0146734551191266,0.0502389457424213,0.0323311872684996,0.0702125422104857,0.750880961575594,0.0409586792817146,0.00488752654952694,350300,1536,1259,0.0511230530248961,0.266918568037591
16029,"Caribou County","Idaho",0.225374561683137,0.00701005790917403,0.0193415637860082,0.0283710551482308,0.124322601211348,0.820164609053498,0.0189300411522634,0.0135802469135802,220200,1237,800,0.0667900882939334,0.290617848970252
16031,"Cassia County","Idaho",0.0838523131672598,0.0176047177174573,0.0512260257344016,0.0222419928825623,0.091970640569395,0.699927166788055,0.0576596261228454,0,257300,1264,920,0.0851141330743079,0.254854368932039
16033,"Clark County","Idaho",0.429864253393665,0,0.0198412698412698,0,0.15158371040724,0.638888888888889,0.00793650793650794,0.0357142857142857,203000,1570,771,0.0605652759084792,0.0659340659340659
16035,"Clearwater County","Idaho",0.226374103845318,0.0184414039262344,0.0317326593653468,0.0158592222463611,0.207038887681947,0.816343723673126,0.0199382196012356,0.005616399887672,240800,1372,847,0.12861894788715,0.230886850152905
16037,"Custer County","Idaho",0.389064475347661,0.0177089097952407,0,0.00853350189633375,0.221238938053097,0.776513191929643,0.00206932229694775,0.0118986032074496,295600,1447,744,0.0825972785867749,0.155092592592593
16039,"Elmore County","Idaho",0.108481262327416,0.0156414620309587,0.0471054572271386,0.0142176199868508,0.114891518737673,0.653300147492625,0.0376106194690266,0.00774336283185841,278300,1346,1111,0.0796908698777857,0.182132411592662
16041,"Franklin County","Idaho",0.049199531433034,0.0229902792778892,0.0250513347022587,0.0042951971885982,0.0447090980085904,0.751950718685832,0.0361396303901437,0,304000,1454,831,0.0242420103796777,0.225165562913907
16043,"Fremont County","Idaho",0.480216864690276,0.00802595628415301,0.033288948069241,0.00196101049717384,0.121121236590149,0.841766533510874,0.0563692853972481,0.00133155792276964,281800,1418,803,0.0492984452028821,0.192145862552595
16045,"Gem County","Idaho",0.0490498202362609,0.00911713791113676,0.0617067242776127,0.0267077555213148,0.109784283513097,0.765865514447745,0.0745341614906832,0,367300,1436,887,0.0635779161138892,0.108996539792388
16047,"Gooding County","Idaho",0.0963934426229508,0.0148635129341146,0.0455370101596517,0.0313114754098361,0.145901639344262,0.713534107402032,0.0473512336719884,0.00852685050798258,231800,1200,859,0.116081141613873,0.222292590246992
