"FIPS","County","State","pctBB_1000_10","pctBB_100_20","pct5G_7_1","pct5G_35_3","LILATracts_Vehicle"
30093,"Silver Bow County","Montana",0.0169,1,0.6342,0.5302,0.137422984195017
30095,"Stillwater County","Montana",0.0488,1,0.5006,0.3911,0
30097,"Sweet Grass County","Montana",0,1,0.5218,0.4417,0
30099,"Teton County","Montana",0.8939,1,0.5907,0.4535,0
30101,"Toole County","Montana",0.0292,1,0.76,0.5095,0
30103,"Treasure County","Montana",0.1519,1,0.5221,0.3832,1
30105,"Valley County","Montana",0.5023,1,0.3108,0.204,0
30107,"Wheatland County","Montana",0.0045,1,0.5194,0.3445,0
30109,"Wibaux County","Montana",0.9407,1,0.3559,0.2783,1
30111,"Yellowstone County","Montana",0.2228,1,0.7788,0.6209,0.0573081487341772
32001,"Churchill County","Nevada",0.8082,1,0.2608,0.2081,0.219625685037742
32003,"Clark County","Nevada",0.6941,1,0.6222,0.5654,0.121294723672531
32005,"Douglas County","Nevada",0.8752,1,0.7462,0.6686,0
32007,"Elko County","Nevada",0.605,1,0.3953,0.2723,0.0596835225318197
32009,"Esmeralda County","Nevada",0.004,1,0.3057,0.2344,1
32011,"Eureka County","Nevada",0,1,0.3757,0.2944,0
32013,"Humboldt County","Nevada",0.1467,1,0.2175,0.1646,0
32015,"Lander County","Nevada",0,1,0.3215,0.2829,0
32017,"Lincoln County","Nevada",0,1,0.1793,0.147,0
32019,"Lyon County","Nevada",0.7748,1,0.6195,0.5375,0.111066235864297
32021,"Mineral County","Nevada",0.6248,1,0.2342,0.183,0
32023,"Nye County","Nevada",0.1438,1,0.2383,0.1824,0.198258651286602
32027,"Pershing County","Nevada",0,1,0.2713,0.227,0
32029,"Storey County","Nevada",0.266,1,0.8406,0.7103,0
32031,"Washoe County","Nevada",0.9594,1,0.2739,0.2239,0.138370705741993
32033,"White Pine County","Nevada",0.0023,1,0.5559,0.3432,0
32510,"Carson City","Nevada",0.922,1,0.9263,0.8591,0
49001,"Beaver County","Utah",0.3416,1,0.633,0.5838,0
49003,"Box Elder County","Utah",0.8501,1,0.625,0.5042,0.159297546394321
49005,"Cache County","Utah",0.1833,1,0.5447,0.4895,0.0488739127930419
49007,"Carbon County","Utah",0.8368,1,0.5165,0.4149,0.208573577337679
49009,"Daggett County","Utah",0.4126,1,0.3683,0.2952,0
49011,"Davis County","Utah",0.8592,1,0.9111,0.778,0
49013,"Duchesne County","Utah",0.5295,1,0.4731,0.3272,0.218390804597701
49015,"Emery County","Utah",0.8067,1,0.5176,0.3991,0.321007502679528
49017,"Garfield County","Utah",0.6141,1,0.3569,0.2939,0
49019,"Grand County","Utah",0.8716,1,0.5071,0.3725,0.522499357161224
49021,"Iron County","Utah",0.7029,1,0.7305,0.5777,0.209293036879244
49023,"Juab County","Utah",0.5569,1,0.3778,0.3107,0
49025,"Kane County","Utah",0.4622,1,0.3434,0.253,0
49027,"Millard County","Utah",0.2419,1,0.4381,0.3518,0
49029,"Morgan County","Utah",0.6048,1,0.4313,0.3175,0
49031,"Piute County","Utah",0.6596,1,0.4078,0.328,1
49033,"Rich County","Utah",0.2705,1,0.5768,0.5219,0
49035,"Salt Lake County","Utah",0.8675,1,0.9298,0.8541,0.0799685951281587
49037,"San Juan County","Utah",0.4215,1,0.2283,0.2116,0.373140954495006
49039,"Sanpete County","Utah",0.5412,1,0.6563,0.5853,0
49041,"Sevier County","Utah",0.5553,1,0.5197,0.4432,0
49043,"Summit County","Utah",0.6743,1,0.3255,0.2675,0
49045,"Tooele County","Utah",0.8948,1,0.6342,0.5465,0.18724611874687
49047,"Uintah County","Utah",0.8025,1,0.6134,0.4103,0
49049,"Utah County","Utah",0.7153,1,0.7461,0.6666,0.00855606605880428
49051,"Wasatch County","Utah",0.4846,1,0.4946,0.421,0
49053,"Washington County","Utah",0.4053,1,0.7928,0.65,0.0762507014287564
49055,"Wayne County","Utah",0.7484,1,0.3355,0.2655,0
49057,"Weber County","Utah",0.5506,1,0.7184,0.5918,0.0322293899527607
56001,"Albany County","Wyoming",0.4011,1,0.5209,0.3658,0
56003,"Big Horn County","Wyoming",0.3606,1,0.3683,0.2646,0
56005,"Campbell County","Wyoming",0.2097,1,0.47,0.2999,0.125669694852085
56007,"Carbon County","Wyoming",0.1232,1,0.23,0.1634,0.216812773951158
56009,"Converse County","Wyoming",0.4319,1,0.3989,0.2946,0
56011,"Crook County","Wyoming",0.2185,1,0.3493,0.2776,0
56013,"Fremont County","Wyoming",0.0933,1,0.1514,0.092,0
56015,"Goshen County","Wyoming",0.2767,1,0.576,0.3821,0
56017,"Hot Springs County","Wyoming",0.7072,1,0.169,0.1099,0
56019,"Johnson County","Wyoming",0.0484,1,0.4382,0.2577,0
56021,"Laramie County","Wyoming",0.2865,1,0.7341,0.5826,0.0583617202469661
56023,"Lincoln County","Wyoming",0.6941,1,0.1521,0.1208,0
56025,"Natrona County","Wyoming",0.334,1,0.5212,0.3408,0.0669584530964202
56027,"Niobrara County","Wyoming",0.573,1,0.2741,0.2254,0
56029,"Park County","Wyoming",0.5884,1,0.2214,0.148,0
56031,"Platte County","Wyoming",0.0436,1,0.6611,0.4811,0
56033,"Sheridan County","Wyoming",0.3806,1,0.3858,0.2519,0
56035,"Sublette County","Wyoming",0.2118,1,0.2008,0.1243,0
56037,"Sweetwater County","Wyoming",0.0276,1,0.2098,0.123,0.137541729893778
56039,"Teton County","Wyoming",0.3782,1,0.1126,0.0846,0
56041,"Uinta County","Wyoming",0.1297,1,0.3105,0.2053,0.343244653103808
56043,"Washakie County","Wyoming",0.837,1,0.1755,0.1176,0
56045,"Weston County","Wyoming",0.4517,1,0.4197,0.2876,0
