FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16001000101,Census Tract 1.01,Ada County,Idaho,0.14271938283510124,0.004132231404958678,0.01124859392575928,0.6297010607521697,0.040501446480231434,0.07086614173228346,0.03374578177727784,0.0,248700.0,1933.0,1053.0,0.1244343891402715,0.4152542372881356
16001000102,Census Tract 1.02,Ada County,Idaho,0.07737594617325484,0.1365827530798072,0.055150410209662715,0.5782169890664424,0.011354079058031959,0.16864175022789427,0.01959890610756609,0.0,604200.0,1790.0,985.0,0.04621848739495793,0.28344298245614036
16001000201,Census Tract 2.01,Ada County,Idaho,0.050826699326393145,0.02169751116783663,0.04709677419354839,0.08756889161053276,0.0,0.7490322580645161,0.005161290322580645,0.0,929000.0,3263.0,1389.0,0.010615048392132342,0.13367609254498714
16001000202,Census Tract 2.02,Ada County,Idaho,0.04397981254506128,0.0,0.06636500754147813,0.028478731074260993,0.0,0.8525641025641025,0.004901960784313725,0.0,842000.0,2818.0,1358.0,0.02323026212525503,0.1483375959079284
16001000302,Census Tract 3.02,Ada County,Idaho,0.03433777154870357,0.006253908692933083,0.038461538461538464,0.17379117028731605,0.0,0.6269956458635704,0.023222060957910014,0.05370101596516691,519600.0,1588.0,1082.0,0.033106710020691654,0.311284046692607
16001000303,Census Tract 3.03,Ada County,Idaho,0.030809859154929578,0.00800711743772242,0.0,0.40316901408450706,0.0,0.45958219800181654,0.0,0.0,433300.0,1447.0,1504.0,0.042612064194798016,0.5411764705882353
16001000305,Census Tract 3.05,Ada County,Idaho,0.012564671101256468,0.0,0.07634730538922156,0.0,0.04065040650406504,0.8488023952095808,0.015718562874251496,0.0,439200.0,1784.0,1615.0,0.01997336884154466,0.29207920792079206
16001000306,Census Tract 3.06,Ada County,Idaho,0.030253025302530254,0.01747487986020096,0.027226318774815655,0.012651265126512651,0.017051705170517052,0.7629041406693137,0.009075439591605219,0.0022688598979013048,449400.0,1694.0,1327.0,0.01932012717045728,0.39473684210526316
16001000401,Census Tract 4.01,Ada County,Idaho,0.015888778550148957,0.0,0.060544904137235116,0.036742800397219465,0.031777557100297914,0.5055499495459133,0.026236125126135216,0.0,410400.0,1542.0,1459.0,0.0030527692978630228,0.26326530612244897
16001000402,Census Tract 4.02,Ada County,Idaho,0.10706967213114754,0.003605769230769231,0.06196213425129088,0.15112704918032788,0.0353483606557377,0.35628227194492257,0.05048766494549627,0.009179575444635685,478800.0,1613.0,1203.0,0.04582743988684579,0.3074866310160428
