FIPS,Tract,County,State,measure,value
16001010340,Census Tract 103.40,Ada County,Idaho,Total,3846.0
16001010341,Census Tract 103.41,Ada County,Idaho,Total,5944.0
16001010342,Census Tract 103.42,Ada County,Idaho,Total,5223.0
16001010343,Census Tract 103.43,Ada County,Idaho,Total,3014.0
16001010344,Census Tract 103.44,Ada County,Idaho,Total,3620.0
16001010345,Census Tract 103.45,Ada County,Idaho,Total,4536.0
16001010346,Census Tract 103.46,Ada County,Idaho,Total,1274.0
16001010347,Census Tract 103.47,Ada County,Idaho,Total,3888.0
16001010348,Census Tract 103.48,Ada County,Idaho,Total,3567.0
16001010349,Census Tract 103.49,Ada County,Idaho,Total,3753.0
16001010350,Census Tract 103.50,Ada County,Idaho,Total,3300.0
16001010351,Census Tract 103.51,Ada County,Idaho,Total,3278.0
16001010352,Census Tract 103.52,Ada County,Idaho,Total,4514.0
16001010353,Census Tract 103.53,Ada County,Idaho,Total,5351.0
16001010354,Census Tract 103.54,Ada County,Idaho,Total,6277.0
16001010355,Census Tract 103.55,Ada County,Idaho,Total,1723.0
16001010356,Census Tract 103.56,Ada County,Idaho,Total,4587.0
16001010357,Census Tract 103.57,Ada County,Idaho,Total,3828.0
16001010358,Census Tract 103.58,Ada County,Idaho,Total,5543.0
16001010359,Census Tract 103.59,Ada County,Idaho,Total,4150.0
16001010360,Census Tract 103.60,Ada County,Idaho,Total,4078.0
16001010361,Census Tract 103.61,Ada County,Idaho,Total,4331.0
16001010362,Census Tract 103.62,Ada County,Idaho,Total,5545.0
16001010363,Census Tract 103.63,Ada County,Idaho,Total,5485.0
16001010364,Census Tract 103.64,Ada County,Idaho,Total,6309.0
16001010365,Census Tract 103.65,Ada County,Idaho,Total,3595.0
16001010366,Census Tract 103.66,Ada County,Idaho,Total,3630.0
16001010367,Census Tract 103.67,Ada County,Idaho,Total,6419.0
16001010368,Census Tract 103.68,Ada County,Idaho,Total,3556.0
16001010369,Census Tract 103.69,Ada County,Idaho,Total,3095.0
16001010370,Census Tract 103.70,Ada County,Idaho,Total,2861.0
16001010371,Census Tract 103.71,Ada County,Idaho,Total,3680.0
