FIPS,Tract,County,State,measure,value
16001010229,Census Tract 102.29,Ada County,Idaho,Gini Coefficient,0.47
16001010230,Census Tract 102.30,Ada County,Idaho,Gini Coefficient,0.4062
16001010231,Census Tract 102.31,Ada County,Idaho,Gini Coefficient,0.4553
16001010232,Census Tract 102.32,Ada County,Idaho,Gini Coefficient,0.4337
16001010233,Census Tract 102.33,Ada County,Idaho,Gini Coefficient,0.5279
16001010234,Census Tract 102.34,Ada County,Idaho,Gini Coefficient,0.481
16001010235,Census Tract 102.35,Ada County,Idaho,Gini Coefficient,0.5294
16001010236,Census Tract 102.36,Ada County,Idaho,Gini Coefficient,0.4855
16001010237,Census Tract 102.37,Ada County,Idaho,Gini Coefficient,0.3525
16001010336,Census Tract 103.36,Ada County,Idaho,Gini Coefficient,0.4473
16001010337,Census Tract 103.37,Ada County,Idaho,Gini Coefficient,0.3328
16001010338,Census Tract 103.38,Ada County,Idaho,Gini Coefficient,0.368
16001010339,Census Tract 103.39,Ada County,Idaho,Gini Coefficient,0.4683
16001010340,Census Tract 103.40,Ada County,Idaho,Gini Coefficient,0.349
16001010341,Census Tract 103.41,Ada County,Idaho,Gini Coefficient,0.3564
16001010342,Census Tract 103.42,Ada County,Idaho,Gini Coefficient,0.3419
16001010343,Census Tract 103.43,Ada County,Idaho,Gini Coefficient,0.4143
16001010344,Census Tract 103.44,Ada County,Idaho,Gini Coefficient,0.3319
16001010345,Census Tract 103.45,Ada County,Idaho,Gini Coefficient,0.4489
16001010346,Census Tract 103.46,Ada County,Idaho,Gini Coefficient,0.3047
16001010347,Census Tract 103.47,Ada County,Idaho,Gini Coefficient,0.4469
16001010348,Census Tract 103.48,Ada County,Idaho,Gini Coefficient,0.2821
16001010349,Census Tract 103.49,Ada County,Idaho,Gini Coefficient,0.2364
16001010350,Census Tract 103.50,Ada County,Idaho,Gini Coefficient,0.3504
16001010351,Census Tract 103.51,Ada County,Idaho,Gini Coefficient,0.55
16001010352,Census Tract 103.52,Ada County,Idaho,Gini Coefficient,0.5017
16001010353,Census Tract 103.53,Ada County,Idaho,Gini Coefficient,0.4058
16001010354,Census Tract 103.54,Ada County,Idaho,Gini Coefficient,0.3775
16001010355,Census Tract 103.55,Ada County,Idaho,Gini Coefficient,0.4253
16001010356,Census Tract 103.56,Ada County,Idaho,Gini Coefficient,0.2932
16001010357,Census Tract 103.57,Ada County,Idaho,Gini Coefficient,0.4651
16001010358,Census Tract 103.58,Ada County,Idaho,Gini Coefficient,0.4472
