FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
16001,Ada County,Idaho,497494,0.22644494204955234,0.6201522028406373,0.15340285510981036,0.8268401226949471,0.01168858317889261,0.08908047132226721,0.025471663979867092,0.04691915882402602,0.01559673771422353,0.9123341578261625,0.42760296111550644,0.14871752640386815,0.944341743995054
16003,Adams County,Idaho,4464,0.16599462365591397,0.5380824372759857,0.29592293906810035,0.8980734767025089,0.002688172043010753,0.043234767025089604,0.0,0.05600358422939068,0.019776440240756664,0.8850673545428489,0.21295500143307539,0.0879908283175695,0.0
16005,Bannock County,Idaho,87434,0.25556419699430427,0.5976393622618204,0.14679644074387538,0.8226204908845529,0.008589335956264153,0.09364778003980145,0.017167234714184413,0.05797515840519706,0.014990250970430925,0.8889862798060927,0.29510044183675294,0.09924333220041859,0.829839803259096
16007,Bear Lake County,Idaho,6436,0.2670913610938471,0.5205096333126166,0.21239900559353636,0.9246426351771286,0.001243008079552517,0.043039154754505905,0.00839030453697949,0.022684897451833438,0.009189443920829406,0.8906691800188501,0.20782280867106503,0.06550424128180961,0.0
16009,Benewah County,Idaho,9731,0.22258760661802487,0.5472202240263077,0.23019216935566744,0.8366046655020039,0.008118384544240057,0.04418867536738259,0.0004110574452779776,0.11067721714109546,0.02481137550783517,0.8161636680208938,0.18601276842716194,0.057893209518282064,0.0
16011,Bingham County,Idaho,48253,0.2993803494083269,0.5556752948003233,0.14494435579134976,0.7352081735850621,0.0016372039044204505,0.18208194309162123,0.003626717509792137,0.07744596190910409,0.050544588155207626,0.8171545268890401,0.19850238257317904,0.05636487406398911,0.40298383063844
16013,Blaine County,Idaho,24248,0.2043467502474431,0.5926674364896074,0.2029858132629495,0.7106153084790499,0.0042477730122071925,0.2345348069943913,0.0042477730122071925,0.04635433850214451,0.03290152470480339,0.8852459016393442,0.44525965837441245,0.1334976498910925,0.757292353328939
16015,Boise County,Idaho,7809,0.15584581892687924,0.5748495325906006,0.26930464848252017,0.8628505570495582,0.003585606351645537,0.0578819311051351,0.007811499551799206,0.06787040594186196,0.00863754889178618,0.8854302477183833,0.2708604954367666,0.09501303780964798,0.0
16017,Bonner County,Idaho,47976,0.19507670501917626,0.5481907620476905,0.25673253293313325,0.9054110388527598,0.0029389694847423713,0.03735200933800233,0.005982157745539437,0.04831582457895615,0.022547193416553143,0.8579332202730129,0.2716505880063388,0.09093942005615947,0.27221396731055
16019,Bonneville County,Idaho,124490,0.3021447505823761,0.564165796449514,0.13368945296810988,0.8141537472889389,0.002674913647682545,0.13773797092135914,0.008763756124989959,0.03666961201702948,0.029739336492890994,0.8703659820958399,0.3187862032648763,0.10326487625065824,0.848084927882288
16021,Boundary County,Idaho,12335,0.23145520875557357,0.5329550060802595,0.235589785164167,0.8848804215646534,0.0037292257802999593,0.05358735306039725,0.013781921361978111,0.04402107823267126,0.04613946968812055,0.7816843826655765,0.18152085036794766,0.07031888798037612,0.0
16023,Butte County,Idaho,2605,0.24069097888675625,0.5397312859884836,0.2195777351247601,0.8879078694817658,0.0,0.05489443378119002,0.0,0.05719769673704415,0.032568072610784836,0.8633208756006406,0.1623064602242392,0.03844100373731981,0.0
16025,Camas County,Idaho,1133,0.30185348631950576,0.5639894086496028,0.13415710503089143,0.7925860547219771,0.0,0.14827890556045895,0.0,0.05913503971756399,0.11050477489768076,0.844474761255116,0.27012278308321963,0.08458390177353342,0.0
16027,Canyon County,Idaho,235006,0.27363982196199244,0.5844021003719054,0.14195807766610213,0.6827315047275389,0.005842404023727054,0.2570359905704535,0.0074806600682535765,0.04690944061002698,0.05532528749644439,0.8128462486624135,0.2159643490863776,0.06421769813211968,0.8127301443067
16029,Caribou County,Idaho,7058,0.2778407480872768,0.5522810994616039,0.16987815245111929,0.8930291867384528,0.0,0.0724001133465571,0.0007084159818645508,0.03386228393312553,0.036214174627860474,0.8433681404132415,0.1566318595867585,0.05576538546989558,0.0
16031,Cassia County,Idaho,24859,0.3097067460477091,0.5494187215897662,0.14087453236252465,0.6763747536103625,0.0012068063880284806,0.2795365863469971,0.003620419164085442,0.03926143449052657,0.06637495792662403,0.8088858970043756,0.20491417031302592,0.05930663076405251,0.496856621374975
16033,Clark County,Idaho,756,0.20767195767195767,0.626984126984127,0.16534391534391535,0.47619047619047616,0.005291005291005291,0.42328042328042326,0.0,0.09523809523809523,0.15261044176706828,0.5823293172690763,0.15261044176706828,0.04417670682730924,0.0
16035,Clearwater County,Idaho,8810,0.14676503972758229,0.5692395005675369,0.2839954597048808,0.885017026106697,0.0021566401816118046,0.04233825198637912,0.008626560726447218,0.061861520998864925,0.015249929398475007,0.8184128777181587,0.18102231008189776,0.05789325049421067,0.0
16037,Custer County,Idaho,4344,0.15032228360957642,0.5138121546961326,0.335865561694291,0.8906537753222836,0.0013812154696132596,0.038904235727440145,0.00023020257826887662,0.06883057090239411,0.024009256580850447,0.8524732426959791,0.28782181081862884,0.052357535435348566,0.0
16039,Elmore County,Idaho,28752,0.2434613244296049,0.6163745130773511,0.14016416249304398,0.7086811352253757,0.02239844184752365,0.17877017250973845,0.02900667779632721,0.06114357262103506,0.057627863538977094,0.8267318573861452,0.20853705433170355,0.054386639564906886,0.620909788599735
16041,Franklin County,Idaho,14376,0.3122565386755704,0.5459098497495827,0.14183361157484697,0.900319977740679,0.0,0.06949081803005008,0.0025041736227045075,0.0276850306065665,0.006438773121048935,0.8883165535003512,0.17209084523530788,0.05420276281901194,0.0
