FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16001000101,Census Tract 1.01,Ada County,Idaho,0.5251,-0.6132530120481928,0.01927710843373494,0.847123719464145,-0.3342618384401115,0.05161290322580645,0.0,0.3684210526315789,1.0,,0.040731504571903575
16001000102,Census Tract 1.02,Ada County,Idaho,0.5561,-0.27602674307545366,0.09407831900668577,0.8026701400195376,0.5077287355555185,0.0,0.0,0.1447811447811448,,1.0,0.019322033898305085
16001000201,Census Tract 2.01,Ada County,Idaho,0.5654,0.24936061381074168,0.35421994884910485,0.8651923659497122,0.48758774921640924,0.045936395759717315,0.0,0.05442176870748299,,0.0,0.0028222013170272815
16001000202,Census Tract 2.02,Ada County,Idaho,0.4702,0.35852713178294576,0.40813953488372096,0.9197080291970803,0.3450049968538328,0.0,0.0,0.0,0.0,0.0,0.0
16001000302,Census Tract 3.02,Ada County,Idaho,0.4844,-0.12849964106245512,0.15218951902368988,0.9443231441048034,0.14550476190476191,0.0,,0.0,,,0.012588271415412957
16001000303,Census Tract 3.03,Ada County,Idaho,0.4671,-0.01217391304347826,0.09043478260869565,0.8816306483300589,0.44161903290591686,0.0,,0.2777777777777778,,,0.0
16001000305,Census Tract 3.05,Ada County,Idaho,0.4191,0.0825057295645531,0.21772345301757068,0.8754678462061926,0.14197771838683526,0.14262820512820512,0.0,0.2535211267605634,0.0,0.0,0.005126327352618088
16001000306,Census Tract 3.06,Ada County,Idaho,0.3835,0.02731929425156517,0.15993170176437108,0.9109195402298851,0.17081534813096066,0.0,0.0,0.0,,0.0,0.0017513134851138354
16001000401,Census Tract 4.01,Ada County,Idaho,0.3294,-0.048582995951417005,0.07995951417004049,0.9641255605381166,-0.01575211267605625,0.03875968992248062,,0.0,,0.0,0.02049530315969257
16001000402,Census Tract 4.02,Ada County,Idaho,0.4134,-0.1513353115727003,0.11275964391691394,0.815028901734104,0.3010940071642947,0.02911208151382824,,0.10151187904967603,,0.0,0.01756007393715342
16001000501,Census Tract 5.01,Ada County,Idaho,0.4412,0.011922503725782414,0.19746646795827125,0.8080775444264944,-0.07902576699942498,0.0,,0.18835616438356165,,0.0,0.0
