FIPS,Tract,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Uninsured
16001000101,Census Tract 1.01,Ada County,Idaho,0.8242710795902285,0.2978723404255319,19500.0,0.6242263483642794,0.05099150141643059,0.16585365853658537,0.1855421686746988,0.1757289204097715
16001000102,Census Tract 1.02,Ada County,Idaho,0.8697492673396288,0.2907847606642787,37240.0,0.7043048694424842,0.05410821643286573,0.0673076923076923,0.2043935052531041,0.13025073266037124
16001000201,Census Tract 2.01,Ada County,Idaho,0.9742838541666666,0.037760416666666664,104486.0,0.5627444009953786,0.010739102969046115,0.009313154831199068,0.03388746803069054,0.02571614583333337
16001000202,Census Tract 2.02,Ada County,Idaho,0.9628400796284008,0.05922362309223623,134643.0,0.6341072858286629,0.049873737373737376,0.031183932346723044,0.05465116279069768,0.03715992037159921
16001000302,Census Tract 3.02,Ada County,Idaho,0.9255893212155638,0.1698381141721102,55449.0,0.6021542738012509,0.01673398730525101,0.08990147783251232,0.1349605168700646,0.07441067878443619
16001000303,Census Tract 3.03,Ada County,Idaho,0.8574950690335306,0.07790927021696252,61071.0,0.6638787245164662,0.0,0.06451612903225806,0.030434782608695653,0.14250493096646943
16001000305,Census Tract 3.05,Ada County,Idaho,0.8764886015651582,0.19156175569921743,81902.0,0.6488095238095238,0.07404980340760157,0.14914772727272727,0.15584415584415584,0.12351139843484182
16001000306,Census Tract 3.06,Ada County,Idaho,0.986077772443591,0.04080652904464714,87479.0,0.7217288336293665,0.03814602132895816,0.00906344410876133,0.0199203187250996,0.01392222755640904
16001000401,Census Tract 4.01,Ada County,Idaho,0.8512026090501427,0.23359152058703628,75032.0,0.7527527527527528,0.017287234042553192,0.0,0.11133603238866396,0.14879739094985733
16001000402,Census Tract 4.02,Ada County,Idaho,0.9488439306358382,0.1777456647398844,67250.0,0.832482124616956,0.045807770961145196,0.13997308209959622,0.0456973293768546,0.05115606936416184
16001000501,Census Tract 5.01,Ada County,Idaho,0.9139290407358739,0.14290407358738502,80100.0,0.7320234113712375,0.014848657909765849,0.05320600272851296,0.05067064083457526,0.08607095926412611
16001000502,Census Tract 5.02,Ada County,Idaho,0.9669852302345786,0.08774978279756733,104280.0,0.7605210420841684,0.005709266578831796,0.01276595744680851,0.01128526645768025,0.03301476976542139
16001000601,Census Tract 6.01,Ada County,Idaho,0.9828620394173093,0.12339331619537275,142174.0,0.7193654266958425,0.006844106463878327,0.0,0.05686695278969957,0.01713796058269068
16001000602,Census Tract 6.02,Ada County,Idaho,0.9300495482366657,0.06995045176333431,78026.0,0.7968696835658388,0.08112724167378309,0.021406727828746176,0.16748768472906403,0.06995045176333425
16001000701,Census Tract 7.01,Ada County,Idaho,0.9491162292447777,0.058203892162113906,82011.0,0.7040994754225762,0.010485651214128035,0.042385057471264365,0.05845728121757177,0.050883770755222324
16001000703,Census Tract 7.03,Ada County,Idaho,0.9859514687100894,0.02979991485738612,192802.0,0.7192790824685964,0.01366742596810934,0.0,0.0,0.01404853128991057
16001000704,Census Tract 7.04,Ada County,Idaho,0.9724259313581696,0.07450865356409504,172885.0,0.5847953216374269,0.011176470588235295,0.02914572864321608,0.018741633199464525,0.02757406864183043
16001000803,Census Tract 8.03,Ada County,Idaho,0.9476367006487488,0.06278962001853568,105307.0,0.7368279569892473,0.045238963881794964,0.02154828411811652,0.009284543965046422,0.05236329935125117
16001000805,Census Tract 8.05,Ada County,Idaho,0.9842902027992002,0.05598400457012282,137188.0,0.5601004664513815,0.03587443946188341,0.024822695035460994,0.005551700208188758,0.01570979720079979
16001000806,Census Tract 8.06,Ada County,Idaho,0.793929173693086,0.20202360876897132,68149.0,0.8589595375722543,0.20995962314939434,0.17463617463617465,0.1258741258741259,0.20607082630691398
16001000807,Census Tract 8.07,Ada County,Idaho,0.9191968658178257,0.03868756121449559,88542.0,0.7975391498881432,0.03927068723702665,0.01674641148325359,0.08008658008658008,0.08080313418217433
16001000808,Census Tract 8.08,Ada County,Idaho,0.9653923541247484,0.05150905432595573,102569.0,0.6777408637873754,0.022058823529411766,0.12127659574468085,0.014989293361884369,0.03460764587525156
16001000809,Census Tract 8.09,Ada County,Idaho,0.9555735056542811,0.1567043618739903,71591.0,0.677931387608807,0.03625377643504532,0.06148282097649186,0.13553113553113552,0.04442649434571888
16001000810,Census Tract 8.10,Ada County,Idaho,0.9834710743801653,0.13762127200862379,85727.0,0.6971452213487794,0.049851632047477744,0.05555555555555555,0.05498489425981873,0.016528925619834656
16001000901,Census Tract 9.01,Ada County,Idaho,0.879245283018868,0.1957547169811321,65536.0,0.7400310719834283,0.009097270818754374,0.09975669099756691,0.09615384615384616,0.12075471698113205
16001000902,Census Tract 9.02,Ada County,Idaho,0.9214044366093727,0.07433524313206993,29709.0,0.5042836041358937,0.06736965436438196,0.3157894736842105,0.11365807067812798,0.07859556339062734
16001001001,Census Tract 10.01,Ada County,Idaho,0.9534033805390589,0.04659661946094107,68875.0,0.732,0.03961748633879782,0.0,0.05361702127659575,0.04659661946094107
16001001002,Census Tract 10.02,Ada County,Idaho,0.9150862068965517,0.10560344827586207,28438.0,0.6288888888888889,0.029681978798586573,0.3645833333333333,0.1104868913857678,0.08491379310344827
16001001003,Census Tract 10.03,Ada County,Idaho,0.8553315994798439,0.17327698309492848,61052.0,0.75177304964539,0.024633123689727462,0.2467948717948718,0.048577376821651634,0.14466840052015606
