FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks,Nitrogen Dioxide,Drinking Water Noncompliance
16001000101,Census Tract 0001.01,Ada County,Idaho,8.83835409836066,0.104589114194237,0.235889998184251,53.531350899441975,2284167.003178614,308.6641005667263,0.0,0.020474662736374,0.325368729170754,61.01145,6.108641915194836,9.98777575181418,0.0
16001000102,Census Tract 0001.02,Ada County,Idaho,8.78447103825137,0.458751636839808,0.234010314767639,46.13219279064704,1993216.1831277125,252.7497390246453,0.0,0.0,0.31504431523213,60.98406,5.540414233157044,10.109446879143878,0.045998160073597
16001000201,Census Tract 0002.01,Ada County,Idaho,8.44965218579235,0.273684210526316,0.122188780293565,36.34623101877803,946047.4402695543,208.47734025076167,0.0,0.0,0.288710949798724,60.85876,0.481025307531433,5.523936579179336,0.0
16001000202,Census Tract 0002.02,Ada County,Idaho,8.59234781420765,0.147902869757174,0.058772856575468,31.5717096516058,803879.4871650438,266.7463682958256,0.0,0.0,0.214222902511733,60.90064,0.713974062464846,3.901661941101328,0.0
16001000302,Census Tract 0003.02,Ada County,Idaho,8.93432950819672,0.156972669936931,0.127010552840353,42.42026051571096,1100063.8915219412,537.3086273624838,0.0,0.0,0.499777354301382,61.00808,1.152312794852525,9.044880900905405,7.408216783216782
16001000303,Census Tract 0003.03,Ada County,Idaho,9.10284672131148,0.011618257261411,0.117558964838608,46.9882128635948,1293228.3061187211,3272.8659283029388,0.0,0.0,0.99826171184914,61.05559,1.295843058077094,9.19802127446577,15.0
16001000305,Census Tract 0003.05,Ada County,Idaho,9.08905136612022,0.014361300075586,0.082958825168795,40.088347100183405,993132.5218176858,628.5785687978816,0.0,0.0,0.33725948073115,60.9976,0.51726830424523,8.290375423361429,15.0
16001000306,Census Tract 0003.06,Ada County,Idaho,9.01908989071038,0.040220385674931,0.083197445442038,40.654426489694494,995073.7588439069,606.2362547883334,0.0,0.0,0.463538120693476,60.99771,1.006379640026635,8.241613559200633,11.293279022403258
16001000401,Census Tract 0004.01,Ada County,Idaho,8.96805765027322,0.117408906882591,0.133076974589952,47.722107237372605,1409785.1353769514,1678.6961917161823,0.0,0.0,0.515433871864191,61.08269,2.514217420566709,9.08674239577284,13.12720118435406
16001000402,Census Tract 0004.02,Ada County,Idaho,8.9226174863388,0.408480944712829,0.14631010274102,48.663997037706885,1784462.1874850243,365.26056900381695,0.0,0.0,0.369919229694426,61.10892,8.128335803512714,10.159428570275129,10.512785262579047
16001000501,Census Tract 0005.01,Ada County,Idaho,8.84609071038251,0.527570789865872,0.102038023213936,42.195306759648304,1229015.8878139877,362.6408647283727,0.0,0.0,0.317885579431835,61.07636,1.567862957011736,8.661426294221734,6.001990710019907
16001000502,Census Tract 0005.02,Ada County,Idaho,8.79951912568306,0.507220216606498,0.070007583785148,42.422797781050335,1302658.5736206477,288.33182177785886,0.0,0.0,0.295783962614652,60.97356,4.768477168458047,8.620791173862237,6.838812918242654
16001000601,Census Tract 0006.01,Ada County,Idaho,8.74894781420765,0.662910798122066,0.074448772615806,41.79691614607006,1315409.332065491,248.11889910854563,0.0,0.0,0.306974378637014,61.01512,5.355425186833883,8.283251121990297,0.0
16001000602,Census Tract 0006.02,Ada County,Idaho,8.6857606557377,0.650630011454754,0.163876508111999,40.84023163927312,1240877.209597809,220.03203403034553,0.0,0.0,0.280952998731008,60.99419,5.328715385919875,8.707865818296405,0.0
16001000701,Census Tract 0007.01,Ada County,Idaho,8.63368224043716,0.433799068529608,0.233004482090423,41.43228652542032,1222511.7026953304,237.91913660162945,0.0,0.07416656342528,0.371498765398616,60.92675,1.841283288495979,7.305601483227248,0.0
16001000703,Census Tract 0007.03,Ada County,Idaho,8.32557103825137,0.0,0.112110106058509,34.42363652,493121.2161781864,269.70592711814265,0.0,0.155233477144561,0.380746319324313,60.70331,0.485088075140099,4.450072765350342,0.428630533719487
16001000704,Census Tract 0007.04,Ada County,Idaho,8.3742631147541,0.039164490861619,0.117715899504,35.41464683038981,716809.3483686865,257.20337315856546,0.0,0.115312515292697,0.352123286109172,60.84236,0.063364290451224,3.164516177932327,0.022805621850968
16001000803,Census Tract 0008.03,Ada County,Idaho,8.58486092896175,0.008209338122114,0.199422128964945,42.32830017982709,799342.7345514604,210.751731920009,0.0,0.174694222621084,0.518063147753624,60.80687,1.520421264599287,7.965123783006712,0.0
16001000805,Census Tract 0008.05,Ada County,Idaho,8.52233524590164,0.029840388619015,0.172461230800289,39.66529747298432,799388.9397525471,383.60392429116825,0.0,0.157046818043547,0.426088558863915,60.87856,1.815049046646976,6.186219693525196,0.0
16001000806,Census Tract 0008.06,Ada County,Idaho,8.75240300546448,0.209491525423729,0.230727075987854,48.06678030760519,1308156.110872793,286.4190129318695,0.0,0.110878957111054,0.412265192507296,61.04426,2.991600513613524,8.587575949511482,0.0
16001000807,Census Tract 0008.07,Ada County,Idaho,8.73123387978142,0.096711798839458,0.219401997298257,44.99369845757123,1103460.0567110647,217.1873333303302,0.0,0.12865795236472,0.461095966346638,60.97743,3.886759992611622,8.137469102763742,0.796170661842303
16001000808,Census Tract 0008.08,Ada County,Idaho,8.66826530054645,0.0,0.224589705990731,43.37766695083829,1042368.2499149943,323.08257174972186,0.0,0.117007496468124,0.417251118759481,60.94744,1.413020031120033,7.575353880583627,0.0
