FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,AIAN,Asian,NHOPI,Hispanic,Other_Races,Below 9th grade,High School,College,Advanced Degree
16001000101,Census Tract 1.01,Ada County,Idaho,1438,0.10222531293463143,0.7371349095966621,0.16063977746870653,0.8713490959666204,0.04242002781641168,0.0,0.0,0.0,0.006954102920723227,0.07927677329624479,0.0,0.9085365853658537,0.4878048780487805,0.19425087108013936
16001000102,Census Tract 1.02,Ada County,Idaho,3167,0.07483422797600253,0.8680138932743922,0.057151878749605305,0.7041364066940322,0.004104831070413641,0.0031575623618566467,0.03757499210609409,0.0,0.16229870539943164,0.08872750236817177,0.01948051948051948,0.8372564935064936,0.4147727272727273,0.18344155844155843
16001000201,Census Tract 2.01,Ada County,Idaho,3413,0.16642250219748023,0.5684148842660416,0.2651626135364782,0.843246410782303,0.018165836507471434,0.003808965719308526,0.018458833870495166,0.0,0.04424260181658365,0.07207735130383827,0.022097378277153558,0.9344569288389513,0.7093632958801498,0.38127340823970035
16001000202,Census Tract 2.02,Ada County,Idaho,6377,0.22016622236161204,0.5933824682452564,0.18645130939313156,0.9029324133605143,0.004077152265955779,0.0,0.04155559040301082,0.0,0.014426846479535831,0.03700799749098322,0.0,0.9484558040468584,0.7642172523961661,0.29350372736954206
16001000302,Census Tract 3.02,Ada County,Idaho,3517,0.2123969292010236,0.5965311344896218,0.19107193630935457,0.92010235996588,0.0034119988626670457,0.0,0.015353994882001705,0.0,0.01194199601933466,0.049189650270116576,0.02968227424749164,0.9034280936454849,0.48285953177257523,0.1584448160535117
16001000303,Census Tract 3.03,Ada County,Idaho,1834,0.027808069792802616,0.6744820065430752,0.29770992366412213,0.8816793893129771,0.0,0.007088331515812432,0.04525627044711014,0.0,0.028353326063249727,0.0376226826608506,0.005141388174807198,0.9524421593830334,0.36118251928020567,0.15874035989717222
16001000305,Census Tract 3.05,Ada County,Idaho,3004,0.190745672436751,0.6331557922769641,0.17609853528628494,0.846537949400799,0.02430093209054594,0.0,0.011651131824234355,0.0,0.09720372836218376,0.02030625832223702,0.0,0.9288209606986899,0.5244541484716158,0.3222707423580786
16001000306,Census Tract 3.06,Ada County,Idaho,4122,0.19674915089762252,0.5955846676370694,0.2076661814653081,0.9114507520621058,0.0,0.0,0.008491023774866569,0.0,0.049005337214944204,0.031052886948083454,0.006035578144853875,0.9526683608640406,0.5546378653113088,0.2681067344345616
16001000401,Census Tract 4.01,Ada County,Idaho,2293,0.20191888355865678,0.6707370257304841,0.12734409071085914,0.9398168338421282,0.0,0.0,0.0,0.0,0.05058874836458788,0.009594417793283908,0.01437607820586544,0.9091431857389304,0.40598044853364,0.17136285221391603
16001000402,Census Tract 4.02,Ada County,Idaho,3585,0.15369595536959554,0.806415620641562,0.039888423988842396,0.7813110181311018,0.0,0.02092050209205021,0.0,0.0,0.1704323570432357,0.027336122733612273,0.0475799835931091,0.8888433141919606,0.47949138638228056,0.13781788351107466
16001000501,Census Tract 5.01,Ada County,Idaho,3003,0.2261072261072261,0.6683316683316683,0.10556110556110557,0.8461538461538461,0.006993006993006993,0.0,0.020646020646020648,0.0,0.044622044622044624,0.08158508158508158,0.013307984790874524,0.9629277566539924,0.6858365019011406,0.26806083650190116
16001000502,Census Tract 5.02,Ada County,Idaho,3533,0.18454571185960938,0.6756297763939995,0.13982451174639116,0.7630908576280782,0.0,0.0,0.030285876026040194,0.0,0.15029719784885368,0.05632606849702802,0.0036576444769568397,0.9795171909290417,0.5779078273591807,0.2640819312362838
16001000601,Census Tract 6.01,Ada County,Idaho,2397,0.22861910721735504,0.6637463496036713,0.10763454317897372,0.9144764288694202,0.012932832707551106,0.0,0.0050062578222778474,0.0,0.06090947017104714,0.006675010429703796,0.0,0.9504889975550123,0.7035452322738386,0.34963325183374083
16001000602,Census Tract 6.02,Ada County,Idaho,3301,0.13692820357467433,0.7627991517721903,0.10027264465313541,0.9324447137231142,0.0,0.0,0.0069675855801272345,0.0,0.03483792790063617,0.025749772796122387,0.0026435045317220545,0.9599697885196374,0.6125377643504532,0.25490936555891236
16001000701,Census Tract 7.01,Ada County,Idaho,5732,0.13625261688764828,0.6716678297278437,0.19207955338450802,0.8750872295882763,0.029134682484298673,0.0,0.016399162595952546,0.0,0.04745289602233078,0.03192602930914166,0.028239929947460597,0.9505253940455342,0.614492119089317,0.2834938704028021
16001000703,Census Tract 7.03,Ada County,Idaho,2527,0.23545706371191136,0.6818361693707954,0.08270676691729323,0.848832607835378,0.0,0.0,0.09299564701226751,0.0,0.03403244954491492,0.024139295607439652,0.0032733224222585926,0.9967266775777414,0.7801418439716312,0.4026186579378069
16001000704,Census Tract 7.04,Ada County,Idaho,3707,0.2098732128405719,0.6010250876719719,0.18910169948745617,0.8675478823846776,0.0,0.002158079309414621,0.0361478284326949,0.0,0.02481791205826814,0.0693282978149447,0.005287275290800141,0.9672188931970391,0.6404652802255905,0.33697567853366234
16001000803,Census Tract 8.03,Ada County,Idaho,4329,0.16054516054516055,0.6752136752136753,0.16424116424116425,0.7567567567567568,0.0,0.012474012474012475,0.06953106953106954,0.0,0.09748209748209748,0.06375606375606375,0.010187838268067495,0.9277300222858962,0.5803884113339701,0.18656478828398598
16001000805,Census Tract 8.05,Ada County,Idaho,3394,0.22186210960518563,0.48143783146729524,0.29670005892751916,0.8429581614614025,0.013847967000589274,0.0,0.06187389510901591,0.0,0.05391868002357101,0.02740129640542133,0.0,0.9819300269127259,0.7589388696655133,0.3621683967704729
16001000806,Census Tract 8.06,Ada County,Idaho,2807,0.14891343070894192,0.8211613822586391,0.029925187032418952,0.7787673672960456,0.0,0.020306376914855716,0.02565016031350196,0.0,0.14677591734948345,0.028500178126113287,0.008353221957040573,0.7720763723150358,0.4212410501193317,0.10202863961813842
16001000807,Census Tract 8.07,Ada County,Idaho,2117,0.13226263580538497,0.7071327350023618,0.16060462919225318,0.7463391591875296,0.011336797354747285,0.0,0.1365139348134152,0.01086443079829948,0.06282475200755787,0.03212092583845064,0.0364321608040201,0.9384422110552764,0.5339195979899497,0.3479899497487437
16001000808,Census Tract 8.08,Ada County,Idaho,2457,0.06593406593406594,0.7134717134717135,0.2205942205942206,0.7936507936507936,0.004884004884004884,0.0,0.1102971102971103,0.052096052096052094,0.015873015873015872,0.0231990231990232,0.005342399222923749,0.978630403108305,0.7280233122875183,0.2015541525012142
16001000809,Census Tract 8.09,Ada County,Idaho,2425,0.2292783505154639,0.6107216494845361,0.16,0.8272164948453609,0.019381443298969073,0.008247422680412371,0.017731958762886597,0.0,0.09072164948453608,0.036701030927835054,0.012338425381903642,0.9559341950646298,0.6022326674500588,0.2344300822561692
16001000810,Census Tract 8.10,Ada County,Idaho,2868,0.1206415620641562,0.7241980474198048,0.15516039051603905,0.8688981868898187,0.0,0.0,0.022315202231520222,0.0,0.06380753138075314,0.04497907949790795,0.02605570530098832,0.9636118598382749,0.44654088050314467,0.215633423180593
16001000901,Census Tract 9.01,Ada County,Idaho,2077,0.0967741935483871,0.7751564756860857,0.1280693307655272,0.8300433317284545,0.01059220028887819,0.003370245546461242,0.012999518536350506,0.0,0.10207029369282619,0.04092441020702937,0.013888888888888888,0.9444444444444444,0.4351851851851852,0.14583333333333334
16001000902,Census Tract 9.02,Ada County,Idaho,6609,0.00741413224390982,0.9810863973369648,0.011499470419125435,0.830988046603117,0.003480102889998487,0.00741413224390982,0.03207747011650779,0.0,0.10455439552125889,0.021485852625208048,0.00684931506849315,0.9197651663405088,0.47847358121330724,0.10176125244618395
16001001001,Census Tract 10.01,Ada County,Idaho,2063,0.09694619486185167,0.7270964614638875,0.17595734367426077,0.8618516723218613,0.015511391177896268,0.0,0.0058167716917111,0.0,0.07319437712069801,0.043625787687833255,0.0044585987261146496,0.9515923566878981,0.629936305732484,0.2700636942675159
16001001002,Census Tract 10.02,Ada County,Idaho,2648,0.03323262839879154,0.9274924471299094,0.03927492447129909,0.7583081570996979,0.0056646525679758305,0.0,0.029833836858006044,0.0,0.09138972809667674,0.1148036253776435,0.0,0.9641618497109826,0.5468208092485549,0.1352601156069364
16001001003,Census Tract 10.03,Ada County,Idaho,3231,0.17827298050139276,0.6799752398638192,0.141751779634788,0.8743423088826988,0.012999071494893221,0.0,0.025069637883008356,0.0,0.05818632002476014,0.02940266171463943,0.004725085910652921,0.8526632302405498,0.45575601374570446,0.13445017182130584
16001001100,Census Tract 11,Ada County,Idaho,4992,0.27283653846153844,0.5765224358974359,0.15064102564102563,0.7395833333333334,0.010817307692307692,0.0028044871794871795,0.0008012820512820513,0.0,0.1919070512820513,0.054086538461538464,0.0790943840047045,0.7774184063510732,0.3316671567186122,0.12231696559835342
16001001201,Census Tract 12.01,Ada County,Idaho,3463,0.15131388969101936,0.5723361247473289,0.27634998556165175,0.8567715853306381,0.009240542881894312,0.0008663008951775916,0.009529309846953509,0.008663008951775917,0.06901530464914814,0.04591394744441236,0.018921813637986434,0.9139593002499108,0.38236344162799,0.12495537308104249
16001001203,Census Tract 12.03,Ada County,Idaho,3901,0.22378877210971546,0.6498333760574212,0.12637785183286337,0.7157139195078185,0.04434760317867213,0.0023071007433991286,0.0053832350679313,0.0002563445270443476,0.1814919251473981,0.05049987182773648,0.05769996020692399,0.8463987266215679,0.5065658575407879,0.13211301233585357
16001001204,Census Tract 12.04,Ada County,Idaho,3895,0.15969191270860078,0.6785622593068036,0.16174582798459564,0.74403080872914,0.0020539152759948653,0.011039794608472401,0.014890885750962772,0.0,0.1858793324775353,0.042105263157894736,0.021114572516441676,0.9214260989961924,0.38006230529595014,0.0910349601938387
16001001401,Census Tract 14.01,Ada County,Idaho,2381,0.15035699286014279,0.7034859302813944,0.14615707685846283,0.749265014699706,0.011759764804703907,0.004199916001679967,0.04367912641747165,0.006719865602687947,0.14657706845863083,0.0377992440151197,0.018774157923799006,0.9276642738818333,0.37603533959138596,0.1049144119271121
16001001402,Census Tract 14.02,Ada County,Idaho,3125,0.15904,0.60288,0.23808,0.80704,0.0,0.0,0.0,0.00576,0.14656,0.04064,0.02188476998660116,0.8128628852166145,0.2621706118803037,0.10719071013845467
16001001500,Census Tract 15,Ada County,Idaho,3835,0.21720990873533247,0.6683181225554107,0.11447196870925684,0.853715775749674,0.010169491525423728,0.001303780964797914,0.021642764015645372,0.0,0.08996088657105607,0.023207301173402868,0.011662904439428141,0.9179834462001505,0.5436418359668924,0.1948833709556057
16001001600,Census Tract 16,Ada County,Idaho,4439,0.12390177968010813,0.697003829691372,0.17909439062851995,0.716152286551025,0.046632124352331605,0.0009011038522189682,0.031088082901554404,0.009686866411353908,0.11106104978598784,0.08447848614552828,0.018490903668356696,0.9158962123471518,0.38502833283626603,0.08857739337906352
16001001701,Census Tract 17.01,Ada County,Idaho,1864,0.23658798283261803,0.7221030042918455,0.04130901287553648,0.7478540772532188,0.045064377682403435,0.0,0.06276824034334764,0.008583690987124463,0.13304721030042918,0.002682403433476395,0.05025996533795494,0.8795493934142115,0.28422876949740034,0.04246100519930676
16001001702,Census Tract 17.02,Ada County,Idaho,4153,0.18661208764748374,0.7589694196966049,0.05441849265591139,0.7356128100168553,0.021671081146159402,0.013002648687695642,0.03371057067180352,0.0,0.15049361907055142,0.04550927040693475,0.03450891164201744,0.8964732650739476,0.4125900644671976,0.13272658323852862
16001001800,Census Tract 18,Ada County,Idaho,4215,0.14045077105575327,0.6436536180308422,0.2158956109134045,0.8182680901542112,0.010913404507710557,0.0037959667852906285,0.034638196915776985,0.007354685646500593,0.09252669039145907,0.032502965599051005,0.0,0.8936807427373465,0.37705899970050916,0.11290805630428272
16001001900,Census Tract 19,Ada County,Idaho,5280,0.24545454545454545,0.6284090909090909,0.12613636363636363,0.7973484848484849,0.04261363636363636,0.0,0.002462121212121212,0.0026515151515151517,0.1359848484848485,0.01893939393939394,0.033888731996611125,0.8876023722112397,0.3306975430669302,0.12962439988703756
16001002000,Census Tract 20,Ada County,Idaho,5108,0.20869224745497258,0.6321456538762725,0.1591620986687549,0.6519185591229444,0.06323414252153485,0.0,0.052270947533281126,0.0,0.20223179326546595,0.030344557556773687,0.10245788456227561,0.6832366749516708,0.1615575807787904,0.024578845622756144
16001002100,Census Tract 21,Ada County,Idaho,2046,0.16324535679374388,0.5821114369501467,0.2546432062561095,0.8509286412512219,0.047898338220918865,0.0,0.01466275659824047,0.0,0.0689149560117302,0.017595307917888565,0.026625386996904025,0.9368421052631579,0.4086687306501548,0.11021671826625387
16001002223,Census Tract 22.23,Ada County,Idaho,5465,0.256907593778591,0.5903019213174748,0.15279048490393413,0.7796889295516926,0.0,0.0021957913998170175,0.06038426349496798,0.0010978956999085087,0.12186642268984446,0.03476669716376944,0.04700973574408901,0.8631432545201669,0.3591098748261474,0.0976356050069541
16001002225,Census Tract 22.25,Ada County,Idaho,3678,0.2765089722675367,0.5720500271886895,0.1514410005437738,0.8311582381729201,0.0,0.0065252854812398045,0.01984774333877107,0.0,0.04812398042414356,0.0943447525829255,0.006026516673362796,0.9497790277219766,0.4106066693451185,0.10004017677782241
16001002226,Census Tract 22.26,Ada County,Idaho,2966,0.23735670937289277,0.6338503034389751,0.12879298718813217,0.7842211732973702,0.06001348617666891,0.0,0.018543492919757248,0.0,0.09035738368172623,0.04686446392447741,0.004239284032030146,0.9392369288742346,0.442769665567593,0.11116344795101271
16001002227,Census Tract 22.27,Ada County,Idaho,2700,0.24481481481481482,0.5266666666666666,0.2285185185185185,0.7974074074074075,0.0007407407407407407,0.0,0.0022222222222222222,0.0,0.11222222222222222,0.0874074074074074,0.025799214806505887,0.904655075715087,0.4464385866517106,0.126752664049355
16001002228,Census Tract 22.28,Ada County,Idaho,2846,0.2565003513703443,0.5980323260716796,0.14546732255797612,0.8222066057624736,0.0,0.0,0.07730147575544624,0.0,0.04567814476458187,0.054813773717498245,0.031630170316301706,0.9036496350364963,0.30024330900243307,0.06618004866180048
16001002229,Census Tract 22.29,Ada County,Idaho,3692,0.281148429035753,0.5766522210184182,0.1421993499458288,0.863759479956663,0.0,0.0,0.047670639219934995,0.0,0.0590465872156013,0.02952329360780065,0.010582010582010581,0.9527879527879528,0.3243793243793244,0.09157509157509157
16001002230,Census Tract 22.30,Ada County,Idaho,3569,0.23704118800784532,0.5631829644158027,0.19977584757635192,0.772205099467638,0.019052956010086858,0.0033622863547212102,0.06892687027178482,0.008405715886803026,0.04903334267301765,0.07901372933594844,0.03032629558541267,0.9305182341650672,0.47754318618042224,0.1255278310940499
16001002231,Census Tract 22.31,Ada County,Idaho,2816,0.16157670454545456,0.6399147727272727,0.19850852272727273,0.8490767045454546,0.015625,0.0017755681818181818,0.044744318181818184,0.0,0.07279829545454546,0.015980113636363636,0.021012416427889206,0.8810888252148997,0.2979942693409742,0.041069723018147083
