FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
16001000101,Census Tract 1.01,Ada County,Idaho,0.5384,-0.5793025871766029,0.0281214848143982,0.8289290681502086,-0.1101527954117596,0.054878048780487805,0.0,0.6,1.0,,0.0380952380952381
16001000102,Census Tract 1.02,Ada County,Idaho,0.4767,-0.27985414767547856,0.05697356426618049,0.7000315756236186,0.5211904251282644,0.0,0.0,0.048638132295719845,,0.3559322033898305,0.032520325203252036
16001000201,Census Tract 2.01,Ada County,Idaho,0.5766,0.3064516129032258,0.39548387096774196,0.8250805742748315,0.5625,0.05227655986509275,0.0,0.059602649006622516,1.0,0.0,0.010439054344488793
16001000202,Census Tract 2.02,Ada County,Idaho,0.4821,0.41817496229260936,0.4434389140271493,0.8988552610945586,0.3580957545708088,0.0,0.0,0.0,0.0,0.0,0.0
16001000302,Census Tract 3.02,Ada County,Idaho,0.5401,-0.03773584905660377,0.19738751814223512,0.916690361103213,-0.04082829823429335,0.0,0.0,0.0,,,0.0
16001000303,Census Tract 3.03,Ada County,Idaho,0.4388,-0.022706630336058128,0.06721162579473206,0.8816793893129771,0.4468410840962833,0.0,,0.15384615384615385,,,0.0
16001000305,Census Tract 3.05,Ada County,Idaho,0.392,0.06811377245508982,0.19386227544910178,0.822237017310253,-0.03625723126597613,0.15187713310580206,0.0,0.14383561643835616,0.0,0.0,0.0038501925096254812
16001000306,Census Tract 3.06,Ada County,Idaho,0.4148,0.06579693703913783,0.18718094157685763,0.9114507520621058,0.16825095057034223,0.0,,0.039603960396039604,,0.20588235294117646,0.0017766497461928934
16001000401,Census Tract 4.01,Ada County,Idaho,0.3369,0.004036326942482341,0.09485368314833502,0.9398168338421282,-0.007914801922758175,0.0,,0.0,,0.0,0.016881386050644157
16001000402,Census Tract 4.02,Ada County,Idaho,0.4033,-0.07860011474469306,0.14113597246127366,0.7813110181311018,0.268962563179988,0.04024767801857585,,0.09983633387888707,,0.0,0.010749477455957002
16001000501,Census Tract 5.01,Ada County,Idaho,0.4448,0.048585931834662796,0.21174764321972445,0.8391608391608392,-0.0856972179552824,0.0,0.0,0.0,1.0,0.0,0.007800891530460624
16001000502,Census Tract 5.02,Ada County,Idaho,0.5091,0.3413400758533502,0.24968394437420985,0.7630908576280782,-0.06028569321171284,0.0,1.0,0.02448210922787194,,0.0,0.0
16001000601,Census Tract 6.01,Ada County,Idaho,0.6043,0.2804123711340206,0.4536082474226804,0.901543596161869,0.3237076343717905,0.0,0.0,0.0,,0.0,0.0
16001000602,Census Tract 6.02,Ada County,Idaho,0.473,0.11552567237163815,0.23838630806845965,0.9324447137231142,-0.12368442656596335,0.11673151750972763,,0.0,,,0.0
16001000701,Census Tract 7.01,Ada County,Idaho,0.4589,0.13013245033112583,0.20430463576158941,0.8459525471039777,0.1905560882070949,0.09188544152744631,0.0,0.06691449814126393,1.0,0.0,0.012197309417040359
16001000703,Census Tract 7.03,Ada County,Idaho,0.323,0.6175889328063241,0.5365612648221344,0.848832607835378,0.2431648590677019,0.012861736334405145,,0.0,,0.0,0.0
16001000704,Census Tract 7.04,Ada County,Idaho,0.448,0.4476067270375162,0.4482535575679172,0.8675478823846776,-0.03914324851604323,0.0,,0.0,,,0.0
16001000803,Census Tract 8.03,Ada County,Idaho,0.3032,0.2326975476839237,0.26920980926430516,0.7567567567567568,0.2256683158026026,0.03293807641633729,,0.13744075829383887,,0.0,0.008622754491017964
16001000805,Census Tract 8.05,Ada County,Idaho,0.5072,0.410776766969909,0.4450664800559832,0.8291101944608132,0.37117128678987,0.02390438247011952,0.0,0.0,0.0,0.0,0.006234413965087282
16001000806,Census Tract 8.06,Ada County,Idaho,0.367,-0.13343677269200932,0.06982156710628394,0.7787673672960456,0.04281100207780453,0.01647058823529412,1.0,0.29854368932038833,,0.09090909090909091,0.0
16001000807,Census Tract 8.07,Ada County,Idaho,0.374,0.20851528384279475,0.2096069868995633,0.7350023618327822,0.23632630438616375,0.05357142857142857,0.0,0.3533834586466165,,0.0,0.014399205561072492
16001000808,Census Tract 8.08,Ada County,Idaho,0.4756,0.2670080468178493,0.34893928310168254,0.7887667887667887,-0.14413477288759768,0.0,0.0,0.0,,,0.005949851253718657
16001000809,Census Tract 8.09,Ada County,Idaho,0.5917,0.1939615736505032,0.2689844464775846,0.8078350515463918,0.4136460554371002,0.0341726618705036,0.0,0.0,1.0,0.0,0.002276867030965392
16001000810,Census Tract 8.10,Ada County,Idaho,0.3251,-0.0059031877213695395,0.08677685950413223,0.8688981868898187,-0.21790430978568365,0.0,,0.0,,0.0,0.0
16001000901,Census Tract 9.01,Ada County,Idaho,0.3918,-0.023121387283236993,0.11560693641618497,0.8194511314395763,0.36229274514217125,0.0,0.0,0.4386792452830189,,0.3333333333333333,0.03754266211604096
16001000902,Census Tract 9.02,Ada County,Idaho,0.4606,-0.4003466204506066,0.05805892547660312,0.8275079437131184,0.10780281526965185,0.0710997442455243,0.17391304347826086,0.0694645441389291,,0.0,0.006960205779996974
16001001001,Census Tract 10.01,Ada County,Idaho,0.3913,0.035056967572304996,0.16652059596844873,0.8463402811439651,-0.0750837161559561,0.0,0.0,0.06622516556291391,,0.0,0.00099601593625498
16001001002,Census Tract 10.02,Ada County,Idaho,0.3302,-0.4421052631578947,0.0,0.752643504531722,0.3277768786750823,0.0,0.0,0.47520661157024796,,0.0,0.010352760736196318
16001001003,Census Tract 10.03,Ada County,Idaho,0.4576,-0.017603249830737983,0.1943127962085308,0.8613432373878056,0.0401657690424565,0.03284072249589491,0.0,0.0,,,0.01552895503073439
16001001100,Census Tract 11,Ada County,Idaho,0.5196,-0.08238095238095237,0.12238095238095238,0.7287660256410257,0.04249751653623435,0.010721944245889922,0.0,0.1440501043841336,,0.3020833333333333,0.01669100771959107
16001001201,Census Tract 12.01,Ada County,Idaho,0.3867,0.053756030323914544,0.2005513439007581,0.8475310424487439,-0.2431231846916111,0.02264808362369338,0.0,0.0,,0.0,0.01369047619047619
16001001203,Census Tract 12.03,Ada County,Idaho,0.3729,-0.006815365551425031,0.11524163568773234,0.6713663163291463,0.06758062666863218,0.01809954751131222,0.2023121387283237,0.1765536723163842,0.0,0.0,0.022108385009436505
16001001204,Census Tract 12.04,Ada County,Idaho,0.3611,-0.06331877729257641,0.05131004366812227,0.7419768934531451,0.04642044017202129,0.0,1.0,0.013812154696132596,0.0,0.0,0.006217896728845634
16001001401,Census Tract 14.01,Ada County,Idaho,0.4371,-0.017985611510791366,0.1447841726618705,0.7375052498950021,0.14512979360964273,0.0,0.0,0.3237822349570201,,0.5454545454545454,0.006227758007117438
16001001402,Census Tract 14.02,Ada County,Idaho,0.4796,-0.1348314606741573,0.043621943159286185,0.80704,0.28841701635074524,0.04570383912248629,,0.19902912621359223,,0.0,0.026424159231297185
16001001500,Census Tract 15,Ada County,Idaho,0.3594,0.064214463840399,0.16708229426433915,0.8435462842242504,0.2845662689455014,0.0,0.0,0.12753623188405797,,0.0,0.005879059350503919
16001001600,Census Tract 16,Ada County,Idaho,0.3817,-0.11714285714285715,0.03380952380952381,0.6695201621986934,0.1538448255020809,0.11965811965811966,0.0,0.16024340770791076,0.0,0.3401360544217687,0.019471488178025034
16001001701,Census Tract 17.01,Ada County,Idaho,0.3796,-0.15625,0.037259615384615384,0.7027896995708155,-0.07674756693453944,0.0,0.0,0.22580645161290322,0.0,0.38636363636363635,0.054322429906542055
16001001702,Census Tract 17.02,Ada County,Idaho,0.377,-0.21076233183856502,0.06053811659192825,0.7139417288706958,0.20498517305020425,0.00878293601003764,0.0,0.28,,0.18604651162790697,0.023755370229972202
16001001800,Census Tract 18,Ada County,Idaho,0.4661,-0.02917093142272262,0.17860798362333674,0.8073546856465006,0.2679660077590985,0.0,0.0,0.1717948717948718,,0.0,0.0
16001001900,Census Tract 19,Ada County,Idaho,0.3657,0.15256525652565256,0.162016201620162,0.7547348484848485,0.31389581601551675,0.03789004457652303,0.0,0.3969359331476323,0.0,0.0,0.01597763131615738
16001002000,Census Tract 20,Ada County,Idaho,0.4208,-0.21436058700209643,0.04507337526205451,0.5886844166014096,-0.1306507462686568,0.01316872427983539,0.0,0.32906976744186045,0.0,0.5727699530516432,0.0981556073775705
16001002100,Census Tract 21,Ada County,Idaho,0.3773,0.07953216374269007,0.17192982456140352,0.803030303030303,0.22274887218045114,0.06741573033707865,0.0,0.09523809523809523,0.0,0.0,0.01816294758692268
16001002223,Census Tract 22.23,Ada County,Idaho,0.3677,0.28907664453832227,0.3349426674713337,0.7796889295516926,0.2712741980678094,0.1977878985035784,,0.527027027027027,,0.0,0.020278099652375436
16001002225,Census Tract 22.25,Ada County,Idaho,0.3225,0.16864940517844645,0.22043386983904828,0.8311582381729201,-0.011474729173744036,0.017341040462427744,,0.21468926553672316,,0.0,0.0031736872475476054
16001002226,Census Tract 22.26,Ada County,Idaho,0.3415,0.2546583850931677,0.2972493345164153,0.7242076871207013,0.2673460561771588,0.03095558546433378,0.0,0.033582089552238806,0.0,0.0,0.0036363636363636364
16001002227,Census Tract 22.27,Ada County,Idaho,0.317,0.14846235418875928,0.1537645811240721,0.7966666666666666,0.021378615276547608,0.05991440798858773,0.0,0.39603960396039606,,0.0,0.0
16001002228,Census Tract 22.28,Ada County,Idaho,0.4934,0.1954674220963173,0.19263456090651557,0.8222066057624736,0.19434439793633795,0.0,,0.0,,0.0,0.015092879256965945
16001002229,Census Tract 22.29,Ada County,Idaho,0.418,0.12439807383627609,0.17736757624398075,0.863759479956663,0.18413214719598703,0.0,,0.06422018348623854,,0.0,0.0068513553768245455
16001002230,Census Tract 22.30,Ada County,Idaho,0.3598,0.13654618473895583,0.1713520749665328,0.7531521434575511,0.3636991521387063,0.05353075170842825,0.0,0.0,0.0,0.0,0.027939464493597205
16001002231,Census Tract 22.31,Ada County,Idaho,0.3633,0.08341232227488152,0.13459715639810427,0.8334517045454546,0.30689804637914486,0.24615384615384617,0.0,0.43902439024390244,,0.36,0.0066273932253313695
16001002313,Census Tract 23.13,Ada County,Idaho,0.3315,0.013181545835829839,0.08208508088675853,0.7384579329739864,0.08984652699368545,0.0,0.06349206349206349,0.042666666666666665,0.0,0.3333333333333333,0.013975542800099825
16001002314,Census Tract 23.14,Ada County,Idaho,0.398,0.020534861509073542,0.11604584527220631,0.7295347998557519,0.28897695701912074,0.1521216973578863,0.0,0.4886499402628435,,0.0,0.02286038163612318
16001002315,Census Tract 23.15,Ada County,Idaho,0.3944,-0.00283860502838605,0.12570965125709652,0.7743205248359888,0.1741370779231859,0.02702702702702703,0.0,0.042682926829268296,0.0,0.0,0.03188976377952756
16001002316,Census Tract 23.16,Ada County,Idaho,0.4372,-0.058435438265786996,0.12629594721960416,0.8246995441359304,0.22390129177197415,0.06067961165048544,0.0,0.2066115702479339,1.0,0.0,0.04268808114961961
16001002317,Census Tract 23.17,Ada County,Idaho,0.3458,-0.08878923766816144,0.06726457399103139,0.6371386212008896,0.07377477777249608,0.03328290468986384,0.0,0.396969696969697,0.0,0.13366336633663367,0.05305343511450382
16001002318,Census Tract 23.18,Ada County,Idaho,0.3925,0.019250780437044746,0.1149843912591051,0.7279181457506786,0.14392685129440097,0.04807692307692308,0.1506849315068493,0.17192982456140352,0.0,0.2849740932642487,0.023695652173913045
16001002319,Census Tract 23.19,Ada County,Idaho,0.2981,-0.12294117647058823,0.013529411764705882,0.7199102915524546,0.3101392671771417,0.06727480045610035,0.0,0.04387096774193548,,0.21978021978021978,0.005489980785067252
16001002412,Census Tract 24.12,Ada County,Idaho,0.5075,0.08,0.234,0.8873350403781761,0.21538743191908094,0.0,1.0,0.01171875,,0.0,0.00145985401459854
16001002414,Census Tract 24.14,Ada County,Idaho,0.4703,0.005676442762535478,0.11069063386944182,0.794585448392555,0.24945414847161573,0.054242002781641166,,0.45176470588235296,,0.0,0.03224624404543789
16001002415,Census Tract 24.15,Ada County,Idaho,0.3552,0.0945179584120983,0.15879017013232513,0.7814091680814941,0.1544787170358234,0.06578947368421052,0.0,0.0,,0.0,0.004809794490599038
16001002416,Census Tract 24.16,Ada County,Idaho,0.3063,0.0920523138832998,0.12826961770623743,0.8225124149347066,-0.11152207123904478,0.0,0.13953488372093023,0.1271186440677966,1.0,0.0,0.016747809152872443
16001002417,Census Tract 24.17,Ada County,Idaho,0.4369,0.07720588235294118,0.19393382352941177,0.819635552249907,0.5065734084580014,0.0,0.41304347826086957,0.015873015873015872,,0.0,0.0045627376425855515
16001002418,Census Tract 24.18,Ada County,Idaho,0.4353,0.1554959785522788,0.23659517426273458,0.7632548908420754,0.01729513608686084,0.06833333333333333,0.0,0.0,0.0,0.0,0.007017543859649123
16001002419,Census Tract 24.19,Ada County,Idaho,0.4433,-0.021245421245421246,0.17509157509157508,0.8917566499868317,0.23977700723381357,0.199023199023199,0.0,0.0,0.0,0.17647058823529413,0.01359064963305246
16001010101,Census Tract 101.01,Ada County,Idaho,0.4079,0.4738219895287958,0.47513089005235604,0.7728067983004249,0.31564542987541633,0.017391304347826087,,0.0,,0.0,0.007605559926567008
16001010102,Census Tract 101.02,Ada County,Idaho,0.4137,0.3799364502950522,0.44303222877893783,0.9105120433881002,0.39683761045110555,0.030560271646859084,,0.0,,0.0,0.0
16001010224,Census Tract 102.24,Ada County,Idaho,0.3923,0.4634146341463415,0.5257452574525745,0.8871660305343512,0.4521655804217666,0.0,0.5925925925925926,0.0,,0.0,0.0
16001010226,Census Tract 102.26,Ada County,Idaho,0.3353,0.14056224899598393,0.13815261044176708,0.8581305309734514,-0.3683117863546286,0.12649402390438247,0.0,0.3089430894308943,,0.0,0.003572491813039595
16001010227,Census Tract 102.27,Ada County,Idaho,0.3711,-0.05983493810178817,0.08459422283356259,0.815742397137746,0.29984316334774963,0.13226744186046513,0.0,0.0,,0.8214285714285714,0.0
16001010228,Census Tract 102.28,Ada County,Idaho,0.4599,0.060249816311535635,0.20720058780308598,0.7336901121304791,-0.21916321839080455,0.00816326530612245,,0.023474178403755867,,0.38922155688622756,0.006513809275664409
16001010229,Census Tract 102.29,Ada County,Idaho,0.47,0.2841075794621027,0.4053789731051345,0.8377130681818182,0.29843941986380806,0.02688787185354691,0.0,0.016819571865443424,,0.054878048780487805,0.0015363933166890724
16001010230,Census Tract 102.30,Ada County,Idaho,0.4062,0.27812113720642767,0.3757725587144623,0.9008183943881528,0.4809200209095661,0.07313540912382331,0.0,0.0,,0.0,0.005802320928371348
16001010231,Census Tract 102.31,Ada County,Idaho,0.4553,0.37815126050420167,0.4309723889555822,0.8805601317957167,0.5510485307375999,0.010542168674698794,,0.04827586206896552,,0.0,0.0
16001010232,Census Tract 102.32,Ada County,Idaho,0.4337,0.23940520446096655,0.27137546468401486,0.9254814401339659,0.527059793814433,0.05788876276958002,0.0,0.0,,,0.0
16001010233,Census Tract 102.33,Ada County,Idaho,0.5279,0.3048780487804878,0.38130081300813007,0.9133148404993066,0.5825953134527715,0.0,0.0,0.037037037037037035,,0.8571428571428571,0.0010660980810234541
16001010234,Census Tract 102.34,Ada County,Idaho,0.481,-0.013287612516073724,0.16716673810544364,0.7662576687116565,0.23163227083816418,0.07787810383747178,0.0,0.3723175965665236,,0.0,0.06963420008814455
16001010235,Census Tract 102.35,Ada County,Idaho,0.5294,0.22884012539184953,0.30094043887147337,0.8340559716200237,0.43917853068108537,0.0773067331670823,,0.22580645161290322,,0.18888888888888888,0.0022536365498873182
16001010236,Census Tract 102.36,Ada County,Idaho,0.4855,0.20901033973412111,0.3330871491875923,0.9007184846505552,0.39270262289609836,0.0,,0.07874015748031496,,0.0,0.0
