cat,GEOID,Tract,County,State,measure,RE,Sex,def,fmt,source,lbl,technology,value
Sufficient Broadband,16001010235,Census Tract 102.35,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010236,Census Tract 102.36,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010237,Census Tract 102.37,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010336,Census Tract 103.36,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010337,Census Tract 103.37,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010338,Census Tract 103.38,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010339,Census Tract 103.39,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010340,Census Tract 103.40,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010341,Census Tract 103.41,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010342,Census Tract 103.42,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010343,Census Tract 103.43,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010344,Census Tract 103.44,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010345,Census Tract 103.45,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010346,Census Tract 103.46,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010347,Census Tract 103.47,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010348,Census Tract 103.48,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010349,Census Tract 103.49,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010350,Census Tract 103.50,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010351,Census Tract 103.51,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010352,Census Tract 103.52,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010353,Census Tract 103.53,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010354,Census Tract 103.54,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010355,Census Tract 103.55,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010356,Census Tract 103.56,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010357,Census Tract 103.57,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010358,Census Tract 103.58,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010359,Census Tract 103.59,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010360,Census Tract 103.60,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010361,Census Tract 103.61,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010362,Census Tract 103.62,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010363,Census Tract 103.63,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010364,Census Tract 103.64,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010365,Census Tract 103.65,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010366,Census Tract 103.66,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010367,Census Tract 103.67,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010368,Census Tract 103.68,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010369,Census Tract 103.69,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010370,Census Tract 103.70,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010371,Census Tract 103.71,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010403,Census Tract 104.03,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010404,Census Tract 104.04,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010405,Census Tract 104.05,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010406,Census Tract 104.06,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010407,Census Tract 104.07,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010408,Census Tract 104.08,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010409,Census Tract 104.09,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010410,Census Tract 104.10,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010411,Census Tract 104.11,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
Sufficient Broadband,16001010501,Census Tract 105.01,Ada County,Idaho,Cable_Speed_for_Residential,NA,NA,Cable Speed for Residential,int,"FCC, DEC 2023",True,terrestrial,1
