"FIPS","Tract","County","State","measure","value"
16001010343,"Census Tract 103.43","Ada County","Idaho","Total",3277
16001010344,"Census Tract 103.44","Ada County","Idaho","Total",3917
16001010345,"Census Tract 103.45","Ada County","Idaho","Total",4967
16001010346,"Census Tract 103.46","Ada County","Idaho","Total",1521
16001010347,"Census Tract 103.47","Ada County","Idaho","Total",3929
16001010348,"Census Tract 103.48","Ada County","Idaho","Total",3698
16001010349,"Census Tract 103.49","Ada County","Idaho","Total",4018
16001010350,"Census Tract 103.50","Ada County","Idaho","Total",3187
16001010351,"Census Tract 103.51","Ada County","Idaho","Total",3965
16001010352,"Census Tract 103.52","Ada County","Idaho","Total",4803
16001010353,"Census Tract 103.53","Ada County","Idaho","Total",5372
16001010354,"Census Tract 103.54","Ada County","Idaho","Total",6197
16001010355,"Census Tract 103.55","Ada County","Idaho","Total",1875
16001010356,"Census Tract 103.56","Ada County","Idaho","Total",4501
16001010357,"Census Tract 103.57","Ada County","Idaho","Total",3866
16001010358,"Census Tract 103.58","Ada County","Idaho","Total",5836
16001010359,"Census Tract 103.59","Ada County","Idaho","Total",4026
16001010360,"Census Tract 103.60","Ada County","Idaho","Total",4144
16001010361,"Census Tract 103.61","Ada County","Idaho","Total",3825
16001010362,"Census Tract 103.62","Ada County","Idaho","Total",5469
16001010363,"Census Tract 103.63","Ada County","Idaho","Total",5456
16001010364,"Census Tract 103.64","Ada County","Idaho","Total",6244
16001010365,"Census Tract 103.65","Ada County","Idaho","Total",4025
16001010366,"Census Tract 103.66","Ada County","Idaho","Total",4071
16001010367,"Census Tract 103.67","Ada County","Idaho","Total",6553
16001010368,"Census Tract 103.68","Ada County","Idaho","Total",3600
16001010369,"Census Tract 103.69","Ada County","Idaho","Total",3345
16001010370,"Census Tract 103.70","Ada County","Idaho","Total",2895
16001010371,"Census Tract 103.71","Ada County","Idaho","Total",3538
16001010403,"Census Tract 104.03","Ada County","Idaho","Total",4803
16001010404,"Census Tract 104.04","Ada County","Idaho","Total",3938
16001010405,"Census Tract 104.05","Ada County","Idaho","Total",2883
16001010406,"Census Tract 104.06","Ada County","Idaho","Total",5671
16001010407,"Census Tract 104.07","Ada County","Idaho","Total",6986
16001010408,"Census Tract 104.08","Ada County","Idaho","Total",4988
16001010409,"Census Tract 104.09","Ada County","Idaho","Total",4515
16001010410,"Census Tract 104.10","Ada County","Idaho","Total",5944
16001010411,"Census Tract 104.11","Ada County","Idaho","Total",2786
16001010501,"Census Tract 105.01","Ada County","Idaho","Total",8090
16001010503,"Census Tract 105.03","Ada County","Idaho","Total",5197
16001010505,"Census Tract 105.05","Ada County","Idaho","Total",2580
16001010506,"Census Tract 105.06","Ada County","Idaho","Total",4016
16003950100,"Census Tract 9501","Adams County","Idaho","Total",1769
16003950200,"Census Tract 9502","Adams County","Idaho","Total",2830
16005000200,"Census Tract 2","Bannock County","Idaho","Total",4286
16005000301,"Census Tract 3.01","Bannock County","Idaho","Total",3986
16005000302,"Census Tract 3.02","Bannock County","Idaho","Total",5420
16005000400,"Census Tract 4","Bannock County","Idaho","Total",7088
16005000500,"Census Tract 5","Bannock County","Idaho","Total",1956
16005000600,"Census Tract 6","Bannock County","Idaho","Total",3505
16005000700,"Census Tract 7","Bannock County","Idaho","Total",4392
16005000800,"Census Tract 8","Bannock County","Idaho","Total",3242
16005000900,"Census Tract 9","Bannock County","Idaho","Total",2171
16005001000,"Census Tract 10","Bannock County","Idaho","Total",3129
16005001102,"Census Tract 11.02","Bannock County","Idaho","Total",4290
16005001103,"Census Tract 11.03","Bannock County","Idaho","Total",4809
16005001104,"Census Tract 11.04","Bannock County","Idaho","Total",3335
16005001200,"Census Tract 12","Bannock County","Idaho","Total",3532
16005001300,"Census Tract 13","Bannock County","Idaho","Total",2386
16005001400,"Census Tract 14","Bannock County","Idaho","Total",4366
16005001500,"Census Tract 15","Bannock County","Idaho","Total",6234
16005001601,"Census Tract 16.01","Bannock County","Idaho","Total",2740
16005001602,"Census Tract 16.02","Bannock County","Idaho","Total",3909
16005001603,"Census Tract 16.03","Bannock County","Idaho","Total",2557
16005001700,"Census Tract 17","Bannock County","Idaho","Total",3575
16005001900,"Census Tract 19","Bannock County","Idaho","Total",5609
16005940000,"Census Tract 9400","Bannock County","Idaho","Total",1557
16005981800,"Census Tract 9818","Bannock County","Idaho","Total",383
16007950100,"Census Tract 9501","Bear Lake County","Idaho","Total",3576
16007950200,"Census Tract 9502","Bear Lake County","Idaho","Total",2976
16009940000,"Census Tract 9400","Benewah County","Idaho","Total",5071
16009950100,"Census Tract 9501","Benewah County","Idaho","Total",4842
16011940000,"Census Tract 9400","Bingham County","Idaho","Total",2505
16011950101,"Census Tract 9501.01","Bingham County","Idaho","Total",3918
16011950102,"Census Tract 9501.02","Bingham County","Idaho","Total",5846
16011950200,"Census Tract 9502","Bingham County","Idaho","Total",4035
16011950300,"Census Tract 9503","Bingham County","Idaho","Total",5519
16011950400,"Census Tract 9504","Bingham County","Idaho","Total",7590
16011950501,"Census Tract 9505.01","Bingham County","Idaho","Total",3430
16011950502,"Census Tract 9505.02","Bingham County","Idaho","Total",5311
16011950600,"Census Tract 9506","Bingham County","Idaho","Total",5680
16011950700,"Census Tract 9507","Bingham County","Idaho","Total",5159
16013960101,"Census Tract 9601.01","Blaine County","Idaho","Total",2243
16013960102,"Census Tract 9601.02","Blaine County","Idaho","Total",3241
16013960201,"Census Tract 9602.01","Blaine County","Idaho","Total",6506
16013960202,"Census Tract 9602.02","Blaine County","Idaho","Total",4954
16013960301,"Census Tract 9603.01","Blaine County","Idaho","Total",2177
16013960302,"Census Tract 9603.02","Blaine County","Idaho","Total",2052
16013960501,"Census Tract 9605.01","Blaine County","Idaho","Total",1983
16013960502,"Census Tract 9605.02","Blaine County","Idaho","Total",1423
16015950201,"Census Tract 9502.01","Boise County","Idaho","Total",2050
16015950202,"Census Tract 9502.02","Boise County","Idaho","Total",2311
16015950203,"Census Tract 9502.03","Boise County","Idaho","Total",3684
16017950100,"Census Tract 9501","Bonner County","Idaho","Total",2694
16017950201,"Census Tract 9502.01","Bonner County","Idaho","Total",2740
16017950202,"Census Tract 9502.02","Bonner County","Idaho","Total",2745
16017950203,"Census Tract 9502.03","Bonner County","Idaho","Total",4742
16017950300,"Census Tract 9503","Bonner County","Idaho","Total",4026
16017950401,"Census Tract 9504.01","Bonner County","Idaho","Total",1516
16017950402,"Census Tract 9504.02","Bonner County","Idaho","Total",3641
16017950403,"Census Tract 9504.03","Bonner County","Idaho","Total",2915
16017950500,"Census Tract 9505","Bonner County","Idaho","Total",3816
16017950600,"Census Tract 9506","Bonner County","Idaho","Total",2203
16017950701,"Census Tract 9507.01","Bonner County","Idaho","Total",3355
16017950702,"Census Tract 9507.02","Bonner County","Idaho","Total",2622
16017950801,"Census Tract 9508.01","Bonner County","Idaho","Total",3859
16017950802,"Census Tract 9508.02","Bonner County","Idaho","Total",3414
16017950901,"Census Tract 9509.01","Bonner County","Idaho","Total",1639
16017950902,"Census Tract 9509.02","Bonner County","Idaho","Total",3529
16019970100,"Census Tract 9701","Bonneville County","Idaho","Total",6686
16019970300,"Census Tract 9703","Bonneville County","Idaho","Total",6875
16019970401,"Census Tract 9704.01","Bonneville County","Idaho","Total",3308
16019970402,"Census Tract 9704.02","Bonneville County","Idaho","Total",7453
16019970404,"Census Tract 9704.04","Bonneville County","Idaho","Total",4784
16019970405,"Census Tract 9704.05","Bonneville County","Idaho","Total",9824
16019970502,"Census Tract 9705.02","Bonneville County","Idaho","Total",5502
16019970503,"Census Tract 9705.03","Bonneville County","Idaho","Total",7586
16019970504,"Census Tract 9705.04","Bonneville County","Idaho","Total",3392
16019970505,"Census Tract 9705.05","Bonneville County","Idaho","Total",4954
16019970601,"Census Tract 9706.01","Bonneville County","Idaho","Total",2947
16019970602,"Census Tract 9706.02","Bonneville County","Idaho","Total",6521
16019970603,"Census Tract 9706.03","Bonneville County","Idaho","Total",2523
16019970700,"Census Tract 9707","Bonneville County","Idaho","Total",5695
16019970800,"Census Tract 9708","Bonneville County","Idaho","Total",3739
16019970900,"Census Tract 9709","Bonneville County","Idaho","Total",5051
16019971000,"Census Tract 9710","Bonneville County","Idaho","Total",4957
16019971100,"Census Tract 9711","Bonneville County","Idaho","Total",3219
16019971200,"Census Tract 9712","Bonneville County","Idaho","Total",4680
16019971301,"Census Tract 9713.01","Bonneville County","Idaho","Total",7731
16019971302,"Census Tract 9713.02","Bonneville County","Idaho","Total",6608
16019971401,"Census Tract 9714.01","Bonneville County","Idaho","Total",4535
16019971402,"Census Tract 9714.02","Bonneville County","Idaho","Total",6458
16019971500,"Census Tract 9715","Bonneville County","Idaho","Total",2028
16021970100,"Census Tract 9701","Boundary County","Idaho","Total",7375
16021970200,"Census Tract 9702","Boundary County","Idaho","Total",5320
16023970100,"Census Tract 9701","Butte County","Idaho","Total",2654
16025970100,"Census Tract 9701","Camas County","Idaho","Total",1155
16027020100,"Census Tract 201","Canyon County","Idaho","Total",1481
16027020200,"Census Tract 202","Canyon County","Idaho","Total",4821
16027020300,"Census Tract 203","Canyon County","Idaho","Total",4475
16027020403,"Census Tract 204.03","Canyon County","Idaho","Total",4684
16027020404,"Census Tract 204.04","Canyon County","Idaho","Total",4388
16027020405,"Census Tract 204.05","Canyon County","Idaho","Total",2746
16027020406,"Census Tract 204.06","Canyon County","Idaho","Total",5014
16027020501,"Census Tract 205.01","Canyon County","Idaho","Total",3872
16027020503,"Census Tract 205.03","Canyon County","Idaho","Total",3600
16027020505,"Census Tract 205.05","Canyon County","Idaho","Total",4306
16027020506,"Census Tract 205.06","Canyon County","Idaho","Total",3214
16027020601,"Census Tract 206.01","Canyon County","Idaho","Total",6834
16027020603,"Census Tract 206.03","Canyon County","Idaho","Total",5314
16027020604,"Census Tract 206.04","Canyon County","Idaho","Total",2233
16027020700,"Census Tract 207","Canyon County","Idaho","Total",4438
16027020903,"Census Tract 209.03","Canyon County","Idaho","Total",5495
16027020904,"Census Tract 209.04","Canyon County","Idaho","Total",5306
16027020905,"Census Tract 209.05","Canyon County","Idaho","Total",3716
16027020906,"Census Tract 209.06","Canyon County","Idaho","Total",6008
16027020907,"Census Tract 209.07","Canyon County","Idaho","Total",3882
16027020908,"Census Tract 209.08","Canyon County","Idaho","Total",4517
16027020909,"Census Tract 209.09","Canyon County","Idaho","Total",4226
16027020910,"Census Tract 209.10","Canyon County","Idaho","Total",2406
16027021003,"Census Tract 210.03","Canyon County","Idaho","Total",4213
16027021004,"Census Tract 210.04","Canyon County","Idaho","Total",5663
16027021005,"Census Tract 210.05","Canyon County","Idaho","Total",7559
16027021006,"Census Tract 210.06","Canyon County","Idaho","Total",4943
16027021007,"Census Tract 210.07","Canyon County","Idaho","Total",3788
16027021008,"Census Tract 210.08","Canyon County","Idaho","Total",4832
16027021101,"Census Tract 211.01","Canyon County","Idaho","Total",6371
16027021102,"Census Tract 211.02","Canyon County","Idaho","Total",3299
16027021103,"Census Tract 211.03","Canyon County","Idaho","Total",3365
16027021104,"Census Tract 211.04","Canyon County","Idaho","Total",5142
16027021105,"Census Tract 211.05","Canyon County","Idaho","Total",6019
16027021201,"Census Tract 212.01","Canyon County","Idaho","Total",4580
16027021202,"Census Tract 212.02","Canyon County","Idaho","Total",4318
16027021300,"Census Tract 213","Canyon County","Idaho","Total",3212
16027021500,"Census Tract 215","Canyon County","Idaho","Total",5986
16027021600,"Census Tract 216","Canyon County","Idaho","Total",4944
