FIPS,Tract,County,State,measure,value
16001010102,Census Tract 101.02,Ada County,Idaho,Vacancy Rate,0.01891040072039622
16001010224,Census Tract 102.24,Ada County,Idaho,Vacancy Rate,0.046065259117082535
16001010226,Census Tract 102.26,Ada County,Idaho,Vacancy Rate,0.0
16001010227,Census Tract 102.27,Ada County,Idaho,Vacancy Rate,0.016999260901699925
16001010228,Census Tract 102.28,Ada County,Idaho,Vacancy Rate,0.014251781472684086
16001010229,Census Tract 102.29,Ada County,Idaho,Vacancy Rate,0.09788768675940238
16001010230,Census Tract 102.30,Ada County,Idaho,Vacancy Rate,0.027325959661678594
16001010231,Census Tract 102.31,Ada County,Idaho,Vacancy Rate,0.0
16001010232,Census Tract 102.32,Ada County,Idaho,Vacancy Rate,0.02275960170697013
16001010233,Census Tract 102.33,Ada County,Idaho,Vacancy Rate,0.026041666666666668
16001010234,Census Tract 102.34,Ada County,Idaho,Vacancy Rate,0.06773243584350021
16001010235,Census Tract 102.35,Ada County,Idaho,Vacancy Rate,0.01893740136770121
16001010236,Census Tract 102.36,Ada County,Idaho,Vacancy Rate,0.04557823129251701
16001010237,Census Tract 102.37,Ada County,Idaho,Vacancy Rate,0.016288041148735534
16001010336,Census Tract 103.36,Ada County,Idaho,Vacancy Rate,0.0
16001010337,Census Tract 103.37,Ada County,Idaho,Vacancy Rate,0.07657909446618222
16001010338,Census Tract 103.38,Ada County,Idaho,Vacancy Rate,0.012987012987012988
16001010339,Census Tract 103.39,Ada County,Idaho,Vacancy Rate,0.04300234558248632
16001010340,Census Tract 103.40,Ada County,Idaho,Vacancy Rate,0.0
16001010341,Census Tract 103.41,Ada County,Idaho,Vacancy Rate,0.0
16001010342,Census Tract 103.42,Ada County,Idaho,Vacancy Rate,0.0
16001010343,Census Tract 103.43,Ada County,Idaho,Vacancy Rate,0.032388663967611336
16001010344,Census Tract 103.44,Ada County,Idaho,Vacancy Rate,0.0659121171770972
16001010345,Census Tract 103.45,Ada County,Idaho,Vacancy Rate,0.0
16001010346,Census Tract 103.46,Ada County,Idaho,Vacancy Rate,0.0
16001010347,Census Tract 103.47,Ada County,Idaho,Vacancy Rate,0.04039812646370024
16001010348,Census Tract 103.48,Ada County,Idaho,Vacancy Rate,0.0
16001010349,Census Tract 103.49,Ada County,Idaho,Vacancy Rate,0.10089224433768017
16001010350,Census Tract 103.50,Ada County,Idaho,Vacancy Rate,0.0
16001010351,Census Tract 103.51,Ada County,Idaho,Vacancy Rate,0.009397024275646046
16001010352,Census Tract 103.52,Ada County,Idaho,Vacancy Rate,0.005246589716684155
16001010353,Census Tract 103.53,Ada County,Idaho,Vacancy Rate,0.0
16001010354,Census Tract 103.54,Ada County,Idaho,Vacancy Rate,0.02628696604600219
16001010355,Census Tract 103.55,Ada County,Idaho,Vacancy Rate,0.02351313969571231
16001010356,Census Tract 103.56,Ada County,Idaho,Vacancy Rate,0.0
16001010357,Census Tract 103.57,Ada County,Idaho,Vacancy Rate,0.07217210270645386
16001010358,Census Tract 103.58,Ada County,Idaho,Vacancy Rate,0.033576642335766425
16001010359,Census Tract 103.59,Ada County,Idaho,Vacancy Rate,0.0
16001010360,Census Tract 103.60,Ada County,Idaho,Vacancy Rate,0.08527572484366117
16001010361,Census Tract 103.61,Ada County,Idaho,Vacancy Rate,0.008513425016371971
16001010362,Census Tract 103.62,Ada County,Idaho,Vacancy Rate,0.041666666666666664
16001010363,Census Tract 103.63,Ada County,Idaho,Vacancy Rate,0.0
16001010364,Census Tract 103.64,Ada County,Idaho,Vacancy Rate,0.00949367088607595
16001010365,Census Tract 103.65,Ada County,Idaho,Vacancy Rate,0.05085865257595773
16001010366,Census Tract 103.66,Ada County,Idaho,Vacancy Rate,0.0912938331318017
16001010367,Census Tract 103.67,Ada County,Idaho,Vacancy Rate,0.03407707910750507
16001010368,Census Tract 103.68,Ada County,Idaho,Vacancy Rate,0.055322128851540614
16001010369,Census Tract 103.69,Ada County,Idaho,Vacancy Rate,0.0
16001010370,Census Tract 103.70,Ada County,Idaho,Vacancy Rate,0.06153846153846154
16001010371,Census Tract 103.71,Ada County,Idaho,Vacancy Rate,0.10092592592592593
16001010403,Census Tract 104.03,Ada County,Idaho,Vacancy Rate,0.011912225705329153
16001010404,Census Tract 104.04,Ada County,Idaho,Vacancy Rate,0.0
16001010405,Census Tract 104.05,Ada County,Idaho,Vacancy Rate,0.0
