"FIPS","Tract","County","State","Vacancy.Rate","No.Vehicle","Single.Parent.Household","Multi.Unit.Structures","Mobile.Homes","Owner.Occupied.Housing","Crowded.Housing","Lack.Complete.Plumbing","Median.Home.Value","Median.Monthly.Mortgage","Median.Gross.Rent","No.Home.Broadband","Rent.Burden..40..Income."
16001000101,"Census Tract 1.01","Ada County","Idaho",0.142719382835101,0.00413223140495868,0.0112485939257593,0.62970106075217,0.0405014464802314,0.0708661417322835,0.0337457817772778,0,248700,1933,1053,0.124434389140271,0.415254237288136
16001000102,"Census Tract 1.02","Ada County","Idaho",0.0773759461732548,0.136582753079807,0.0551504102096627,0.578216989066442,0.011354079058032,0.168641750227894,0.0195989061075661,0,604200,1790,985,0.0462184873949579,0.28344298245614
16001000201,"Census Tract 2.01","Ada County","Idaho",0.0508266993263931,0.0216975111678366,0.0470967741935484,0.0875688916105328,0,0.749032258064516,0.00516129032258065,0,929000,3263,1389,0.0106150483921323,0.133676092544987
16001000202,"Census Tract 2.02","Ada County","Idaho",0.0439798125450613,0,0.0663650075414781,0.028478731074261,0,0.852564102564103,0.00490196078431373,0,842000,2818,1358,0.023230262125255,0.148337595907928
16001000302,"Census Tract 3.02","Ada County","Idaho",0.0343377715487036,0.00625390869293308,0.0384615384615385,0.173791170287316,0,0.62699564586357,0.02322206095791,0.0537010159651669,519600,1588,1082,0.0331067100206917,0.311284046692607
16001000303,"Census Tract 3.03","Ada County","Idaho",0.0308098591549296,0.00800711743772242,0,0.403169014084507,0,0.459582198001817,0,0,433300,1447,1504,0.042612064194798,0.541176470588235
16001000305,"Census Tract 3.05","Ada County","Idaho",0.0125646711012565,0,0.0763473053892216,0,0.040650406504065,0.848802395209581,0.0157185628742515,0,439200,1784,1615,0.0199733688415447,0.292079207920792
16001000306,"Census Tract 3.06","Ada County","Idaho",0.0302530253025303,0.017474879860201,0.0272263187748157,0.0126512651265127,0.0170517051705171,0.762904140669314,0.00907543959160522,0.0022688598979013,449400,1694,1327,0.0193201271704573,0.394736842105263
16001000401,"Census Tract 4.01","Ada County","Idaho",0.015888778550149,0,0.0605449041372351,0.0367428003972195,0.0317775571002979,0.505549949545913,0.0262361251261352,0,410400,1542,1459,0.00305276929786302,0.263265306122449
16001000402,"Census Tract 4.02","Ada County","Idaho",0.107069672131148,0.00360576923076923,0.0619621342512909,0.151127049180328,0.0353483606557377,0.356282271944923,0.0504876649454963,0.00917957544463568,478800,1613,1203,0.0458274398868458,0.307486631016043
16001000501,"Census Tract 5.01","Ada County","Idaho",0,0.0207253886010363,0.0195794053662074,0.0616388687454677,0.0181290790427846,0.730239303843365,0.00290065264684554,0,460500,1736,1206,0.0689310689310689,0.459677419354839
16001000502,"Census Tract 5.02","Ada County","Idaho",0.0400485436893204,0.0392349190779794,0.0379266750948167,0,0,0.799620733249052,0.0151706700379267,0,638800,2219,1629,0.0511200459506032,0.135646687697161
16001000601,"Census Tract 6.01","Ada County","Idaho",0.0934579439252336,0.0175840978593272,0.034020618556701,0.0392523364485981,0,0.630927835051546,0.0164948453608247,0,822000,2467,1299,0.0104515050167224,0.343575418994413
16001000602,"Census Tract 6.02","Ada County","Idaho",0.0772701635645798,0.00806834361651637,0.00305623471882641,0.0953186689227298,0,0.430929095354523,0,0,714800,2279,1284,0.0075918615244458,0.121374865735768
16001000701,"Census Tract 7.01","Ada County","Idaho",0.0286265680283049,0.0515984296130118,0.0360927152317881,0.274364747507237,0,0.443046357615894,0.0248344370860927,0,662400,2373,1337,0.0262546883372031,0.190844233055886
16001000703,"Census Tract 7.03","Ada County","Idaho",0.0325047801147228,0,0.0365612648221344,0,0,0.876482213438735,0,0,693500,2528,3273,0,0
16001000704,"Census Tract 7.04","Ada County","Idaho",0.023989898989899,0.0621186910704382,0.03751617076326,0.174242424242424,0.00315656565656566,0.732212160413972,0,0,906900,3103,1840,0.0267409470752089,0.29951690821256
16001000803,"Census Tract 8.03","Ada County","Idaho",0.0565552699228792,0,0.0752043596730245,0,0,0.809264305177112,0,0,439800,1771,1465,0.0479610750695088,0.04
16001000805,"Census Tract 8.05","Ada County","Idaho",0,0.0235131396957123,0.0349895031490553,0,0,0.967809657102869,0.00839748075577327,0,696400,2432,1713,0.0373665480427047,0
16001000806,"Census Tract 8.06","Ada County","Idaho",0.135479543930248,0,0.0938712179984484,0.29309188464118,0,0.124903025601241,0.0504266873545384,0,449300,1335,1561,0.0338439615247595,0.230496453900709
16001000807,"Census Tract 8.07","Ada County","Idaho",0.114119922630561,0.0217216411906677,0,0.236943907156673,0.00967117988394584,0.398471615720524,0,0,628500,1906,1580,0.13556920170052,0.159709618874773
16001000808,"Census Tract 8.08","Ada County","Idaho",0.0373239436619718,0.0166773572803079,0.0351133869787857,0.467605633802817,0,0.258229700073153,0.00658376005852231,0,663500,3031,1754,0.0730593607305936,0.241617357001972
16001000809,"Census Tract 8.09","Ada County","Idaho",0.0768581081081081,0,0.0393412625800549,0.0785472972972973,0,0.684354986276304,0.00548947849954254,0.00731930466605672,475600,1829,1364,0.0383505154639175,0.327536231884058
16001000810,"Census Tract 8.10","Ada County","Idaho",0.0461711711711712,0.00851788756388416,0.0661157024793388,0.0422297297297297,0,0.512987012987013,0.0265643447461629,0,426100,1458,1389,0.0711297071129707,0.107878787878788
16001000901,"Census Tract 9.01","Ada County","Idaho",0.0148063781321185,0.0408304498269896,0.0161849710982659,0.0330296127562642,0.144646924829157,0.470520231213873,0.046242774566474,0,418300,1329,1615,0.0656054027978775,0.390829694323144
16001000902,"Census Tract 9.02","Ada County","Idaho",0.175125089349535,0.159954622802042,0.012998266897747,0.266619013581129,0,0.0346620450606586,0,0,0,0,1116,0.135853293413174,0.50359066427289
16001001001,"Census Tract 10.01","Ada County","Idaho",0.0247863247863248,0,0.00613496932515337,0.011965811965812,0,0.618755477651183,0,0.0324276950043821,446300,1603,1314,0.0388726919339164,0.342528735632184
16001001002,"Census Tract 10.02","Ada County","Idaho",0.0930787589498807,0.208227848101266,0.0447368421052632,0.907716785998409,0,0.0307017543859649,0,0,0,0,850,0.436949022614028,0.34027149321267
16001001003,"Census Tract 10.03","Ada County","Idaho",0.0371577574967405,0.0101713062098501,0.051455653351388,0.136245110821382,0,0.575490859851049,0.0670277589708869,0,433200,1688,1093,0.0285625582117355,0.320574162679426
