FIPS,Tract,County,State,measure,value
16001010229,Census Tract 102.29,Ada County,Idaho,Gini Coefficient,0.4336
16001010230,Census Tract 102.30,Ada County,Idaho,Gini Coefficient,0.4162
16001010231,Census Tract 102.31,Ada County,Idaho,Gini Coefficient,0.4554
16001010232,Census Tract 102.32,Ada County,Idaho,Gini Coefficient,0.4487
16001010233,Census Tract 102.33,Ada County,Idaho,Gini Coefficient,0.5779
16001010234,Census Tract 102.34,Ada County,Idaho,Gini Coefficient,0.4418
16001010235,Census Tract 102.35,Ada County,Idaho,Gini Coefficient,0.4584
16001010236,Census Tract 102.36,Ada County,Idaho,Gini Coefficient,0.4915
16001010237,Census Tract 102.37,Ada County,Idaho,Gini Coefficient,0.3811
16001010336,Census Tract 103.36,Ada County,Idaho,Gini Coefficient,0.3575
16001010337,Census Tract 103.37,Ada County,Idaho,Gini Coefficient,0.3924
16001010338,Census Tract 103.38,Ada County,Idaho,Gini Coefficient,0.3781
16001010339,Census Tract 103.39,Ada County,Idaho,Gini Coefficient,0.4436
16001010340,Census Tract 103.40,Ada County,Idaho,Gini Coefficient,0.3497
16001010341,Census Tract 103.41,Ada County,Idaho,Gini Coefficient,0.328
16001010342,Census Tract 103.42,Ada County,Idaho,Gini Coefficient,0.359
16001010343,Census Tract 103.43,Ada County,Idaho,Gini Coefficient,0.3711
16001010344,Census Tract 103.44,Ada County,Idaho,Gini Coefficient,0.338
16001010345,Census Tract 103.45,Ada County,Idaho,Gini Coefficient,0.4361
16001010346,Census Tract 103.46,Ada County,Idaho,Gini Coefficient,0.2542
16001010347,Census Tract 103.47,Ada County,Idaho,Gini Coefficient,0.4806
16001010348,Census Tract 103.48,Ada County,Idaho,Gini Coefficient,0.2623
16001010349,Census Tract 103.49,Ada County,Idaho,Gini Coefficient,0.2508
16001010350,Census Tract 103.50,Ada County,Idaho,Gini Coefficient,0.2703
16001010351,Census Tract 103.51,Ada County,Idaho,Gini Coefficient,0.5691
16001010352,Census Tract 103.52,Ada County,Idaho,Gini Coefficient,0.4398
16001010353,Census Tract 103.53,Ada County,Idaho,Gini Coefficient,0.4004
16001010354,Census Tract 103.54,Ada County,Idaho,Gini Coefficient,0.3423
16001010355,Census Tract 103.55,Ada County,Idaho,Gini Coefficient,0.4474
16001010356,Census Tract 103.56,Ada County,Idaho,Gini Coefficient,0.3118
16001010357,Census Tract 103.57,Ada County,Idaho,Gini Coefficient,0.4284
16001010358,Census Tract 103.58,Ada County,Idaho,Gini Coefficient,0.4242
16001010359,Census Tract 103.59,Ada County,Idaho,Gini Coefficient,0.3797
16001010360,Census Tract 103.60,Ada County,Idaho,Gini Coefficient,0.3956
16001010361,Census Tract 103.61,Ada County,Idaho,Gini Coefficient,0.4196
16001010362,Census Tract 103.62,Ada County,Idaho,Gini Coefficient,0.3207
16001010363,Census Tract 103.63,Ada County,Idaho,Gini Coefficient,0.377
16001010364,Census Tract 103.64,Ada County,Idaho,Gini Coefficient,0.3515
16001010365,Census Tract 103.65,Ada County,Idaho,Gini Coefficient,0.3687
16001010366,Census Tract 103.66,Ada County,Idaho,Gini Coefficient,0.4348
16001010367,Census Tract 103.67,Ada County,Idaho,Gini Coefficient,0.4028
16001010368,Census Tract 103.68,Ada County,Idaho,Gini Coefficient,0.4052
16001010369,Census Tract 103.69,Ada County,Idaho,Gini Coefficient,0.4433
16001010370,Census Tract 103.70,Ada County,Idaho,Gini Coefficient,0.3839
16001010371,Census Tract 103.71,Ada County,Idaho,Gini Coefficient,0.3524
16001010403,Census Tract 104.03,Ada County,Idaho,Gini Coefficient,0.3932
16001010404,Census Tract 104.04,Ada County,Idaho,Gini Coefficient,0.3286
16001010405,Census Tract 104.05,Ada County,Idaho,Gini Coefficient,0.4091
16001010406,Census Tract 104.06,Ada County,Idaho,Gini Coefficient,0.2892
16001010407,Census Tract 104.07,Ada County,Idaho,Gini Coefficient,0.2984
16001010408,Census Tract 104.08,Ada County,Idaho,Gini Coefficient,0.4053
16001010409,Census Tract 104.09,Ada County,Idaho,Gini Coefficient,0.3416
16001010410,Census Tract 104.10,Ada County,Idaho,Gini Coefficient,0.3257
16001010411,Census Tract 104.11,Ada County,Idaho,Gini Coefficient,0.3062
16001010501,Census Tract 105.01,Ada County,Idaho,Gini Coefficient,0.481
16001010503,Census Tract 105.03,Ada County,Idaho,Gini Coefficient,0.3393
16001010505,Census Tract 105.05,Ada County,Idaho,Gini Coefficient,0.3655
16001010506,Census Tract 105.06,Ada County,Idaho,Gini Coefficient,0.3422
16003950100,Census Tract 9501,Adams County,Idaho,Gini Coefficient,0.4717
16003950200,Census Tract 9502,Adams County,Idaho,Gini Coefficient,0.4832
16005000200,Census Tract 2,Bannock County,Idaho,Gini Coefficient,0.3652
16005000301,Census Tract 3.01,Bannock County,Idaho,Gini Coefficient,0.4019
16005000302,Census Tract 3.02,Bannock County,Idaho,Gini Coefficient,0.3675
16005000400,Census Tract 4,Bannock County,Idaho,Gini Coefficient,0.3424
16005000500,Census Tract 5,Bannock County,Idaho,Gini Coefficient,0.4533
16005000600,Census Tract 6,Bannock County,Idaho,Gini Coefficient,0.4674
16005000700,Census Tract 7,Bannock County,Idaho,Gini Coefficient,0.4954
