FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
16001000101,Census Tract 1.01,Ada County,Idaho,0.11419423692636073,0.003194888178913738,0.008433734939759036,0.5656350053361793,0.03735325506937033,0.12891566265060242,0.03253012048192771,0.0,295300.0,1625.0,1017.0,0.11348684210526316,0.4066390041493776
16001000102,Census Tract 1.02,Ada County,Idaho,0.08598865124399825,0.11761426978818283,0.03868194842406877,0.5910082933216936,0.0,0.18481375358166188,0.021967526265520534,0.012893982808022923,606100.0,1868.0,916.0,0.06788685524126459,0.27299355594610425
16001000201,Census Tract 2.01,Ada County,Idaho,0.031578947368421054,0.010855683269476373,0.04411764705882353,0.10278637770897833,0.0,0.7186700767263428,0.0,0.008312020460358057,850500.0,2889.0,1289.0,0.01692708333333337,0.020454545454545454
16001000202,Census Tract 2.02,Ada County,Idaho,0.05077262693156733,0.004707464694014795,0.06511627906976744,0.018027961736571008,0.0,0.8313953488372093,0.0050387596899224806,0.0,714600.0,2733.0,1218.0,0.03352697095435686,0.12873563218390804
16001000302,Census Tract 3.02,Ada County,Idaho,0.023826208829712685,0.00620347394540943,0.06317300789662599,0.14435879467414156,0.0,0.6123474515434314,0.02512562814070352,0.04450825556353195,430300.0,1427.0,1050.0,0.0675213675213675,0.3592592592592593
16001000303,Census Tract 3.03,Ada County,Idaho,0.04564315352697095,0.013389121338912133,0.0,0.37261410788381744,0.0,0.4547826086956522,0.0,0.0,435500.0,1784.0,1381.0,0.04416873449131509,0.47208931419457734
16001000305,Census Tract 3.05,Ada County,Idaho,0.010582010582010581,0.0,0.08403361344537816,0.0,0.07936507936507936,0.8495034377387318,0.01680672268907563,0.0,374200.0,1562.0,1416.0,0.01837359646138137,0.3401015228426396
16001000306,Census Tract 3.06,Ada County,Idaho,0.031955922865013774,0.00898972602739726,0.02504268639726807,0.003856749311294766,0.017079889807162536,0.7916903813318156,0.00910643141718839,0.0,402400.0,1695.0,1301.0,0.02409638554216864,0.43989071038251365
16001000401,Census Tract 4.01,Ada County,Idaho,0.0,0.0,0.032388663967611336,0.038461538461538464,0.03137651821862348,0.4625506072874494,0.024291497975708502,0.0,346400.0,1380.0,1319.0,0.013860578883000407,0.22033898305084745
16001000402,Census Tract 4.02,Ada County,Idaho,0.09554482018250134,0.012296881862099254,0.09792284866468842,0.1583467525496511,0.03435319377348363,0.3578635014836795,0.024925816023738872,0.0,431100.0,1450.0,1166.0,0.09232121922626024,0.38724584103512016
16001000501,Census Tract 5.01,Ada County,Idaho,0.0,0.018109790605546124,0.06929955290611028,0.03353204172876304,0.01788375558867362,0.7824143070044709,0.0,0.0,418200.0,1695.0,938.0,0.0833602584814217,0.2979452054794521
16001000502,Census Tract 5.02,Ada County,Idaho,0.040312876052948254,0.012704174228675136,0.05329153605015674,0.0,0.0,0.7617554858934169,0.007523510971786834,0.0,572400.0,1988.0,1393.0,0.048794826572604366,0.10789473684210527
16001000601,Census Tract 6.01,Ada County,Idaho,0.12488262910798122,0.016680567139282735,0.04291845493562232,0.015023474178403756,0.0,0.621244635193133,0.0,0.0,737600.0,2793.0,1209.0,0.036449399656946824,0.23796033994334279
16001000602,Census Tract 6.02,Ada County,Idaho,0.06987399770904926,0.009854528390427029,0.017241379310344827,0.0715922107674685,0.0,0.4014778325123153,0.0,0.0,633300.0,1947.0,1198.0,0.02626203676685146,0.1574074074074074
16001000701,Census Tract 7.01,Ada County,Idaho,0.03825681969394544,0.044969083754918496,0.026634382566585957,0.2405189620758483,0.013639387890884896,0.43964026288481495,0.026288481494292634,0.0,607800.0,2281.0,1151.0,0.024816996964827753,0.17160493827160495
16001000703,Census Tract 7.03,Ada County,Idaho,0.02854122621564482,0.0,0.01632208922742111,0.0,0.0,0.8422198041349293,0.0,0.0,647300.0,2578.0,3000.0,0.0,0.0
16001000704,Census Tract 7.04,Ada County,Idaho,0.024804177545691905,0.06762417713943747,0.03279785809906292,0.15926892950391644,0.0,0.7623828647925034,0.0,0.0,729900.0,2614.0,1832.0,0.024269005847953218,0.2563380281690141
16001000803,Census Tract 8.03,Ada County,Idaho,0.06054386865059005,0.0,0.08083014746040415,0.0,0.0,0.8246859639541234,0.0,0.0,381400.0,1631.0,1373.0,0.04163775156141569,0.024922118380062305
16001000805,Census Tract 8.05,Ada County,Idaho,0.0,0.013953488372093023,0.03469812630117974,0.0,0.0,0.9548924358084664,0.007633587786259542,0.0,657200.0,2341.0,1446.0,0.04192992533026996,0.15384615384615385
16001000806,Census Tract 8.06,Ada County,Idaho,0.12745762711864406,0.0,0.09634809634809635,0.3057627118644068,0.0,0.128982128982129,0.07226107226107226,0.0,409100.0,1345.0,1416.0,0.04166666666666663,0.17395182872435325
16001000807,Census Tract 8.07,Ada County,Idaho,0.10638297872340426,0.01720269259536275,0.0,0.22147001934235977,0.03481624758220503,0.408008658008658,0.0,0.0,523500.0,1846.0,1442.0,0.1353965183752418,0.16270566727605118
16001000808,Census Tract 8.08,Ada County,Idaho,0.0324585635359116,0.0047789725209080045,0.029978586723768737,0.44544198895027626,0.0,0.21341898643825838,0.006423982869379015,0.0,672500.0,2625.0,1653.0,0.06281701131486539,0.22141560798548093
