FIPS,Tract,County,State,measure,value
16001000101,Census Tract 0001.01,Ada County,Idaho,PM25,8.83835409836066
16001000102,Census Tract 0001.02,Ada County,Idaho,PM25,8.78447103825137
16001000201,Census Tract 0002.01,Ada County,Idaho,PM25,8.44965218579235
16001000202,Census Tract 0002.02,Ada County,Idaho,PM25,8.59234781420765
16001000302,Census Tract 0003.02,Ada County,Idaho,PM25,8.93432950819672
16001000303,Census Tract 0003.03,Ada County,Idaho,PM25,9.10284672131148
16001000305,Census Tract 0003.05,Ada County,Idaho,PM25,9.08905136612022
16001000306,Census Tract 0003.06,Ada County,Idaho,PM25,9.01908989071038
16001000401,Census Tract 0004.01,Ada County,Idaho,PM25,8.96805765027322
16001000402,Census Tract 0004.02,Ada County,Idaho,PM25,8.9226174863388
16001000501,Census Tract 0005.01,Ada County,Idaho,PM25,8.84609071038251
16001000502,Census Tract 0005.02,Ada County,Idaho,PM25,8.79951912568306
16001000601,Census Tract 0006.01,Ada County,Idaho,PM25,8.74894781420765
16001000602,Census Tract 0006.02,Ada County,Idaho,PM25,8.6857606557377
16001000701,Census Tract 0007.01,Ada County,Idaho,PM25,8.63368224043716
16001000703,Census Tract 0007.03,Ada County,Idaho,PM25,8.32557103825137
16001000704,Census Tract 0007.04,Ada County,Idaho,PM25,8.3742631147541
16001000803,Census Tract 0008.03,Ada County,Idaho,PM25,8.58486092896175
16001000805,Census Tract 0008.05,Ada County,Idaho,PM25,8.52233524590164
16001000806,Census Tract 0008.06,Ada County,Idaho,PM25,8.75240300546448
16001000807,Census Tract 0008.07,Ada County,Idaho,PM25,8.73123387978142
16001000808,Census Tract 0008.08,Ada County,Idaho,PM25,8.66826530054645
16001000809,Census Tract 0008.09,Ada County,Idaho,PM25,8.77101256830601
16001000810,Census Tract 0008.10,Ada County,Idaho,PM25,8.82377240437159
16001000901,Census Tract 0009.01,Ada County,Idaho,PM25,8.85474453551913
16001000902,Census Tract 0009.02,Ada County,Idaho,PM25,8.82505792349727
16001001001,Census Tract 0010.01,Ada County,Idaho,PM25,9.0277912568306
16001001002,Census Tract 0010.02,Ada County,Idaho,PM25,8.91536967213115
16001001003,Census Tract 0010.03,Ada County,Idaho,PM25,8.991828961748631
16001001100,Census Tract 0011.00,Ada County,Idaho,PM25,9.10439234972678
16001001201,Census Tract 0012.01,Ada County,Idaho,PM25,9.216148087431693
16001001203,Census Tract 0012.03,Ada County,Idaho,PM25,9.1892393442623
16001001204,Census Tract 0012.04,Ada County,Idaho,PM25,9.26288743169399
