"FIPS","Tract","County","State","PM25","Lead.Paint","Diesel.PM","Toxics.Release.to.Air","Traffic.Proximity","Water.Discharge","Superfund.Proximity","RMP.Proximity","Hazardous.Waste.Proximity","Ozone","Underground.Storage.Tanks","Nitrogen.Dioxide","Drinking.Water.Noncompliance"
16001000101,"Census Tract 0001.01","Ada County","Idaho",8.83835409836066,0.104589114194237,0.235889998184251,53.531350899442,2284167.00317861,308.664100566726,0,0.020474662736374,0.325368729170754,61.01145,6.10864191519484,9.98777575181418,0
16001000102,"Census Tract 0001.02","Ada County","Idaho",8.78447103825137,0.458751636839808,0.234010314767639,46.132192790647,1993216.18312771,252.749739024645,0,0,0.31504431523213,60.98406,5.54041423315704,10.1094468791439,0.045998160073597
16001000201,"Census Tract 0002.01","Ada County","Idaho",8.44965218579235,0.273684210526316,0.122188780293565,36.346231018778,946047.440269554,208.477340250762,0,0,0.288710949798724,60.85876,0.481025307531433,5.52393657917934,0
16001000202,"Census Tract 0002.02","Ada County","Idaho",8.59234781420765,0.147902869757174,0.058772856575468,31.5717096516058,803879.487165044,266.746368295826,0,0,0.214222902511733,60.90064,0.713974062464846,3.90166194110133,0
16001000302,"Census Tract 0003.02","Ada County","Idaho",8.93432950819672,0.156972669936931,0.127010552840353,42.420260515711,1100063.89152194,537.308627362484,0,0,0.499777354301382,61.00808,1.15231279485252,9.0448809009054,7.40821678321678
16001000303,"Census Tract 0003.03","Ada County","Idaho",9.10284672131148,0.011618257261411,0.117558964838608,46.9882128635948,1293228.30611872,3272.86592830294,0,0,0.99826171184914,61.05559,1.29584305807709,9.19802127446577,15
16001000305,"Census Tract 0003.05","Ada County","Idaho",9.08905136612022,0.014361300075586,0.082958825168795,40.0883471001834,993132.521817686,628.578568797882,0,0,0.33725948073115,60.9976,0.51726830424523,8.29037542336143,15
16001000306,"Census Tract 0003.06","Ada County","Idaho",9.01908989071038,0.040220385674931,0.083197445442038,40.6544264896945,995073.758843907,606.236254788333,0,0,0.463538120693476,60.99771,1.00637964002663,8.24161355920063,11.2932790224033
16001000401,"Census Tract 0004.01","Ada County","Idaho",8.96805765027322,0.117408906882591,0.133076974589952,47.7221072373726,1409785.13537695,1678.69619171618,0,0,0.515433871864191,61.08269,2.51421742056671,9.08674239577284,13.1272011843541
16001000402,"Census Tract 0004.02","Ada County","Idaho",8.9226174863388,0.408480944712829,0.14631010274102,48.6639970377069,1784462.18748502,365.260569003817,0,0,0.369919229694426,61.10892,8.12833580351271,10.1594285702751,10.512785262579
16001000501,"Census Tract 0005.01","Ada County","Idaho",8.84609071038251,0.527570789865872,0.102038023213936,42.1953067596483,1229015.88781399,362.640864728373,0,0,0.317885579431835,61.07636,1.56786295701174,8.66142629422173,6.00199071001991
16001000502,"Census Tract 0005.02","Ada County","Idaho",8.79951912568306,0.507220216606498,0.070007583785148,42.4227977810503,1302658.57362065,288.331821777859,0,0,0.295783962614652,60.97356,4.76847716845805,8.62079117386224,6.83881291824265
16001000601,"Census Tract 0006.01","Ada County","Idaho",8.74894781420765,0.662910798122066,0.074448772615806,41.7969161460701,1315409.33206549,248.118899108546,0,0,0.306974378637014,61.01512,5.35542518683388,8.2832511219903,0
16001000602,"Census Tract 0006.02","Ada County","Idaho",8.6857606557377,0.650630011454754,0.163876508111999,40.8402316392731,1240877.20959781,220.032034030346,0,0,0.280952998731008,60.99419,5.32871538591987,8.7078658182964,0
16001000701,"Census Tract 0007.01","Ada County","Idaho",8.63368224043716,0.433799068529608,0.233004482090423,41.4322865254203,1222511.70269533,237.919136601629,0,0.07416656342528,0.371498765398616,60.92675,1.84128328849598,7.30560148322725,0
16001000703,"Census Tract 0007.03","Ada County","Idaho",8.32557103825137,0,0.112110106058509,34.42363652,493121.216178186,269.705927118143,0,0.155233477144561,0.380746319324313,60.70331,0.485088075140099,4.45007276535034,0.428630533719487
16001000704,"Census Tract 0007.04","Ada County","Idaho",8.3742631147541,0.039164490861619,0.117715899504,35.4146468303898,716809.348368687,257.203373158565,0,0.115312515292697,0.352123286109172,60.84236,0.063364290451224,3.16451617793233,0.022805621850968
16001000803,"Census Tract 0008.03","Ada County","Idaho",8.58486092896175,0.008209338122114,0.199422128964945,42.3283001798271,799342.73455146,210.751731920009,0,0.174694222621084,0.518063147753624,60.80687,1.52042126459929,7.96512378300671,0
16001000805,"Census Tract 0008.05","Ada County","Idaho",8.52233524590164,0.029840388619015,0.172461230800289,39.6652974729843,799388.939752547,383.603924291168,0,0.157046818043547,0.426088558863915,60.87856,1.81504904664698,6.1862196935252,0
16001000806,"Census Tract 0008.06","Ada County","Idaho",8.75240300546448,0.209491525423729,0.230727075987854,48.0667803076052,1308156.11087279,286.419012931869,0,0.110878957111054,0.412265192507296,61.04426,2.99160051361352,8.58757594951148,0
16001000807,"Census Tract 0008.07","Ada County","Idaho",8.73123387978142,0.096711798839458,0.219401997298257,44.9936984575712,1103460.05671106,217.18733333033,0,0.12865795236472,0.461095966346638,60.97743,3.88675999261162,8.13746910276374,0.796170661842303
16001000808,"Census Tract 0008.08","Ada County","Idaho",8.66826530054645,0,0.224589705990731,43.3776669508383,1042368.24991499,323.082571749722,0,0.117007496468124,0.417251118759481,60.94744,1.41302003112003,7.57535388058363,0
16001000809,"Census Tract 0008.09","Ada County","Idaho",8.77101256830601,0.062068965517241,0.219413595749112,46.693700933782,1071505.23389819,173.004799550277,0,0.153752693021515,0.505124211184347,61.01017,3.62777088583845,8.52494708542864,0.214507370054306
